"","","","validation_labels_k"
"1",0.0207598879933357,0,1
"2",0.228576332330704,0,1
"3",0.796359896659851,1,1
"4",0.00506287487223744,0,0
"5",0.272110730409622,0,0
"6",0.00485588982701302,0,0
"7",0.999716103076935,1,1
"8",0.331507593393326,0,0
"9",0.00790194794535637,0,0
"10",0.99961131811142,1,1
"11",0.97679990530014,1,1
"12",0.00102653622161597,0,0
"13",0.00209085340611637,0,0
"14",0.349251508712769,0,1
"15",0.969780027866364,1,1
"16",0.537217617034912,1,1
"17",0.999386429786682,1,1
"18",0.99969482421875,1,1
"19",0.00692101009190083,0,1
"20",0.966578245162964,1,1
"21",0.000552125973626971,0,0
"22",0.962055444717407,1,1
"23",0.000979753443971276,0,0
"24",0.0442600585520267,0,0
"25",0.0673543885350227,0,0
"26",0.999720752239227,1,0
"27",0.999664545059204,1,0
"28",0.999707162380219,1,0
"29",0.99543970823288,1,1
"30",0.234694018959999,0,1
"31",0.752525746822357,1,1
"32",0.0136034907773137,0,1
"33",0.999736726284027,1,1
"34",0.00118569878395647,0,0
"35",0.999715864658356,1,1
"36",0.0756701752543449,0,1
"37",0.0179391745477915,0,0
"38",0.96494448184967,1,1
"39",0.481529951095581,0,1
"40",0.999654650688171,1,1
"41",0.208671718835831,0,1
"42",0.944166421890259,1,1
"43",0.0268180966377258,0,0
"44",0.987915396690369,1,0
"45",0.999720990657806,1,0
"46",0.998651206493378,1,1
"47",0.999663829803467,1,1
"48",0.999731838703156,1,1
"49",0.6462082862854,1,0
"50",0.0240746568888426,0,1
"51",0.0253803562372923,0,0
"52",0.0126472292467952,0,0
"53",0.999647617340088,1,1
"54",0.997314035892487,1,1
"55",0.999704897403717,1,1
"56",0.00117977114859968,0,0
"57",0.999111235141754,1,1
"58",0.00083993753651157,0,0
"59",0.00823669787496328,0,0
"60",0.00196826527826488,0,0
"61",0.000875030702445656,0,0
"62",0.000960761506576091,0,0
"63",0.000861120934132487,0,0
"64",0.994220614433289,1,1
"65",0.173989653587341,0,1
"66",0.00273047876544297,0,0
"67",0.999374091625214,1,1
"68",0.00165080826263875,0,0
"69",0.000514286570250988,0,1
"70",0.00106845027767122,0,0
"71",0.965091705322266,1,1
"72",0.519959092140198,1,1
"73",0.596946537494659,1,0
"74",0.999409437179565,1,1
"75",0.0138973332941532,0,1
"76",0.920905888080597,1,0
"77",0.00110879505518824,0,0
"78",0.999747931957245,1,1
"79",0.000863497611135244,0,0
"80",0.000880638544913381,0,0
"81",0.999601423740387,1,0
"82",0.00092399021377787,0,0
"83",0.000846920709591359,0,0
"84",0.996037483215332,1,1
"85",0.899983942508698,1,1
"86",0.0110682398080826,0,1
"87",0.999677300453186,1,1
"88",0.978144347667694,1,1
"89",0.0107932854443789,0,0
"90",0.564567089080811,1,1
"91",0.999645829200745,1,1
