"","","","validation_labels_k"
"1",0.996174335479736,1,1
"2",0.999424457550049,1,1
"3",0.881542325019836,1,0
"4",0.000269991694949567,0,0
"5",0.000134469373733737,0,0
"6",0.1832435131073,0,0
"7",0.000140697287861258,0,0
"8",0.999148368835449,1,1
"9",0.961205303668976,1,1
"10",0.97038322687149,1,0
"11",0.990192413330078,1,1
"12",0.00015111367974896,0,0
"13",0.991617023944855,1,1
"14",0.955942332744598,1,0
"15",0.000121936347568408,0,0
"16",0.00829443708062172,0,0
"17",0.861673712730408,1,1
"18",0.999046981334686,1,1
"19",0.000116998649900779,0,0
"20",0.911766290664673,1,1
"21",0.999633431434631,1,1
"22",0.645400702953339,1,0
"23",0.972990691661835,1,0
"24",0.000156447247718461,0,0
"25",0.114059060811996,0,1
"26",0.960340976715088,1,0
"27",0.695884764194489,1,1
"28",0.982716917991638,1,1
"29",0.0166918877512217,0,0
"30",0.966918885707855,1,1
"31",0.000149513580254279,0,0
"32",0.000106964638689533,0,0
"33",0.000190688937436789,0,0
"34",0.0211988426744938,0,1
"35",0.997590661048889,1,1
"36",0.999722063541412,1,1
"37",0.00357583304867148,0,0
"38",0.995120346546173,1,1
"39",0.0115999476984143,0,0
"40",0.00079081574222073,0,0
"41",0.000100367702543736,0,0
"42",0.00094491388881579,0,0
"43",0.999006450176239,1,1
"44",0.000144531106343493,0,0
"45",0.99978893995285,1,1
"46",0.99885082244873,1,1
"47",0.997887790203094,1,1
"48",0.978318750858307,1,1
"49",8.40310458443128e-05,0,0
"50",0.999565184116364,1,1
"51",0.996023893356323,1,1
"52",0.787394642829895,1,0
"53",0.117312267422676,0,0
"54",0.000193462401512079,0,0
"55",0.163144022226334,0,0
"56",0.000142017001053318,0,0
"57",0.653199672698975,1,1
"58",0.0321168676018715,0,0
"59",0.000667732092551887,0,0
"60",0.229723691940308,0,0
"61",0.992478132247925,1,1
"62",0.997056603431702,1,0
"63",0.000113140806206502,0,0
"64",0.992288410663605,1,1
"65",0.999902248382568,1,1
"66",0.00011359646305209,0,0
"67",0.999159932136536,1,1
"68",0.888701856136322,1,0
"69",0.999479115009308,1,1
"70",0.00135881581809372,0,0
"71",0.998914957046509,1,1
"72",0.999919176101685,1,1
"73",0.960605680942535,1,1
"74",0.995748221874237,1,1
"75",0.999412178993225,1,1
"76",0.999245047569275,1,1
"77",0.998991310596466,1,1
"78",0.999894857406616,1,1
"79",0.999905109405518,1,1
"80",0.00172926369123161,0,1
"81",0.982418715953827,1,1
"82",0.99987781047821,1,1
"83",0.010311652906239,0,0
"84",0.00509125366806984,0,0
"85",0.99995481967926,1,1
"86",0.000165014775120653,0,0
"87",0.999758780002594,1,1
"88",0.809132397174835,1,1
"89",0.000118733958515804,0,0
"90",0.00012067621719325,0,0
"91",0.000195997548871674,0,0
"92",0.000143049241160043,0,0
"93",0.00011280373291811,0,0
"94",0.979686319828033,1,1
"95",0.999763309955597,1,1
"96",0.00147323356941342,0,0
"97",0.00104697805363685,0,0
"98",0.87756472826004,1,1
"99",0.991585731506348,1,1
"100",0.995926022529602,1,1
"101",8.1339712778572e-05,0,0
"102",0.999068915843964,1,1
"103",0.99951696395874,1,1
"104",0.997214257717133,1,1
"105",9.06204804778099e-05,0,0
"106",0.999875664710999,1,1
"107",0.999900937080383,1,1
"108",0.998257219791412,1,1
"109",0.997220873832703,1,1
"110",0.982396483421326,1,1
"111",0.99979442358017,1,1
"112",0.999328374862671,1,1
"113",0.996863842010498,1,1
"114",0.307571738958359,0,0
"115",0.999442875385284,1,1
"116",0.999162316322327,1,1
"117",0.999943614006042,1,1
"118",0.999855399131775,1,1
