"","","","validation_labels_k"
"1",0.975930631160736,1,1
"2",0.990420818328857,1,1
"3",0.9150750041008,1,1
"4",0.999354302883148,1,1
"5",0.00309351296164095,0,0
"6",0.999065458774567,1,1
"7",0.988193452358246,1,1
"8",0.999712765216827,1,1
"9",0.027229318395257,0,0
"10",0.985302686691284,1,1
"11",0.614498972892761,1,1
"12",0.688640177249908,1,1
"13",0.00357403769157827,0,0
"14",0.999139785766602,1,1
"15",0.00257385079748929,0,0
"16",0.999130427837372,1,1
"17",0.9696124792099,1,1
"18",0.0249078534543514,0,0
"19",0.99999988079071,1,1
"20",0.0123730469495058,0,0
"21",0.00333454320207238,0,0
"22",0.999143838882446,1,1
"23",0.998940050601959,1,1
"24",0.00248331949114799,0,0
"25",0.509555995464325,1,0
"26",0.999602138996124,1,1
"27",0.996788501739502,1,1
"28",0.997894704341888,1,0
"29",0.994610667228699,1,1
"30",0.988882839679718,1,1
"31",0.624663472175598,1,1
"32",0.00244240369647741,0,0
"33",0.99893194437027,1,1
"34",0.0982243344187737,0,0
"35",0.94028627872467,1,1
"36",0.999562084674835,1,1
"37",0.976495742797852,1,1
"38",0.00548004359006882,0,0
"39",0.998454093933105,1,1
"40",0.953913450241089,1,1
"41",0.997927665710449,1,1
"42",0.00460234237834811,0,0
"43",0.802530765533447,1,1
"44",0.0342935435473919,0,0
"45",0.997958540916443,1,1
"46",0.988429188728333,1,1
"47",0.0123500283807516,0,0
"48",0.017335208132863,0,0
"49",0.983764350414276,1,1
"50",0.998143792152405,1,1
"51",0.992151260375977,1,1
"52",0.997132062911987,1,1
"53",0.0029483581893146,0,0
"54",0.0986044779419899,0,0
"55",0.00361593090929091,0,0
"56",0.00239671138115227,0,0
"57",0.0218752920627594,0,0
"58",0.00432636588811874,0,0
"59",0.00457642273977399,0,0
"60",0.0148951653391123,0,0
"61",0.00371418241411448,0,0
"62",2.74613721558126e-05,0,0
"63",0.00455637322738767,0,0
"64",0.0202888455241919,0,0
"65",0.999019622802734,1,1
"66",0.987174928188324,1,1
"67",0.00417284294962883,0,0
"68",0.00149354955647141,0,0
"69",0.0228475648909807,0,0
"70",0.755823254585266,1,1
"71",0.00550947012379766,0,0
"72",0.0171552449464798,0,0
"73",0.996980845928192,1,1
