"","","","validation_labels_k"
"1",0.994697451591492,1,1
"2",0.00634166784584522,0,0
"3",0.955844283103943,1,0
"4",0.00415600882843137,0,0
"5",0.00396809866651893,0,0
"6",0.00413862708956003,0,0
"7",0.00728726666420698,0,0
"8",0.00419723242521286,0,0
"9",0.00422533554956317,0,0
"10",0.0221470315009356,0,0
"11",0.112304583191872,0,0
"12",0.00415231240913272,0,0
"13",0.00475695123896003,0,0
"14",0.00466369697824121,0,0
"15",0.00418784376233816,0,0
"16",0.00443393550813198,0,0
"17",0.00427455361932516,0,0
"18",0.00425143493339419,0,0
"19",0.804373145103455,1,0
"20",0.00417874241247773,0,0
"21",0.00436864979565144,0,0
"22",0.00417993683367968,0,0
"23",0.00596655858680606,0,0
"24",0.00414921017363667,0,0
"25",0.0266688261181116,0,0
"26",0.00416765734553337,0,0
"27",0.00616517523303628,0,0
"28",0.00425889808684587,0,0
"29",0.0122900679707527,0,0
"30",0.00434746081009507,0,0
"31",0.93372243642807,1,0
"32",0.00551467947661877,0,0
"33",0.00416633719578385,0,1
"34",0.00415501464158297,0,0
"35",0.008736084215343,0,0
"36",0.00431938376277685,0,0
"37",0.00421194452792406,0,0
"38",0.00416438514366746,0,0
"39",0.00413917563855648,0,0
"40",0.995566427707672,1,0
"41",0.00425264798104763,0,0
"42",0.00523044401779771,0,0
"43",0.00716951582580805,0,0
"44",0.00413083238527179,0,0
"45",0.00464437389746308,0,0
"46",0.0686256438493729,0,0
"47",0.00517760263755918,0,0
"48",0.984531700611115,1,0
"49",0.00392100913450122,0,0
"50",0.00428009405732155,0,0
"51",0.00415302021428943,0,0
"52",0.0154407368972898,0,0
"53",0.00400689104571939,0,0
"54",0.0047744563780725,0,0
"55",0.0044475644826889,0,0
"56",0.995587706565857,1,1
"57",0.00464218948036432,0,0
"58",0.00423764996230602,0,0
"59",0.00509331421926618,0,0
"60",0.00412856321781874,0,0
"61",0.00411949399858713,0,0
"62",0.00414296891540289,0,0
"63",0.00416523544117808,0,0
"64",0.00414792355149984,0,0
"65",0.0041557583026588,0,0
"66",0.00361464940942824,0,0
"67",0.00364255183376372,0,0
"68",0.00415366096422076,0,0
"69",0.012102666310966,0,0
"70",0.0041146082803607,0,0
"71",0.00413492601364851,0,0
"72",0.00451971311122179,0,0
"73",0.00392807368189096,0,0
"74",0.00424806075170636,0,0
"75",0.00415535597130656,0,0
"76",0.00543078454211354,0,0
"77",0.00788294710218906,0,0
"78",0.00540216825902462,0,0
"79",0.00438024196773767,0,0
"80",0.00417857756838202,0,0
"81",0.0041782483458519,0,0
"82",0.00413653254508972,0,0
"83",0.0043426314368844,0,0
"84",0.00769417267292738,0,0
"85",0.00441497098654509,0,0
"86",0.996132135391235,1,1
"87",0.00413823779672384,0,0
"88",0.00417292071506381,0,0
"89",0.00417592562735081,0,0
"90",0.00394998909905553,0,0
"91",0.996141135692596,1,1
"92",0.00939212832599878,0,0
"93",0.822482526302338,1,0
"94",0.00416387710720301,0,0
"95",0.00426051812246442,0,1
"96",0.00415718741714954,0,0
"97",0.0109419245272875,0,0
"98",0.00415956508368254,0,0
"99",0.0347189866006374,0,0
"100",0.727445006370544,1,0
"101",0.00424197362735868,0,0
"102",0.00415680464357138,0,0
"103",0.00553002534434199,0,0
"104",0.00463390164077282,0,0
"105",0.00417122477665544,0,0
