"","","","validation_labels_k"
"1",0.0143153015524149,0,0
"2",0.958957493305206,1,1
"3",0.0413043759763241,0,0
"4",0.950309693813324,1,1
"5",0.967026770114899,1,1
"6",0.0285058170557022,0,0
"7",0.00345250917598605,0,0
"8",0.00341621856205165,0,0
"9",0.964109182357788,1,1
"10",0.936234652996063,1,1
"11",0.00846887473016977,0,0
"12",0.960171580314636,1,1
"13",0.00357575132511556,0,0
"14",0.00350134656764567,0,0
"15",0.00354491476900876,0,0
"16",0.0111061232164502,0,0
"17",0.969895958900452,1,0
"18",0.00424430100247264,0,0
"19",0.00632630148902535,0,0
"20",0.00708570517599583,0,0
"21",0.0489720888435841,0,0
"22",0.898500382900238,1,0
"23",0.683755874633789,1,1
"24",0.00778125738725066,0,0
"25",0.00592430075630546,0,0
"26",0.0032734414562583,0,0
"27",0.00359914056025445,0,0
"28",0.0218893680721521,0,0
"29",0.00353076891042292,0,0
"30",0.00612719636410475,0,0
"31",0.957409739494324,1,0
"32",0.00705539900809526,0,0
"33",0.00640776054933667,0,0
"34",0.00728078745305538,0,0
"35",0.00363064603880048,0,0
"36",0.847796261310577,1,0
"37",0.00716919032856822,0,0
"38",0.00461488077417016,0,0
"39",0.00354580581188202,0,0
"40",0.945751190185547,1,1
"41",0.00899037718772888,0,0
"42",0.0126349981874228,0,0
"43",0.962567925453186,1,0
"44",0.00314145907759666,0,0
"45",0.0196863766759634,0,0
"46",0.00935987289994955,0,1
"47",0.00895672850310802,0,0
"48",0.952307879924774,1,1
"49",0.00356269534677267,0,0
"50",0.00393142970278859,0,0
"51",0.986233234405518,1,1
"52",0.209548249840736,0,0
"53",0.00861044228076935,0,0
"54",0.00759759172797203,0,0
"55",0.25974315404892,0,0
"56",0.00699639692902565,0,0
"57",0.0711732283234596,0,1
"58",0.971438884735107,1,1
"59",0.0148406671360135,0,0
"60",0.048865620046854,0,0
"61",0.00906816124916077,0,0
"62",0.00456689205020666,0,0
"63",0.022578502073884,0,0
"64",0.00370958377607167,0,0
"65",0.00499287806451321,0,0
"66",0.0035083347465843,0,0
"67",0.00423737801611423,0,0
"68",0.00287177413702011,0,0
"69",0.00451396685093641,0,0
"70",0.0036803565453738,0,0
"71",0.00356903159990907,0,0
"72",0.0051406673155725,0,0
"73",0.685553908348083,1,1
"74",0.00453218398615718,0,0
"75",0.00476558087393641,0,0
"76",0.168618321418762,0,0
"77",0.964927315711975,1,1
"78",0.487756222486496,0,1
"79",0.0249936673790216,0,0
"80",0.00301430746912956,0,0
"81",0.0213868245482445,0,0
"82",0.00296983495354652,0,0
"83",0.00429341522976756,0,0
"84",0.00441989116370678,0,0
"85",0.971001505851746,1,1
"86",0.00499248504638672,0,0
"87",0.973249435424805,1,0
"88",0.00303179887123406,0,0
"89",0.00397828314453363,0,0
"90",0.00377003685571253,0,0
"91",0.010849442332983,0,0
"92",0.0268591102212667,0,1
"93",0.00356645695865154,0,0
"94",0.00356635521166027,0,0
"95",0.00317640090361238,0,0
"96",0.906843602657318,1,1
"97",0.0359243117272854,0,0
"98",0.434667944908142,0,0
"99",0.324490934610367,0,0
"100",0.00505026383325458,0,0
"101",0.00758870644494891,0,0
"102",0.00416747713461518,0,0
"103",0.00383157352916896,0,0
"104",0.0740729421377182,0,0
"105",0.00413075555115938,0,0
"106",0.00295387650839984,0,0
"107",0.00410777889192104,0,0
"108",0.00403209263458848,0,0
"109",0.00338622834533453,0,0
"110",0.00408448558300734,0,0
"111",0.00411703391000628,0,0
"112",0.00353629630990326,0,0
"113",0.00397931318730116,0,0
"114",0.955621421337128,1,1
"115",0.245453417301178,0,1
"116",0.00686739012598991,0,0
"117",0.00382300489582121,0,0
"118",0.0688076168298721,0,1
"119",0.00342016573995352,0,0
"120",0.00456308713182807,0,0
"121",0.00368669489398599,0,0
"122",0.00310972379520535,0,0
"123",0.973591327667236,1,1
"124",0.195002064108849,0,0
"125",0.00641436083242297,0,1
"126",0.0061440235003829,0,0
"127",0.00475307879969478,0,0
"128",0.00441886903718114,0,0
"129",0.00461178459227085,0,0
"130",0.00422903243452311,0,0
"131",0.778337717056274,1,1
"132",0.882196664810181,1,0
"133",0.876867771148682,1,1
"134",0.0133553929626942,0,0
"135",0.0992996841669083,0,0
"136",0.00644619995728135,0,0
"137",0.0127052124589682,0,0
