"","","","validation_labels_k"
"1",0.998460173606873,1,1
"2",0.0141400517895818,0,0
"3",0.00400504935532808,0,0
"4",0.00305823981761932,0,0
"5",0.00304587977007031,0,0
"6",0.00439701415598392,0,0
"7",0.00338816456496716,0,0
"8",0.000511123158503324,0,0
"9",0.00321680377237499,0,0
"10",0.998260080814362,1,1
"11",0.0498584844172001,0,0
"12",0.00361228571273386,0,0
"13",0.00281529291532934,0,0
"14",0.00369794620200992,0,0
"15",0.00478126993402839,0,0
"16",0.00321619375608861,0,0
"17",0.00283897598274052,0,0
"18",0.00319796125404537,0,0
"19",0.00256980559788644,0,0
"20",0.00360447121784091,0,0
"21",0.00256231217645109,0,0
"22",0.575887858867645,1,1
"23",0.998169183731079,1,1
"24",0.998744487762451,1,1
"25",0.979022681713104,1,1
"26",0.00322755333036184,0,0
"27",0.0942364186048508,0,1
"28",0.0034503135830164,0,0
"29",0.998119175434113,1,1
"30",0.998518168926239,1,1
"31",0.998499512672424,1,1
"32",0.998165786266327,1,1
"33",0.00733876833692193,0,0
"34",0.998299062252045,1,1
"35",0.00316886533983052,0,0
"36",0.00300349900498986,0,0
"37",0.00255940482020378,0,0
"38",0.00316188693977892,0,0
"39",0.00247792853042483,0,0
"40",0.00246516964398324,0,0
"41",0.00247583026066422,0,0
"42",0.00477582076564431,0,0
"43",0.00257977633737028,0,0
"44",0.00439035147428513,0,0
"45",0.00298407254740596,0,0
"46",0.00257508619688451,0,0
"47",0.00304342643357813,0,0
"48",0.00261140521615744,0,0
"49",0.998133361339569,1,1
"50",0.00313518010079861,0,0
"51",0.998707056045532,1,1
"52",0.00744405575096607,0,1
"53",0.997873902320862,1,1
"54",0.998364388942719,1,1
"55",0.0657109618186951,0,0
"56",0.00644634012132883,0,0
"57",0.998236417770386,1,1
"58",0.88877010345459,1,0
"59",0.104487784206867,0,0
"60",0.998398840427399,1,1
"61",0.00251237163320184,0,0
"62",0.00789407547563314,0,0
"63",0.00405595172196627,0,0
"64",0.00326665281318128,0,0
"65",0.00410337466746569,0,0
"66",0.00317179458215833,0,0
"67",0.00296028726734221,0,0
"68",0.00843408238142729,0,0
"69",0.00258364551700652,0,0
"70",0.998215436935425,1,1
"71",0.998193442821503,1,1
"72",0.998139262199402,1,1
"73",0.00400202628225088,0,0
"74",0.0038188595790416,0,0
"75",0.00260872021317482,0,0
"76",0.996691823005676,1,1
"77",0.00247643911279738,0,0
"78",0.997705161571503,1,1
"79",0.997565627098083,1,1
"80",0.989327728748322,1,1
"81",0.597935199737549,1,1
"82",0.0028268073219806,0,0
"83",0.998218238353729,1,1
"84",0.0481028184294701,0,0
"85",0.0401705913245678,0,0
"86",0.471029728651047,0,0
"87",0.00310629629530013,0,0
"88",0.998348593711853,1,1
"89",0.00317344442009926,0,0
"90",0.998197376728058,1,1
"91",0.997966051101685,1,1
"92",0.998478472232819,1,1
"93",0.998352408409119,1,1
"94",0.998405039310455,1,1
"95",0.00538157299160957,0,0
"96",0.998657464981079,1,1
"97",0.998426079750061,1,1
"98",0.00421699928119779,0,0
"99",0.998181819915771,1,1
"100",0.00401355884969234,0,0
"101",0.0030870377086103,0,0
"102",0.998262822628021,1,1
"103",0.998396337032318,1,1
"104",0.00248381681740284,0,0
"105",0.998102366924286,1,1
"106",0.00349521799944341,0,0
"107",0.998402655124664,1,1
"108",0.00292423111386597,0,0
"109",0.998022079467773,1,1
"110",0.998232841491699,1,1
"111",0.998250424861908,1,1
"112",0.00284501630812883,0,0
"113",0.998382806777954,1,1
"114",0.998632848262787,1,1
"115",0.998169302940369,1,1
"116",0.00300042750313878,0,0
