"","","","validation_labels_k"
"1",0.316194504499435,0,1
"2",0.742904305458069,1,1
"3",0.244465187191963,0,0
"4",0.234934762120247,0,1
"5",0.316977232694626,0,0
"6",0.314047902822495,0,0
"7",0.649238407611847,1,1
"8",0.235634043812752,0,1
"9",0.779951512813568,1,0
"10",0.786519527435303,1,1
"11",0.232218518853188,0,1
"12",0.226515486836433,0,0
"13",0.77171403169632,1,0
"14",0.231209397315979,0,0
"15",0.228676602244377,0,0
"16",0.291851073503494,0,0
"17",0.227645963430405,0,0
"18",0.234466463327408,0,1
"19",0.230791956186295,0,0
"20",0.229933530092239,0,0
"21",0.235746681690216,0,0
"22",0.230880320072174,0,0
"23",0.234612822532654,0,0
"24",0.652668654918671,1,0
"25",0.242830902338028,0,0
"26",0.231340825557709,0,0
"27",0.761183798313141,1,0
"28",0.231601923704147,0,0
"29",0.238692596554756,0,0
"30",0.231569215655327,0,0
"31",0.779532253742218,1,0
"32",0.417141556739807,0,0
"33",0.768181800842285,1,1
"34",0.78185909986496,1,0
"35",0.248373761773109,0,1
"36",0.805372834205627,1,1
"37",0.236455842852592,0,0
"38",0.234529286623001,0,0
"39",0.229812309145927,0,0
"40",0.801545321941376,1,1
"41",0.647716045379639,1,1
"42",0.237454384565353,0,0
"43",0.239303007721901,0,0
"44",0.241132214665413,0,1
"45",0.476578891277313,0,1
"46",0.235102251172066,0,0
"47",0.263524562120438,0,0
"48",0.804449141025543,1,1
"49",0.338690221309662,0,1
"50",0.780637264251709,1,0
"51",0.257383972406387,0,0
"52",0.312090367078781,0,0
"53",0.234834060072899,0,0
"54",0.23845300078392,0,0
"55",0.373956978321075,0,1
"56",0.381724774837494,0,1
"57",0.235072329640388,0,0
"58",0.782610833644867,1,1
"59",0.233457863330841,0,0
"60",0.231575235724449,0,0
"61",0.230813637375832,0,1
"62",0.230816543102264,0,0
"63",0.457688003778458,0,1
"64",0.230131909251213,0,0
"65",0.234988182783127,0,0
"66",0.23151583969593,0,0
"67",0.257640957832336,0,0
"68",0.2348463088274,0,0
"69",0.231737151741982,0,0
"70",0.230697304010391,0,0
"71",0.255754679441452,0,0
"72",0.261609345674515,0,0
"73",0.231234565377235,0,0
"74",0.246759176254272,0,0
"75",0.23452116549015,0,0
"76",0.237725332379341,0,0
"77",0.230768695473671,0,0
"78",0.231378600001335,0,1
"79",0.622728526592255,1,0
"80",0.230884611606598,0,0
"81",0.230640113353729,0,0
"82",0.242546513676643,0,0
"83",0.237365558743477,0,0
"84",0.234725087881088,0,0
"85",0.230415046215057,0,0
"86",0.264648765325546,0,0
"87",0.774317562580109,1,0
"88",0.227560743689537,0,0
"89",0.235225662589073,0,0
"90",0.229571804404259,0,0
"91",0.257107496261597,0,1
"92",0.420424818992615,0,0
"93",0.235548675060272,0,0
"94",0.25683805346489,0,0
"95",0.255514472723007,0,1
"96",0.257283210754395,0,1
