"","","","validation_labels_k"
"1",0.664871513843536,1,1
"2",0.142280146479607,0,0
"3",0.996899247169495,1,1
"4",0.00797067675739527,0,0
"5",0.751951694488525,1,1
"6",0.143950060009956,0,0
"7",0.988894045352936,1,1
"8",0.898260891437531,1,1
"9",0.0116077195852995,0,0
"10",0.998951554298401,1,1
"11",0.0261392202228308,0,1
"12",0.70546692609787,1,0
"13",0.00346563593484461,0,0
"14",0.892068564891815,1,1
"15",0.00151835405267775,0,0
"16",0.00225049140863121,0,0
"17",0.0578666552901268,0,0
"18",0.0383872501552105,0,0
"19",0.0238363817334175,0,0
"20",0.0175118539482355,0,0
"21",0.00637921085581183,0,0
"22",0.00717360386624932,0,0
"23",0.0537785664200783,0,0
"24",0.00150343810673803,0,0
"25",0.990846574306488,1,1
"26",0.0162063222378492,0,0
"27",0.977054417133331,1,1
"28",0.966450095176697,1,1
"29",0.99965238571167,1,1
"30",0.914260387420654,1,0
"31",0.0457487739622593,0,0
"32",0.112936563789845,0,1
"33",0.999928951263428,1,1
"34",0.997178912162781,1,1
"35",0.929186880588531,1,0
"36",0.94835489988327,1,0
"37",0.0351668111979961,0,0
"38",0.960866212844849,1,1
"39",0.00510135712102056,0,0
"40",0.00176721741445363,0,0
"41",0.0066779712215066,0,0
"42",0.00408563623204827,0,0
"43",0.00481152627617121,0,0
"44",0.117806516587734,0,0
"45",0.00408563623204827,0,0
"46",0.981111228466034,1,1
"47",0.383483558893204,0,1
"48",0.00161288469098508,0,0
"49",0.148872256278992,0,0
"50",0.00383366155438125,0,0
"51",0.171970665454865,0,0
"52",0.724736213684082,1,1
"53",0.00180055748205632,0,0
"54",0.0230994299054146,0,1
"55",0.0342463403940201,0,1
"56",0.171478360891342,0,1
"57",0.152476280927658,0,0
"58",0.00175519753247499,0,0
"59",0.988820374011993,1,1
"60",0.002147271996364,0,0
"61",0.00176721741445363,0,0
"62",0.00602223398163915,0,0
"63",0.00571142602711916,0,0
"64",0.0498411133885384,0,0
"65",0.814298093318939,1,1
"66",0.156960532069206,0,0
"67",0.102713085711002,0,0
"68",0.331534773111343,0,0
"69",0.0522797182202339,0,0
"70",0.00500574847683311,0,0
"71",0.0739879906177521,0,0
"72",0.210441812872887,0,0
"73",0.00197250838391483,0,0
"74",0.00156501086894423,0,0
"75",0.00803516060113907,0,0
"76",0.0157815236598253,0,0
"77",0.00198943796567619,0,0
"78",0.00963475834578276,0,0
"79",0.00447321031242609,0,0
"80",0.00582081777974963,0,0
"81",0.0032033072784543,0,0
"82",0.270754963159561,0,0
"83",0.00178972736466676,0,0
"84",0.00587547617033124,0,0
"85",0.0061836619861424,0,0
"86",0.0044137891381979,0,0
"87",0.00175367598421872,0,0
"88",0.00213246466591954,0,0
"89",0.00187521334737539,0,0
"90",0.884115219116211,1,1
"91",0.0785144492983818,0,0
"92",0.982789516448975,1,0
"93",0.666678428649902,1,0
"94",0.687049269676208,1,1
"95",0.995739698410034,1,1
"96",0.97173947095871,1,1
"97",0.998580932617188,1,1
"98",0.939563274383545,1,1
"99",0.982766628265381,1,1
"100",0.754541158676147,1,0
"101",0.998695075511932,1,1
"102",0.999800026416779,1,1
"103",0.00450900522992015,0,0
"104",0.962076842784882,1,1
"105",0.548554420471191,1,1
"106",0.970942795276642,1,1
"107",0.902424514293671,1,1
"108",0.608095765113831,1,1
"109",0.00155839510262012,0,0
"110",0.00145690701901913,0,0
"111",0.0355541817843914,0,0
"112",0.994648993015289,1,1
"113",0.283898413181305,0,1
"114",0.00252714171074331,0,0
"115",0.0157033689320087,0,0
"116",0.99072265625,1,1
"117",0.999726116657257,1,1
"118",0.998351573944092,1,1
"119",0.999296426773071,1,1
"120",0.00256609776988626,0,0
"121",0.00149753934238106,0,0
"122",0.00201047118753195,0,0
"123",0.00288329273462296,0,0
"124",0.0190241746604443,0,0
"125",0.00184875505510718,0,0
"126",0.959121406078339,1,1
"127",0.00315038324333727,0,0
"128",0.991014778614044,1,1
"129",0.00289880204945803,0,0
"130",0.00151557265780866,0,0
"131",0.00245813583023846,0,0
"132",0.00186841050162911,0,0
"133",0.00188995862845331,0,0
"134",0.999232411384583,1,1
"135",0.999779641628265,1,1
"136",0.0017624341417104,0,0
"137",0.00245813583023846,0,0
"138",0.00196417071856558,0,0
"139",0.886103749275208,1,1
"140",0.00284239067696035,0,0
"141",0.966816246509552,1,1
"142",0.895573735237122,1,1
"143",0.998104572296143,1,1
"144",0.334584832191467,0,0
"145",0.142565175890923,0,1
"146",0.00329864025115967,0,0
"147",0.00262903305701911,0,0
"148",0.999893426895142,1,1
"149",0.00141346384771168,0,0
"150",0.00392261845991015,0,0
"151",0.00218170508742332,0,0
"152",0.999682784080505,1,1
"153",0.99976247549057,1,1
"154",0.00162568048108369,0,0
"155",0.979168057441711,1,1
"156",0.998882353305817,1,1
"157",0.00186200649477541,0,0
"158",0.0014720963081345,0,0
"159",0.97580486536026,1,1
"160",0.00202276837080717,0,0
"161",0.00187313766218722,0,0
"162",0.989703953266144,1,0
"163",0.967089772224426,1,0
"164",0.00186221115291119,0,0
"165",0.00604475103318691,0,0
"166",0.00416710507124662,0,0
"167",0.00454407278448343,0,0
"168",0.0136449569836259,0,1
"169",0.995501577854156,1,1
"170",0.867595195770264,1,1
"171",0.977508246898651,1,1
"172",0.00647035241127014,0,0
"173",0.922789335250854,1,0
"174",0.00822774786502123,0,0
"175",0.00166409846860915,0,0
"176",0.0454555451869965,0,0
"177",0.00190948613453656,0,0
"178",0.431733161211014,0,1
"179",0.880995273590088,1,1
"180",0.00215824134647846,0,0
"181",0.00196665851399302,0,0
"182",0.959456622600555,1,1
"183",0.671352505683899,1,1
"184",0.995525062084198,1,1
"185",0.00367719330824912,0,0
"186",0.977100968360901,1,1
"187",0.059433750808239,0,0
"188",0.00370785687118769,0,0
"189",0.993858993053436,1,1
