"","","","validation_labels_k"
"1",0.98439747095108,1,1
"2",0.9909508228302,1,1
"3",0.154078230261803,0,1
"4",0.99993896484375,1,1
"5",0.00034676693030633,0,0
"6",0.662502408027649,1,0
"7",0.191180467605591,0,1
"8",0.996882081031799,1,1
"9",0.999007642269135,1,1
"10",0.419993817806244,0,1
"11",0.99485719203949,1,1
"12",0.00382014573551714,0,0
"13",0.000317308789817616,0,0
"14",0.999829053878784,1,1
"15",0.712150931358337,1,0
"16",0.950313687324524,1,1
"17",0.000398834818042815,0,0
"18",0.961675941944122,1,1
"19",0.995958864688873,1,1
"20",0.999360263347626,1,1
"21",0.00382123864255846,0,0
"22",0.887769997119904,1,1
"23",0.00335391703993082,0,0
"24",0.0180740281939507,0,0
"25",0.298909932374954,0,0
"26",0.999821484088898,1,1
"27",0.000507291639223695,0,0
"28",0.000246993731707335,0,0
"29",0.000265193899394944,0,0
"30",0.990123569965363,1,1
"31",0.999213218688965,1,1
"32",0.959430277347565,1,0
"33",0.267740428447723,0,0
"34",0.0174822211265564,0,0
"35",0.913861036300659,1,1
"36",0.973283648490906,1,1
"37",0.0349555909633636,0,0
"38",0.000658308970741928,0,0
"39",0.999527812004089,1,1
"40",0.989754498004913,1,1
"41",0.962639689445496,1,1
"42",0.99988853931427,1,1
"43",0.0107739046216011,0,1
"44",0.27331954240799,0,1
"45",0.999937415122986,1,1
"46",0.948530912399292,1,1
"47",0.999548256397247,1,1
"48",0.997497498989105,1,1
"49",0.999237537384033,1,1
"50",0.00160833401605487,0,0
"51",0.996172964572906,1,1
"52",0.334248185157776,0,1
"53",0.00022991189325694,0,0
"54",0.00040902552427724,0,0
"55",0.00030594744021073,0,0
"56",0.141856640577316,0,0
"57",0.000185930170118809,0,0
"58",0.000100664263300132,0,0
"59",0.00092324533034116,0,0
"60",0.000613274925854057,0,0
"61",0.413135975599289,0,0
"62",0.995831072330475,1,0
"63",0.020263534039259,0,0
"64",0.0215560868382454,0,0
"65",0.00035153073258698,0,0
"66",0.000198725378140807,0,0
"67",0.000256315630394965,0,0
"68",0.000246694369707257,0,0
"69",0.000198725378140807,0,0
"70",0.000335110438754782,0,0
"71",0.000319841783493757,0,0
"72",0.0045542111620307,0,0
"73",0.000693674839567393,0,0
"74",0.000136677859700285,0,0
"75",0.993501722812653,1,1
"76",0.000274589459877461,0,0
"77",0.000863202614709735,0,0
"78",0.000402651407057419,0,0
"79",0.000334255018969998,0,0
"80",0.00352873629890382,0,0
"81",0.000719425326678902,0,0
"82",0.995941281318665,1,1
"83",0.000600723898969591,0,0
"84",0.00030708039412275,0,0
"85",0.999193727970123,1,1
"86",0.314879685640335,0,0
"87",0.898982584476471,1,0
"88",0.998392522335052,1,1
"89",0.999692440032959,1,1
"90",0.99969756603241,1,1
"91",0.0145805776119232,0,1
"92",0.999913930892944,1,1
"93",0.99334853887558,1,1
"94",0.99979168176651,1,1
"95",0.928742349147797,1,1
"96",0.993519842624664,1,1
"97",0.999690771102905,1,1
"98",0.590014755725861,1,0
"99",0.0713726803660393,0,0
"100",0.993293166160583,1,1
"101",0.85135155916214,1,0
"102",0.495533972978592,0,0
"103",0.495533972978592,0,0
"104",0.338263899087906,0,0
"105",0.000367509317584336,0,0
"106",0.995204091072083,1,1
"107",0.000239646411500871,0,0
"108",0.995059609413147,1,1
"109",0.000795494590420276,0,0
"110",0.00025404809275642,0,0
"111",0.000547767675016075,0,0
"112",0.001742193242535,0,0
"113",0.957069098949432,1,1
"114",0.990440964698792,1,1
"115",0.999207675457001,1,1
"116",0.000547707371879369,0,0
"117",0.00035219156416133,0,0
"118",0.996298015117645,1,1
"119",0.0208530519157648,0,0
"120",0.000819518871139735,0,0
"121",0.999873638153076,1,1
"122",0.000478318252135068,0,0
"123",0.000463987671537325,0,0
"124",0.00736313126981258,0,0
"125",0.000248502881731838,0,0
"126",0.000389136926969513,0,0
"127",0.00071796850534156,0,0
"128",0.99981027841568,1,1
"129",0.000248502881731838,0,0
"130",0.000382178259314969,0,0
"131",0.99209189414978,1,1
"132",0.00920887850224972,0,0
