"","","","validation_labels_k"
"1",0.997058272361755,1,0
"2",0.999769747257233,1,1
"3",0.000192368490388617,0,0
"4",0.00108025141526014,0,0
"5",0.000509813544340432,0,0
"6",0.00175358250271529,0,0
"7",0.0386717170476913,0,0
"8",0.0177562721073627,0,0
"9",0.0144808813929558,0,0
"10",0.0248299371451139,0,1
"11",0.977174937725067,1,1
"12",0.997357189655304,1,1
"13",0.097253791987896,0,0
"14",0.127567410469055,0,0
"15",0.999944567680359,1,1
"16",0.00365507137030363,0,0
"17",0.00115925737190992,0,0
"18",0.0105480700731277,0,0
"19",0.999659538269043,1,1
"20",0.999859929084778,1,1
"21",0.985421538352966,1,1
"22",0.999907970428467,1,1
"23",0.999660611152649,1,1
"24",0.00174179102759808,0,0
"25",0.980389177799225,1,1
"26",0.990061283111572,1,1
"27",0.224594473838806,0,0
"28",4.81233801110648e-05,0,0
"29",0.00323028839193285,0,0
"30",0.000549666176084429,0,0
"31",0.00358096929267049,0,0
"32",0.997411906719208,1,1
"33",0.020994646474719,0,0
"34",0.999960064888,1,1
"35",0.999992489814758,1,1
"36",0.999206602573395,1,1
"37",0.159918576478958,0,1
"38",0.836842000484467,1,1
"39",0.988437831401825,1,0
"40",0.999838829040527,1,1
"41",0.241502091288567,0,0
"42",0.999887228012085,1,1
"43",0.293190360069275,0,0
"44",0.999895453453064,1,1
"45",0.92261791229248,1,1
"46",0.999948263168335,1,1
"47",0.999986171722412,1,1
"48",6.36307158856653e-05,0,0
"49",0.000265000795479864,0,0
"50",0.999918818473816,1,1
"51",0.971510112285614,1,0
"52",0.999750673770905,1,1
"53",0.828891694545746,1,1
"54",0.999934792518616,1,1
"55",0.00854147132486105,0,0
"56",0.0014452738687396,0,0
"57",0.000598620856180787,0,0
"58",0.726224780082703,1,1
"59",0.999991059303284,1,1
"60",0.99987006187439,1,1
"61",0.999910712242126,1,1
"62",0.000330691691488028,0,0
"63",0.999967455863953,1,1
"64",0.999976515769958,1,1
"65",0.00115925737190992,0,0
"66",0.00289875920861959,0,0
"67",0.00182807096280158,0,0
"68",0.00129091215785593,0,0
"69",0.346337586641312,0,0
"70",0.000925720436498523,0,0
"71",0.732485473155975,1,1
"72",0.999638438224792,1,1
"73",0.991334617137909,1,1
"74",0.999881267547607,1,1
"75",0.99696809053421,1,1
"76",0.995571970939636,1,1
"77",0.819271981716156,1,1
"78",0.981322169303894,1,1
"79",0.992921054363251,1,1
"80",0.9982950091362,1,1
"81",0.999109208583832,1,1
"82",0.00210349005647004,0,0
"83",0.449194371700287,0,1
"84",0.001939388923347,0,0
"85",0.00138761836569756,0,0
"86",0.00290478975512087,0,0
"87",0.00185184541624039,0,0
"88",0.00138761836569756,0,0
"89",0.00197541317902505,0,0
"90",0.0149688366800547,0,0
"91",0.00116446241736412,0,0
"92",0.999627709388733,1,1
"93",0.964401364326477,1,1
"94",0.954181134700775,1,0
"95",0.999609887599945,1,1
"96",0.999987006187439,1,1
"97",0.999922156333923,1,1
"98",0.999981880187988,1,1
"99",0.0037447945214808,0,0
"100",0.999926567077637,1,1
"101",0.00276414980180562,0,0
"102",0.989820122718811,1,0
"103",0.491899847984314,0,1
"104",0.989505052566528,1,1
"105",0.999867677688599,1,1
"106",0.999898076057434,1,1
"107",0.999390482902527,1,1
"108",0.999981284141541,1,1
"109",0.00256527890451252,0,0
"110",0.0141646731644869,0,0
"111",0.999893546104431,1,1
"112",0.000827240757644176,0,1
"113",0.999944925308228,1,1
"114",0.0250197369605303,0,0
"115",0.000976977054961026,0,0
"116",0.999977707862854,1,1
"117",0.575824081897736,1,1
"118",0.990769684314728,1,1
"119",0.999957799911499,1,1
"120",0.999920964241028,1,1
"121",0.998219788074493,1,1
"122",0.999614715576172,1,1
"123",0.999945640563965,1,1
"124",0.972316265106201,1,1
"125",0.999971151351929,1,1
