"","","","validation_labels_k"
"1",0.00113994057755917,0,0
"2",0.812261819839478,1,1
"3",0.987852334976196,1,1
"4",0.9999680519104,1,1
"5",0.999998927116394,1,1
"6",0.891683340072632,1,1
"7",0.999702394008636,1,1
"8",0.999999642372131,1,1
"9",0.996439397335052,1,1
"10",0.992587983608246,1,1
"11",0.999997854232788,1,1
"12",0.00129219458904117,0,0
"13",0.981706917285919,1,1
"14",0.00121333997230977,0,0
"15",0.00156443868763745,0,0
"16",0.999998331069946,1,1
"17",0.995194137096405,1,1
"18",0.184302762150764,0,0
"19",0.987633109092712,1,1
"20",0.998065412044525,1,1
"21",0.0100181568413973,0,0
"22",0.998653054237366,1,1
"23",0.999990940093994,1,1
"24",0.990716218948364,1,1
"25",0.344440251588821,0,0
"26",0.0154414987191558,0,1
"27",0.977889716625214,1,1
"28",0.0882754325866699,0,0
"29",0.934548914432526,1,1
"30",0.98945951461792,1,1
"31",0.51221489906311,1,0
"32",0.760440707206726,1,0
"33",0.988371312618256,1,1
"34",0.00134306773543358,0,0
"35",0.00116279977373779,0,0
"36",0.999998569488525,1,1
"37",0.17316772043705,0,0
"38",0.996127068996429,1,1
"39",0.00118290563113987,0,0
"40",0.961637616157532,1,1
"41",0.991005957126617,1,1
"42",0.567118883132935,1,1
"43",0.999710142612457,1,0
"44",0.987122118473053,1,1
"45",0.12329875677824,0,1
"46",0.00457727164030075,0,0
"47",0.999999761581421,1,1
"48",0.999211668968201,1,0
"49",0.999995350837708,1,1
"50",0.999996662139893,1,1
"51",0.0024185748770833,0,0
"52",0.999967694282532,1,1
"53",0.989071726799011,1,1
"54",0.00119902985170484,0,0
"55",0.995800793170929,1,1
"56",0.980171680450439,1,1
"57",0.996973633766174,1,1
"58",0.999423146247864,1,1
"59",0.00117604550905526,0,0
"60",0.949495851993561,1,1
"61",0.998282313346863,1,1
"62",0.999998331069946,1,1
"63",0.999993920326233,1,1
"64",0.0354105681180954,0,0
"65",0.00125954777467996,0,0
"66",0.00457727164030075,0,0
"67",0.0011938342358917,0,0
"68",0.000972259964328259,0,0
"69",0.0039562564343214,0,0
"70",0.0148191610351205,0,0
"71",0.00347350677475333,0,0
"72",0.00499197794124484,0,0
"73",0.999999642372131,1,1
"74",0.00458092801272869,0,0
"75",0.999999761581421,1,1
"76",0.00212309136986732,0,0
"77",0.999998092651367,1,1
"78",0.0012875470565632,0,0
"79",0.00142621982377023,0,0
"80",0.00115200621075928,0,0
