"","","","validation_labels_k"
"1",0.0314782708883286,0,0
"2",0.991469323635101,1,1
"3",0.953718781471252,1,1
"4",0.0322960056364536,0,0
"5",0.0319099090993404,0,0
"6",0.0378811433911324,0,0
"7",0.0314868278801441,0,0
"8",0.00222468841820955,0,0
"9",0.0333794616162777,0,0
"10",0.966831266880035,1,1
"11",0.981382489204407,1,1
"12",0.0315719842910767,0,0
"13",0.9798623919487,1,1
"14",0.00222752476111054,0,0
"15",0.0314991623163223,0,0
"16",0.031962376087904,0,0
"17",0.0323736481368542,0,0
"18",0.0320567265152931,0,0
"19",0.0317376777529716,0,0
"20",0.0315085835754871,0,0
"21",0.032050009816885,0,0
"22",0.970104396343231,1,1
"23",0.998242855072021,1,1
"24",0.0314966440200806,0,0
"25",0.0314581021666527,0,0
"26",0.997065484523773,1,1
"27",0.0314723700284958,0,0
"28",0.996347725391388,1,0
"29",0.0314923338592052,0,1
"30",0.0377694293856621,0,0
"31",0.97179126739502,1,1
"32",0.0314990244805813,0,0
"33",0.997614741325378,1,1
"34",0.728401303291321,1,0
"35",0.0340890325605869,0,0
"36",0.0314096547663212,0,0
"37",0.0315024442970753,0,0
"38",0.976037979125977,1,1
"39",0.0346346013247967,0,0
"40",0.966453552246094,1,1
"41",0.0325291752815247,0,0
"42",0.985388100147247,1,0
"43",0.974032998085022,1,1
"44",0.0314967557787895,0,0
"45",0.0315255224704742,0,0
"46",0.0328034311532974,0,0
"47",0.0455514565110207,0,0
"48",0.0315543413162231,0,0
"49",0.969605386257172,1,1
"50",0.0322817414999008,0,0
"51",0.0322339124977589,0,0
"52",0.0366796255111694,0,0
"53",0.0326060615479946,0,0
"54",0.0320262610912323,0,0
"55",0.0314849093556404,0,0
"56",0.0320952273905277,0,0
"57",0.998167514801025,1,1
"58",0.973819315433502,1,1
"59",0.963058352470398,1,1
"60",0.0312620662152767,0,0
"61",0.0438323952257633,0,0
"62",0.0314959846436977,0,0
"63",0.0317945517599583,0,0
"64",0.99627822637558,1,1
"65",0.0314969718456268,0,0
"66",0.0324678644537926,0,0
"67",0.95161110162735,1,1
"68",0.0315582677721977,0,0
"69",0.0315751545131207,0,1
"70",0.0315037742257118,0,0
"71",0.984764635562897,1,1
"72",0.0439614281058311,0,0
"73",0.031483318656683,0,0
"74",0.970253944396973,1,1
"75",0.0356537215411663,0,0
"76",0.0328467078506947,0,0
"77",0.973211705684662,1,1
"78",0.971027910709381,1,1
"79",0.0332621708512306,0,0
"80",0.0316338911652565,0,0
"81",0.0313584990799427,0,0
"82",0.998741090297699,1,1
"83",0.99623304605484,1,1
"84",0.0414239354431629,0,0
"85",0.0315295793116093,0,0
"86",0.0314594507217407,0,0
"87",0.983444213867188,1,1
"88",0.0343333072960377,0,0
"89",0.995108187198639,1,1
"90",0.906236290931702,1,1
"91",0.992722690105438,1,1
"92",0.975578784942627,1,1
"93",0.980663776397705,1,1
"94",0.0329545848071575,0,0
"95",0.0318353697657585,0,0
"96",0.0313573554158211,0,0
"97",0.990762531757355,1,1
"98",0.975230634212494,1,1
"99",0.884263098239899,1,0
"100",0.0315085537731647,0,0
"101",0.247287109494209,0,1
"102",0.996843695640564,1,1
"103",0.0314626209437847,0,0
"104",0.978683531284332,1,1
"105",0.998992741107941,1,1
"106",0.995434820652008,1,1
"107",0.0315410196781158,0,0
"108",0.950584292411804,1,1
"109",0.999005019664764,1,1
"110",0.0314078480005264,0,0
"111",0.0315003469586372,0,0
"112",0.0317366644740105,0,0
"113",0.0315939635038376,0,0
"114",0.0349886529147625,0,0
"115",0.0314050987362862,0,0
"116",0.0315066613256931,0,0
"117",0.0316389203071594,0,0
"118",0.0326022915542126,0,0
"119",0.0316888280212879,0,0
"120",0.0314623229205608,0,0
"121",0.99513828754425,1,1
"122",0.98405647277832,1,1
"123",0.0316226780414581,0,0
"124",0.999047577381134,1,1
"125",0.847983419895172,1,1
"126",0.032897524535656,0,0
"127",0.984267890453339,1,1
"128",0.0334073044359684,0,0
"129",0.964558720588684,1,1
"130",0.0313557833433151,0,1
"131",0.0351348966360092,0,0
"132",0.0313855595886707,0,1
"133",0.985646784305573,1,1
"134",0.887166202068329,1,0
"135",0.685838103294373,1,1
"136",0.991916358470917,1,1
"137",0.883387804031372,1,1
"138",0.998460412025452,1,1
"139",0.997960329055786,1,1
"140",0.031894076615572,0,0
"141",0.0313402414321899,0,0
"142",0.0317487940192223,0,0
"143",0.0396387651562691,0,0
"144",0.0402855277061462,0,0
"145",0.0339477956295013,0,0
"146",0.0313301309943199,0,0
"147",0.0537342131137848,0,1
"148",0.971489191055298,1,1
"149",0.0312149208039045,0,0
"150",0.97341126203537,1,1
"151",0.980046808719635,1,1
"152",0.988238036632538,1,1
"153",0.980100333690643,1,1
"154",0.00222516036592424,0,0
"155",0.0314578264951706,0,0
"156",0.0312915667891502,0,0
"157",0.0417431034147739,0,0
"158",0.998987257480621,1,1
"159",0.965227067470551,1,1
"160",0.993427157402039,1,1
"161",0.998030722141266,1,1
"162",0.971484899520874,1,1
"163",0.0380638986825943,0,0
"164",0.0022448506206274,0,0
"165",0.00236307666637003,0,0
"166",0.966706335544586,1,0
"167",0.0330487601459026,0,0
"168",0.99999988079071,1,1
"169",0.0313121266663074,0,0
"170",0.994861781597137,1,1
"171",0.0318896360695362,0,0
"172",0.968805074691772,1,1
"173",0.031496237963438,0,1
"174",0.995847702026367,1,1
"175",0.0314936116337776,0,0
"176",0.0313048735260963,0,0
"177",0.0321474969387054,0,0
"178",0.0314964056015015,0,0
"179",0.969658434391022,1,1
"180",0.031914621591568,0,0
