"","","","validation_labels_k"
"1",0.040386401116848,0,0
"2",0.958244025707245,1,0
"3",0.0481804758310318,0,0
"4",0.120750032365322,0,1
"5",0.0568352676928043,0,0
"6",0.306622982025146,0,1
"7",0.0417970977723598,0,0
"8",0.0240428149700165,0,0
"9",0.036002267152071,0,0
"10",0.0372882597148418,0,0
"11",0.118305265903473,0,0
"12",0.0317184031009674,0,0
"13",0.0376932695508003,0,0
"14",0.0383000560104847,0,0
"15",0.0381013825535774,0,0
"16",0.980331242084503,1,1
"17",0.0378987118601799,0,0
"18",0.0365547463297844,0,0
"19",0.968649685382843,1,1
"20",0.117695294320583,0,0
"21",0.0368492119014263,0,1
"22",0.0384026803076267,0,1
"23",0.989708364009857,1,1
"24",0.0492316745221615,0,0
"25",0.0362976230680943,0,0
"26",0.16842494904995,0,0
"27",0.173475474119186,0,1
"28",0.0367296114563942,0,0
"29",0.0372576825320721,0,0
"30",0.036829374730587,0,0
"31",0.0406820848584175,0,0
"32",0.478112488985062,0,1
"33",0.984662532806396,1,1
"34",0.0661941021680832,0,0
"35",0.984757304191589,1,0
"36",0.0409253835678101,0,0
"37",0.0370366163551807,0,0
