"","","","validation_labels_k"
"1",0.822505593299866,1,1
"2",0.998669743537903,1,1
"3",0.000308392161969095,0,0
"4",0.992497861385345,1,1
"5",0.110179051756859,0,1
"6",0.993089616298676,1,1
"7",0.688618898391724,1,0
"8",0.978414952754974,1,1
"9",0.914418458938599,1,0
"10",0.000799433910287917,0,0
"11",0.990105330944061,1,1
"12",0.99344927072525,1,1
"13",0.984632611274719,1,1
"14",0.0233721081167459,0,0
"15",0.000171322230016813,0,0
"16",0.000248947995714843,0,0
"17",0.000158671769895591,0,0
"18",0.282122671604156,0,1
"19",0.000196583176148124,0,0
"20",0.00289284717291594,0,0
"21",0.51075267791748,1,0
"22",0.214562758803368,0,1
"23",0.000665435567498207,0,0
"24",0.0630394220352173,0,0
"25",0.995462715625763,1,1
"26",0.206757977604866,0,0
"27",0.00127144809812307,0,0
"28",0.382992923259735,0,0
"29",0.965745031833649,1,1
"30",0.0146897835657001,0,0
"31",0.00281516299583018,0,0
"32",0.000374786672182381,0,0
"33",0.0155993225052953,0,0
"34",0.00319139985367656,0,0
"35",0.000238199892919511,0,0
"36",0.0322763845324516,0,0
"37",0.00308397365733981,0,0
"38",0.933279454708099,1,1
"39",0.50653612613678,1,0
"40",0.0406924784183502,0,0
"41",0.957724213600159,1,1
"42",0.362399339675903,0,0
"43",0.986071169376373,1,1
"44",0.999800264835358,1,1
"45",0.00878631137311459,0,0
"46",0.00052623898955062,0,0
"47",0.000145269877975807,0,0
"48",0.997717380523682,1,1
"49",0.00768002728000283,0,0
"50",0.000180507558980025,0,0
"51",0.971052289009094,1,1
"52",0.998036086559296,1,1
"53",0.838232934474945,1,1
"54",0.94500070810318,1,1
"55",0.000641210412140936,0,0
"56",0.99747109413147,1,1
"57",0.988096952438354,1,1
"58",0.745632410049438,1,1
"59",0.000187757861567661,0,0
"60",0.000221691429032944,0,0
"61",0.000254895101534203,0,0
"62",0.000222300805035047,0,0
"63",0.000609135371632874,0,0
"64",0.000204852156457491,0,0
"65",0.000538393447641283,0,0
"66",0.000210409649298526,0,0
"67",0.000276231643510982,0,0
"68",0.00378986028954387,0,0
"69",0.000140982810989954,0,0
"70",0.820612251758575,1,1
"71",0.000145550380693749,0,0
"72",0.00364392623305321,0,0
"73",0.997218728065491,1,1
"74",0.00821817293763161,0,0
"75",0.000141723852721043,0,0
"76",0.000140898817335255,0,0
"77",0.256767004728317,0,0
"78",0.00122217449825257,0,0
"79",0.000298976025078446,0,0
"80",0.000261617737123743,0,0
"81",0.00287879956886172,0,0
"82",0.0244245380163193,0,0
"83",0.011338165961206,0,0
"84",0.00117743096780032,0,0
"85",0.000256002764217556,0,0
"86",0.936504185199738,1,1
"87",0.00431238394230604,0,0
"88",0.985896050930023,1,1
"89",0.000173374603036791,0,0
"90",0.999468624591827,1,1
"91",0.999440729618073,1,1
"92",0.999843955039978,1,1
"93",0.977163553237915,1,1
"94",0.999186098575592,1,1
"95",0.256076902151108,0,1
"96",0.0555952154099941,0,1
"97",0.980452239513397,1,1
"98",0.000260417495155707,0,0
"99",0.989813506603241,1,1
"100",0.996254563331604,1,1
"101",0.975010395050049,1,1
"102",0.275703996419907,0,0
"103",0.989776253700256,1,1
"104",0.0715057998895645,0,1
"105",0.999581038951874,1,1
"106",0.000715417845640332,0,0
"107",0.999962568283081,1,1
"108",0.999936103820801,1,1
"109",0.553896367549896,1,0
"110",0.0399284027516842,0,1
"111",0.993075013160706,1,1
"112",0.982127785682678,1,1
"113",0.998111367225647,1,1
"114",0.000147176557220519,0,0
"115",0.00479913502931595,0,0
"116",0.000416618364397436,0,0
"117",0.99936431646347,1,1
"118",0.000244513095822185,0,0
"119",0.000349185487721115,0,0
"120",0.000213968305615708,0,0
"121",0.000269320677034557,0,0
"122",0.000333939999109134,0,0
"123",0.000147176557220519,0,0
"124",0.000332087482092902,0,0
"125",0.921914994716644,1,1
"126",0.000468064536107704,0,0
"127",0.315578490495682,0,1
"128",0.999679207801819,1,1
"129",0.999916434288025,1,0
