"","","","validation_labels_k"
"1",0.0949982553720474,0,0
"2",0.000577899743802845,0,0
"3",0.955400347709656,1,1
"4",0.970251798629761,1,0
"5",0.000339012069161981,0,0
"6",0.968081474304199,1,0
"7",0.768922507762909,1,1
"8",0.14279505610466,0,1
"9",0.988463342189789,1,1
"10",0.0537608228623867,0,0
"11",0.000946448242757469,0,0
"12",0.889188349246979,1,0
"13",0.772786855697632,1,1
"14",0.980203151702881,1,1
"15",0.952178716659546,1,1
"16",0.974076211452484,1,0
"17",0.0647495537996292,0,0
"18",0.0206447262316942,0,0
"19",0.895052850246429,1,1
"20",0.00320113659836352,0,0
"21",0.0911345705389977,0,0
"22",0.946334183216095,1,1
"23",0.0837055966258049,0,0
"24",0.999663710594177,1,1
"25",0.000432927074143663,0,0
"26",0.004895837046206,0,0
"27",0.000348988629411906,0,0
"28",0.000314060162054375,0,0
"29",0.00028316758107394,0,0
"30",0.000582735578063875,0,0
"31",0.000243234244408086,0,0
"32",0.000363893486792222,0,0
"33",0.000319935119478032,0,0
"34",0.000323276181006804,0,0
"35",0.942396402359009,1,0
"36",0.486313045024872,0,1
"37",0.000402042118366808,0,0
"38",0.0758559256792068,0,1
"39",0.0108371563255787,0,0
"40",0.0005371468141675,0,0
"41",0.000329840637277812,0,0
"42",0.000372880749637261,0,0
"43",0.000351471448084339,0,0
"44",0.186397776007652,0,1
"45",0.0262265093624592,0,0
"46",0.906406760215759,1,1
"47",0.56695556640625,1,0
"48",0.933152318000793,1,0
"49",0.00033322858507745,0,0
"50",0.000683165388181806,0,0
"51",0.955023884773254,1,1
"52",0.999767959117889,1,1
"53",0.0895553678274155,0,0
"54",0.166360154747963,0,1
"55",0.00111241603735834,0,0
"56",0.926224648952484,1,0
"57",0.00037967853131704,0,0
"58",0.05563810095191,0,0
"59",0.00046980963088572,0,0
"60",0.00169034127611667,0,0
"61",0.00534435594454408,0,0
"62",0.00103017827495933,0,0
"63",0.0043040569871664,0,0
"64",0.000515325111337006,0,0
"65",0.00177603890188038,0,0
"66",0.0340810008347034,0,1
"67",0.00189635693095624,0,0
"68",0.00533119076862931,0,1
"69",0.971289753913879,1,1
"70",0.934588551521301,1,0
"71",0.000517565931659192,0,0
"72",0.521890044212341,1,0
"73",0.000356467324309051,0,0
"74",0.000344377447618172,0,0
"75",0.0174802634865046,0,0
"76",0.000319935119478032,0,0
"77",0.000812650774605572,0,0
"78",0.000998853822238743,0,0
"79",0.00292514846660197,0,0
"80",0.0141452234238386,0,0
"81",0.185977444052696,0,0
"82",0.000310120201902464,0,0
"83",0.000366468302672729,0,0
"84",0.00036711135180667,0,0
"85",0.000321376195643097,0,0
"86",0.000319848797516897,0,0
"87",0.00850577559322119,0,0
"88",0.000403835176257417,0,0
"89",0.276272386312485,0,0
"90",0.000379884557332844,0,0
"91",0.0461368598043919,0,0
"92",0.000894944358151406,0,0
"93",0.000549340678844601,0,0
"94",0.018366752192378,0,0
"95",0.000347962777595967,0,0
"96",0.000268599076662213,0,0
"97",0.00056259537814185,0,0
"98",0.000412947265431285,0,0
"99",0.000814917439129204,0,0
"100",0.000789951416663826,0,0
"101",0.000626001157797873,0,0
"102",0.000407899438869208,0,0
"103",0.00033761776285246,0,0
"104",0.000439559167716652,0,0
"105",0.00291990209370852,0,0
"106",0.000458886002888903,0,0
"107",0.000477043795399368,0,0
"108",0.946224570274353,1,1
"109",0.114747226238251,0,0
"110",0.990867495536804,1,0
"111",0.000359678495442495,0,0
"112",0.000355440133716911,0,0
"113",0.497588515281677,0,0
"114",0.00106548063922673,0,0
"115",0.000360833859303966,0,0
"116",0.000318347767461091,0,0
"117",0.00046406636829488,0,0
"118",0.85977303981781,1,0
"119",0.000220204135985114,0,0
"120",0.000274607009487227,0,0
"121",0.63273674249649,1,1
"122",0.000594451325014234,0,0
"123",0.000554760335944593,0,0
"124",0.000318191217957065,0,0
"125",0.000330110255163163,0,0
"126",0.000351741589838639,0,0
"127",0.0101122437044978,0,0
"128",0.000318191217957065,0,0
"129",0.0116255888715386,0,0
"130",0.000427600898547098,0,0
"131",0.000332240131683648,0,0
"132",0.000313751021167263,0,0
"133",0.000327823916450143,0,0
"134",0.000497293367516249,0,0
"135",0.000318347767461091,0,0
"136",0.929267644882202,1,0
"137",0.000345317384926602,0,0
"138",0.00282711931504309,0,0
"139",0.000409731699619442,0,0
