"","","","validation_labels_k"
"1",0.997074007987976,1,1
"2",0.997904896736145,1,1
"3",0.775560081005096,1,0
"4",0.996822118759155,1,1
"5",0.997053623199463,1,1
"6",0.997475326061249,1,1
"7",0.997242331504822,1,1
"8",0.988408267498016,1,1
"9",0.996785879135132,1,1
"10",0.997769474983215,1,1
"11",0.0116436230018735,0,0
"12",0.996650397777557,1,1
"13",0.302843332290649,0,1
"14",0.996887385845184,1,1
"15",0.957878887653351,1,1
"16",0.997888267040253,1,1
"17",0.0112389381974936,0,0
"18",0.0118264267221093,0,0
"19",0.997367799282074,1,1
"20",0.996855735778809,1,1
"21",0.997137665748596,1,1
"22",0.0114558562636375,0,0
"23",0.0112609434872866,0,0
"24",0.995790958404541,1,1
"25",0.0354538857936859,0,0
"26",0.997929453849792,1,1
"27",0.995948672294617,1,1
"28",0.997966766357422,1,1
"29",0.787770330905914,1,1
"30",0.997377276420593,1,1
"31",0.994803011417389,1,1
"32",0.996429145336151,1,1
"33",0.996921479701996,1,1
"34",0.997740149497986,1,1
"35",0.996678590774536,1,1
"36",0.998274922370911,1,1
"37",0.997148454189301,1,1
"38",0.997368335723877,1,1
"39",0.997410237789154,1,1
"40",0.921832263469696,1,1
"41",0.99792754650116,1,1
"42",0.0681663751602173,0,0
"43",0.996866524219513,1,1
"44",0.997140765190125,1,1
"45",0.0112472595646977,0,0
"46",0.994038224220276,1,1
"47",0.0129349669441581,0,0
"48",0.0130015313625336,0,0
"49",0.994749486446381,1,1
"50",0.0404445603489876,0,0
"51",0.0115114264190197,0,0
"52",0.997741937637329,1,1
"53",0.0116361798718572,0,0
"54",0.0115138087421656,0,0
"55",0.01151302177459,0,0
"56",0.0133846160024405,0,0
"57",0.0123819764703512,0,0
"58",0.998066127300262,1,1
"59",0.0319304279983044,0,0
"60",0.994540512561798,1,1
"61",0.998371779918671,1,1
"62",0.0185033846646547,0,0
"63",0.953433036804199,1,0
"64",0.997514009475708,1,1
"65",0.997703969478607,1,1
"66",0.996375262737274,1,1
"67",0.011678977869451,0,0
"68",0.592026352882385,1,1
"69",0.996578991413116,1,1
"70",0.996268093585968,1,1
"71",0.996720254421234,1,1
"72",0.996645987033844,1,1
"73",0.998269319534302,1,1
"74",0.987963438034058,1,1
"75",0.997564196586609,1,1
"76",0.997871398925781,1,1
"77",0.274807423353195,0,0
"78",0.989653646945953,1,1
"79",0.996328890323639,1,1
"80",0.997397184371948,1,0
"81",0.998329341411591,1,0
"82",0.0114454068243504,0,0
"83",0.998334228992462,1,1
"84",0.762475848197937,1,0
"85",0.995680928230286,1,1
"86",0.997638940811157,1,1
"87",0.997948348522186,1,1
"88",0.781644642353058,1,1
"89",0.0111395791172981,0,0
"90",0.0117748798802495,0,0
"91",0.997075915336609,1,1
"92",0.0114772710949183,0,0
"93",0.0115250144153833,0,0
"94",0.0122208874672651,0,0
"95",0.801461160182953,1,1
"96",0.997849225997925,1,1
"97",0.997599542140961,1,1
"98",0.997505843639374,1,1
"99",0.997680187225342,1,1
"100",0.997828781604767,1,1
"101",0.520503759384155,1,1
"102",0.984262704849243,1,1
"103",0.0110475132241845,0,0
"104",0.0122551210224628,0,0
"105",0.0535295605659485,0,1
"106",0.734824120998383,1,0
"107",0.998038828372955,1,1
"108",0.0116825057193637,0,0
"109",0.998042941093445,1,1
"110",0.0114099672064185,0,0
"111",0.997782528400421,1,1
"112",0.997544586658478,1,1
"113",0.673841893672943,1,1
"114",0.997361838817596,1,1
"115",0.746651768684387,1,1
"116",0.0113104041665792,0,0
"117",0.0114961676299572,0,0
