"","","","validation_labels_k"
"1",6.65505524466425e-07,0,1
"2",1,1,1
"3",1.12281145447923e-06,0,1
"4",1.0298802088915e-10,0,0
"5",1.26147870105342e-05,0,0
"6",9.47001418255544e-12,0,0
"7",0.999997735023499,1,1
"8",5.76972114529894e-09,0,0
"9",2.83029483239155e-18,0,0
"10",0.999999761581421,1,1
"11",0.501041889190674,1,1
"12",3.85168893307641e-13,0,0
"13",1.53031233518508e-12,0,0
"14",1,1,1
"15",0.321900486946106,0,1
"16",0.999950647354126,1,1
"17",0.999961137771606,1,1
"18",1,1,1
"19",4.87384909320099e-07,0,1
"20",0.00459182355552912,0,1
"21",0.00421863561496139,0,0
"22",0.00705395545810461,0,1
"23",0.99992311000824,1,0
"24",4.28788311523931e-08,0,0
"25",1.19957041988528e-06,0,0
"26",0.999990940093994,1,0
"27",1,1,0
"28",1,1,0
"29",0.995993494987488,1,1
"30",1,1,1
"31",0.999999165534973,1,1
"32",5.01646240991249e-07,0,1
"33",1,1,1
"34",2.57420699339983e-11,0,0
"35",1,1,1
"36",0.446090072393417,0,1
"37",7.22784037679657e-21,0,0
"38",1,1,1
"39",0.423937350511551,0,1
"40",1,1,1
"41",0.718427896499634,1,1
"42",1,1,1
"43",4.1890731335148e-12,0,0
"44",0.0574917905032635,0,0
"45",2.14449727309329e-07,0,0
"46",1,1,1
"47",1,1,1
"48",1,1,1
"49",4.76630063876607e-20,0,0
"50",0.999944090843201,1,1
"51",1.53214437664806e-11,0,0
"52",3.6198182229441e-09,0,0
"53",1,1,1
"54",1,1,1
"55",1,1,1
"56",3.37827507836824e-15,0,0
"57",0.999987125396729,1,1
"58",3.30813364443245e-23,0,0
"59",1.46684131894484e-20,0,0
"60",3.23296227037809e-19,0,0
"61",8.39788250649142e-22,0,0
"62",1.19089673481128e-28,0,0
"63",1.61067650631207e-22,0,0
"64",0.170746639370918,0,1
"65",0.999969005584717,1,1
"66",1.90473675277614e-16,0,0
"67",1,1,1
"68",3.58390379005813e-12,0,0
"69",5.44395323370456e-19,0,1
"70",1.57911340253891e-11,0,0
"71",1,1,1
"72",0.463528960943222,0,1
"73",0.966621696949005,1,0
"74",1,1,1
"75",1,1,1
"76",0.99996018409729,1,0
"77",1.58051013791914e-24,0,0
"78",1,1,1
"79",3.18241299979150e-09,0,0
"80",4.89822205241892e-20,0,0
"81",1,1,0
"82",3.62079479896901e-15,0,0
"83",1.31186634526942e-21,0,0
"84",0.709388732910156,1,1
"85",1,1,1
"86",1,1,1
"87",1,1,1
"88",0.99999988079071,1,1
"89",3.20773215207737e-05,0,0
"90",1,1,1
"91",1,1,1
"92",1,1,1
"93",1,1,1
"94",1.30701176846499e-20,0,0
"95",1.96942021105579e-28,0,0
"96",4.60319933212605e-13,0,1
"97",8.70380972628482e-06,0,0
"98",0.270890742540359,0,1
"99",1.31129170112074e-20,0,0
"100",1.38312951509219e-22,0,0
"101",0.961687982082367,1,0
"102",0.999999403953552,1,1
"103",5.53326767260406e-20,0,0
"104",2.39021101676951e-19,0,0
"105",9.31154954741942e-06,0,0
"106",0.342000335454941,0,1
"107",1,1,1
"108",2.35747956885271e-16,0,0
"109",0.00437073037028313,0,1
"110",3.13256295684714e-26,0,0
"111",3.07738792673477e-14,0,0
"112",2.57687502364128e-18,0,0
"113",0.00519367819651961,0,0
"114",1,1,0
"115",0.177451401948929,0,1
"116",1,1,1
"117",0.0796187296509743,0,1
"118",1,1,1
"119",1,1,1
"120",1.76769377902441e-22,0,0
"121",9.01103924099544e-18,0,0
"122",7.46378486884855e-16,0,0
"123",2.29608261292924e-07,0,0
"124",2.34213958318085e-26,0,0
"125",1,1,1
"126",5.97651560977132e-23,0,0
"127",1.33943366380923e-13,0,0
"128",1.05474623856075e-20,0,0
"129",0.99998664855957,1,1
"130",0.999998331069946,1,1
"131",4.8243943968863e-14,0,0
"132",2.1683515377607e-16,0,0
"133",0.588846564292908,1,1
"134",1,1,1
"135",1.38670590767463e-15,0,0
"136",1,1,1
"137",1,1,1
"138",1,1,1
"139",0.999768078327179,1,1
"140",7.95385775039959e-17,0,0
"141",0.999995708465576,1,1
"142",1,1,1
"143",1,1,1
"144",1,1,1
"145",1,1,1
"146",3.05419897572954e-20,0,0
"147",0.959706246852875,1,1
"148",1,1,1
"149",4.01633628626323e-21,0,0
"150",1.29254076192872e-17,0,0
"151",1.81524513844823e-14,0,0
"152",0.99995481967926,1,1
"153",3.13335457840375e-13,0,0
"154",1,1,1
"155",1.72316238614546e-18,0,0
"156",1,1,1
"157",4.18924840368983e-16,0,0
"158",6.08132467994071e-13,0,0
"159",1,1,0
"160",0.999970674514771,1,1
"161",1,1,1
"162",1,1,1
"163",0.99998152256012,1,0
