"","","","validation_labels_k"
"1",1,1,1
"2",7.45366790511071e-09,0,1
"3",1,1,1
"4",0.99999988079071,1,1
"5",0.938331961631775,1,1
"6",0.999987959861755,1,1
"7",0.00387492356821895,0,0
"8",1,1,1
"9",1,1,1
"10",4.47745463816318e-07,0,0
"11",0.999347507953644,1,0
"12",1,1,1
"13",0.984653651714325,1,1
"14",0.99999988079071,1,1
"15",1,1,1
"16",5.56781401428452e-07,0,0
"17",1.09065899778216e-06,0,0
"18",0.999197781085968,1,0
"19",0.993305861949921,1,0
"20",7.27628284948878e-05,0,0
"21",9.17663633970278e-09,0,0
"22",0.999622941017151,1,1
"23",0.688204228878021,1,0
"24",0.999999165534973,1,1
"25",4.32264432581597e-11,0,0
"26",0.846428394317627,1,1
"27",1,1,1
"28",1,1,1
"29",0.952680170536041,1,0
"30",1,1,1
"31",1.55688212544192e-05,0,0
"32",1.15656574595224e-10,0,0
"33",0.150744065642357,0,1
"34",0.98804759979248,1,1
"35",0.999999523162842,1,1
"36",2.90283769244226e-12,0,0
"37",1,1,1
"38",1,1,1
"39",1.09677596865643e-11,0,0
"40",9.28822714740818e-07,0,0
"41",9.35213329000817e-09,0,0
"42",1.1652410980556e-10,0,0
"43",0.000995637266896665,0,1
"44",1,1,1
"45",9.83961498945973e-08,0,0
"46",3.3784514075208e-10,0,0
"47",2.89665447184007e-08,0,0
"48",8.32948554574386e-09,0,0
"49",0.987773239612579,1,1
"50",1.33972266613824e-09,0,0
"51",1,1,1
"52",1,1,1
"53",1,1,1
"54",1,1,1
"55",0.999999761581421,1,1
"56",2.30992187183476e-11,0,0
"57",2.62109400850363e-09,0,0
"58",1,1,0
"59",0.999060094356537,1,1
"60",1,1,1
"61",4.58820181847841e-09,0,0
"62",0.99998414516449,1,1
"63",7.65206204960123e-05,0,0
"64",3.15097736347525e-07,0,0
"65",9.59368699113838e-05,0,0
"66",0.999959707260132,1,1
"67",0.999559104442596,1,1
"68",0.999996900558472,1,0
"69",1,1,1
"70",0.00427136663347483,0,1
"71",8.03924922365695e-06,0,1
"72",0.958726525306702,1,0
"73",1,1,1
"74",0.999820291996002,1,1
"75",1,1,1
"76",1,1,1
"77",0.975224018096924,1,0
"78",1,1,1
"79",1,1,1
"80",0.999593198299408,1,1
"81",0.999999403953552,1,1
"82",0.000275803729891777,0,0
"83",0.999999165534973,1,1
"84",1,1,1
"85",0.000273312005447224,0,1
"86",1,1,1
"87",1,1,1
"88",2.50224996278803e-08,0,0
"89",3.17527133120166e-06,0,0
"90",7.40889918859899e-11,0,0
"91",4.77447491264993e-11,0,0
"92",0.00190852035302669,0,0
"93",5.90318087745345e-08,0,0
"94",7.35783274308233e-08,0,0
"95",1.90738119743017e-11,0,0
"96",1,1,1
"97",1,1,1
"98",0.999999761581421,1,1
"99",0.0174336936324835,0,1
"100",1,1,1
"101",1,1,1
"102",2.06926511481242e-08,0,0
"103",1.02151784631133e-06,0,0
"104",1.89551083162875e-11,0,0
"105",0.998785436153412,1,1
"106",1,1,1
"107",0.999989151954651,1,1
"108",7.25408394377375e-13,0,0
"109",1,1,1
"110",4.92234697446747e-09,0,0
"111",2.90283769244226e-12,0,0
"112",0.0381321795284748,0,0
"113",1,1,1
"114",1,1,1
"115",0.199494823813438,0,1
"116",0.958085536956787,1,1
"117",1,1,1
"118",0.952178835868835,1,1
"119",0.999878168106079,1,1
"120",0.000173321546753868,0,0
"121",1,1,1
"122",3.71153546439018e-05,0,0
"123",7.15306669007987e-07,0,0
"124",1.12853228984022e-06,0,0
"125",3.37862707056047e-06,0,0
"126",3.02362280990565e-07,0,0
"127",3.93738467883609e-17,0,0
"128",1.86322849510256e-11,0,0
"129",0.000227874857955612,0,0
"130",8.45549270791363e-13,0,0
"131",5.21236209749532e-08,0,0
"132",1.84379516099398e-07,0,0
"133",1.7528451223825e-07,0,0
"134",2.38621011838802e-09,0,0
"135",1.31387383611736e-11,0,0
"136",0.99999988079071,1,1
"137",1.826046692327e-12,0,0
"138",6.25171869828023e-09,0,0
"139",1.65552571651517e-10,0,0
"140",2.97452906750095e-08,0,0
"141",1,1,1
"142",3.79400626115967e-06,0,0
"143",1.04683399726468e-08,0,0
"144",3.28069446609014e-11,0,0
"145",1,1,1
"146",0.0473175272345543,0,0
"147",0.0059998519718647,0,1
"148",1,1,1
"149",9.24997584661469e-06,0,0
"150",4.70507810490517e-09,0,0
"151",1.98985740975144e-18,0,0
"152",1.40506398182971e-10,0,0
"153",1.73015541804489e-05,0,0
"154",1,1,1
"155",1,1,1
"156",4.19375005833444e-08,0,0
"157",2.11617994239077e-08,0,0
"158",6.71636880724691e-05,0,0
"159",2.139910969777e-13,0,0
"160",0.0154157625511289,0,0
"161",6.15112139001894e-09,0,0
"162",1,1,1
"163",0.999949097633362,1,1
"164",1.22690252624125e-07,0,0
"165",1,1,1
"166",0.0400929003953934,0,1
"167",2.11264165883573e-13,0,0
"168",3.36605960118974e-12,0,0
"169",1.29809101479878e-15,0,0
"170",4.44849712621931e-09,0,0
"171",9.89553786134856e-11,0,0
"172",6.36279253285466e-07,0,0
"173",7.66835190181905e-15,0,0
"174",7.43562329763581e-12,0,0
"175",1,1,1
"176",2.37365256907651e-05,0,0
"177",0.000304866058286279,0,0
"178",1.75742445527159e-17,0,0
"179",1.04853937490067e-14,0,0
"180",2.32143287476035e-14,0,0
"181",6.8965030812707e-16,0,0
"182",1.44712444694051e-07,0,0
"183",5.33439937187852e-13,0,0
"184",4.34496882917301e-12,0,0
"185",9.18947318413743e-13,0,0
"186",9.34356453698767e-15,0,0
"187",4.47284258242586e-11,0,0
"188",1.10092901461911e-09,0,0
"189",0.99999988079071,1,1
"190",2.36991714230514e-13,0,0
"191",1.45335665724389e-09,0,0
"192",7.36036620541114e-10,0,0
"193",1.15472627119917e-12,0,0
"194",4.50539855423315e-10,0,1
"195",1.49582408681681e-08,0,0
"196",6.09131625821956e-18,0,0
"197",4.66968670898233e-15,0,0
"198",3.5976318359934e-14,0,0
