"","","","validation_labels_k"
"1",0.998766303062439,1,0
"2",5.0183157291933e-15,0,0
"3",0.417421072721481,0,1
"4",1,1,1
"5",4.66355639272987e-14,0,0
"6",0.99999988079071,1,1
"7",0.473720043897629,0,1
"8",1.39145043143857e-12,0,0
"9",1,1,1
"10",1,1,1
"11",4.27772441492606e-14,0,0
"12",0.976635217666626,1,1
"13",4.60907783812675e-20,0,0
"14",1.47133808471971e-17,0,0
"15",0.998526334762573,1,1
"16",0.654445290565491,1,0
"17",1.40833733563994e-10,0,0
"18",0.999995231628418,1,1
"19",1.01295791365459e-15,0,0
"20",7.10728744195317e-15,0,0
"21",1.5163109483296e-12,0,0
"22",0.79660952091217,1,0
"23",1.5803622943622e-07,0,1
"24",0.99999988079071,1,1
"25",9.63265023301574e-10,0,0
"26",0.692418932914734,1,0
"27",5.22414854431386e-11,0,0
"28",3.11716764325645e-15,0,0
"29",1,1,1
"30",1,1,1
"31",0.999996662139893,1,1
"32",0.999999403953552,1,1
"33",4.08846159442237e-15,0,0
"34",1.80674162513649e-17,0,0
"35",0.999297738075256,1,1
"36",1,1,1
"37",1,1,1
"38",0.639871120452881,1,1
"39",0.999961137771606,1,1
"40",1.00894145468877e-11,0,0
"41",0.999945282936096,1,1
"42",8.34009800342188e-22,0,0
"43",0.00208732159808278,0,1
"44",0.999103605747223,1,1
"45",1,1,1
"46",1,1,1
"47",1.10961552446387e-11,0,0
"48",9.07675031056737e-13,0,0
"49",0.86005425453186,1,1
"50",2.81967357855474e-15,0,0
"51",7.95104813152564e-14,0,0
"52",2.91739505817179e-13,0,0
"53",0.992509067058563,1,1
"54",1,1,1
"55",1,1,1
"56",0.99986743927002,1,1
"57",0.992798328399658,1,1
"58",1,1,1
"59",6.77467454422535e-14,0,0
"60",1,1,1
"61",3.63402333602276e-15,0,0
"62",0.999971389770508,1,1
"63",0.99999737739563,1,1
"64",1,1,1
"65",0.99999988079071,1,1
"66",7.25640454299868e-14,0,0
