"","","","validation_labels_k"
"1",1,1,1
"2",2.96940463329065e-08,0,0
"3",3.73450795569837e-14,0,0
"4",1.03815810899554e-24,0,0
"5",2.88142070602292e-25,0,0
"6",8.71564959264866e-28,0,0
"7",3.30897157374816e-20,0,0
"8",6.04147578554268e-31,0,0
"9",1.02384105835341e-19,0,0
"10",4.80959468783079e-17,0,0
"11",4.03508111705156e-24,0,0
"12",4.50953268723952e-18,0,0
"13",5.68494222390817e-20,0,0
"14",2.5518248538553e-13,0,0
"15",2.05832077617684e-28,0,0
"16",1.39220192037322e-23,0,0
"17",2.02500979851715e-14,0,0
"18",8.9698412262439e-20,0,0
"19",4.3217576603638e-05,0,0
"20",2.27227584594793e-22,0,0
"21",1.45853503494348e-25,0,0
"22",1.60366823447565e-23,0,0
"23",3.59629465096489e-10,0,0
"24",7.32313655435158e-31,0,0
"25",2.72814002190089e-15,0,0
"26",5.22397733161467e-23,0,0
"27",5.82028076085922e-23,0,0
"28",1.20651009807011e-24,0,0
"29",1.35365682967352e-32,0,0
"30",1.92689451634226e-13,0,0
"31",0.00977269373834133,0,0
"32",6.61957850941673e-19,0,0
"33",1.71415983629686e-08,0,1
"34",4.70376142994486e-23,0,0
"35",3.48709494493525e-23,0,0
"36",9.66594473098025e-21,0,0
"37",3.1982028485689e-17,0,0
"38",1.03818879137067e-26,0,0
"39",1.30810073943203e-25,0,0
"40",0.999696373939514,1,0
"41",1.40222385167217e-28,0,0
"42",3.27401257038239e-22,0,0
"43",1.97014287550701e-05,0,0
"44",9.55504401071548e-29,0,0
"45",7.3880521559441e-27,0,0
"46",0.999999523162842,1,0
"47",1.0043891272333e-22,0,0
"48",5.01835684119101e-10,0,0
"49",1.9284049907442e-21,0,0
"50",9.56173259708154e-33,0,0
"51",5.83823938151218e-26,0,0
"52",6.26469485316662e-16,0,0
"53",1.74229514099646e-36,0,0
"54",5.67742404200544e-07,0,0
"55",1.09450420064385e-30,0,0
"56",0.833160400390625,1,1
"57",2.91000661067908e-11,0,0
"58",8.37505729113098e-18,0,0
"59",7.88078686398395e-20,0,0
"60",1.8400773800703e-27,0,0
