"","","","validation_labels_k"
"1",6.68377816810607e-18,0,0
"2",5.65391171380991e-11,0,0
"3",0.999997973442078,1,1
"4",1.20883341449838e-14,0,0
"5",1.4984010704211e-05,0,0
"6",1,1,1
"7",7.40976315888059e-18,0,0
"8",0.987281501293182,1,1
"9",6.95842267202265e-15,0,0
"10",5.3927057264147e-11,0,0
"11",7.67625776853555e-14,0,0
"12",0.000155638117576018,0,0
"13",9.32794463892606e-08,0,0
"14",4.69441000829074e-13,0,0
"15",1.30524150515621e-11,0,0
"16",1.52518449259009e-11,0,0
"17",2.77475733362342e-11,0,0
"18",0.182189300656319,0,0
"19",4.36730559835593e-18,0,0
"20",2.20879815060471e-06,0,0
"21",7.72600760683417e-05,0,0
"22",8.41078417579411e-06,0,0
"23",6.81986067618823e-09,0,0
"24",9.9273337150047e-15,0,0
"25",1,1,1
"26",0.0378751531243324,0,0
"27",4.64569382312499e-14,0,0
"28",1.40416361670654e-14,0,0
"29",0.999999761581421,1,1
"30",3.6844428891992e-22,0,0
"31",3.86599595003645e-06,0,0
"32",7.32977567530213e-12,0,0
"33",1.95583488675766e-05,0,0
"34",5.68902997627463e-13,0,0
"35",4.71887950264684e-14,0,0
"36",8.27156787508443e-10,0,0
"37",1.24714197302644e-10,0,0
"38",1,1,1
"39",1.96039682265337e-08,0,0
"40",2.75226150853544e-18,0,0
"41",4.39188703182936e-08,0,0
"42",1.24025125564607e-13,0,0
"43",5.79457948290951e-09,0,0
"44",6.41519509372301e-05,0,0
"45",2.98245954842569e-12,0,0
"46",0.992584228515625,1,1
"47",2.03981796731423e-14,0,0
"48",3.55776833467835e-17,0,0
"49",4.59540766550859e-10,0,0
"50",7.391964262915e-10,0,0
"51",3.57307846504673e-12,0,0
"52",3.03708056967333e-12,0,0
"53",1.41449843510258e-15,0,0
"54",1,1,1
"55",0.000564046436920762,0,0
"56",4.28812455766092e-07,0,0
"57",1,1,1
"58",7.90439727560432e-11,0,0
"59",1.34969382892258e-10,0,0
"60",2.19363134427997e-12,0,0
"61",2.69624615611974e-05,0,0
"62",5.9613841640882e-12,0,0
"63",1.071991332283e-17,0,0
"64",2.22835264129806e-10,0,0
"65",0.000500290072523057,0,0
"66",1.05086050972147e-09,0,0
"67",0.000293448654701933,0,1
"68",2.44036666084727e-20,0,0
"69",0.999999523162842,1,0
"70",1,1,1
"71",1.16797012599673e-12,0,0
"72",6.33652152970399e-09,0,0
"73",3.43345249861828e-15,0,0
"74",3.2152573936628e-08,0,0
"75",6.38227942717506e-11,0,0
"76",7.67414363167518e-08,0,0
"77",5.35882579630331e-12,0,0
"78",8.22256065319271e-12,0,0
"79",7.07289291312918e-06,0,0
"80",1.60013535754899e-09,0,0
"81",7.19010267991038e-12,0,0
"82",0.821752965450287,1,1
"83",3.56352406417565e-19,0,0
"84",1.48845640673967e-11,0,0
"85",5.40816882650761e-14,0,0
"86",1.81894890260992e-08,0,0
"87",5.53525107693797e-13,0,0
"88",1.70279415567798e-11,0,0
"89",1.46597872594445e-14,0,0
"90",5.65158759634893e-13,0,0
"91",1.07248218125849e-17,0,0
"92",3.65077685273718e-05,0,0
"93",1,1,1
"94",0.879553496837616,1,0
"95",0.00010955778270727,0,0
"96",0.994052588939667,1,1
"97",3.02707275912084e-10,0,0
"98",6.1690882437182e-12,0,0
"99",9.7741937156795e-14,0,0
"100",1.15912856570033e-12,0,0
"101",1.40680439519869e-10,0,0
"102",1.67887608654681e-13,0,0
"103",3.38774585963061e-16,0,0
"104",1.67041017011592e-15,0,0
"105",0.0012852381914854,0,0
"106",1.67058171740564e-08,0,0
"107",8.22842276422386e-21,0,0
"108",1.80116858927715e-12,0,0
"109",1.38195691819417e-17,0,0
"110",9.79250255690729e-21,0,0
"111",0.999711096286774,1,0
"112",1,1,1
"113",5.18720799647099e-09,0,0
"114",2.52019344770815e-06,0,0
"115",4.42722654538566e-16,0,0
"116",8.48567722755433e-08,0,0
"117",1.23669266827164e-07,0,0
"118",7.65913872445177e-16,0,0
"119",5.97743299302067e-10,0,0
"120",1.2884154467778e-17,0,0
"121",6.24423689837839e-12,0,0
"122",1.28697615251196e-17,0,0
"123",5.40714556462873e-11,0,0
"124",1.70795791246993e-13,0,0
"125",3.39184213213935e-14,0,0
"126",1.52818835363888e-09,0,0
"127",1.85020289791282e-05,0,0
"128",0.145335495471954,0,0
"129",2.65107120284158e-12,0,0
"130",7.08044598429422e-14,0,0
"131",2.5737522927518e-17,0,0
"132",7.78514106514194e-07,0,0
"133",1,1,0
"134",1.23623507874981e-07,0,0
"135",4.30236662268824e-12,0,0
"136",4.33254127019111e-11,0,0
"137",5.05994921695674e-06,0,0
"138",3.70709056526612e-19,0,0
"139",1.37385914954604e-14,0,0
"140",0.556521594524384,1,0
"141",5.09699534911433e-14,0,0
"142",6.49747835355517e-15,0,0
"143",5.4599296546616e-14,0,0
"144",0.00646556634455919,0,1
"145",4.44729003623578e-10,0,0
"146",0.999999046325684,1,1
"147",5.72029466638924e-06,0,0
"148",1.14087558844567e-11,0,1
"149",0.000186324148671702,0,0
"150",0.0075478982180357,0,0
"151",4.83596832284022e-13,0,0
"152",2.59915526601429e-12,0,0
"153",5.64521052126565e-09,0,0
"154",4.44000522112353e-12,0,0
"155",2.36906026700047e-19,0,0
"156",1.92903740805486e-14,0,0
"157",1.26830268292952e-13,0,0
"158",2.76455247583129e-10,0,0
"159",1,1,1
"160",0.00187606329564005,0,0
"161",0.0153503278270364,0,1
"162",0.205032482743263,0,1
"163",1,1,1
"164",3.65709511285228e-11,0,0
"165",1.46380099153021e-08,0,1
"166",7.75645094108768e-05,0,0
"167",1.51331109644361e-13,0,0
"168",3.05592773308661e-10,0,0
"169",1.93975274753212e-13,0,0
"170",4.37788194584954e-10,0,0
"171",0.00236735679209232,0,0
"172",2.06484040477829e-13,0,1
"173",6.45557775123687e-15,0,0
"174",2.28969641369921e-14,0,0
"175",2.92001559791757e-18,0,0
"176",4.52527321170848e-11,0,0
"177",3.29058691406203e-09,0,0
"178",4.12272616046039e-09,0,0
"179",0.013180841691792,0,0
"180",4.97891633131076e-05,0,0
"181",1.0842068149941e-05,0,0
"182",2.69554045750908e-10,0,0
"183",0.00286243460141122,0,0
"184",4.56595846375801e-20,0,0
"185",3.59423046880636e-10,0,0
"186",1.3323878111926e-10,0,0
"187",8.64826965596421e-09,0,1
"188",4.40403340462581e-07,0,0
"189",5.51071595288094e-17,0,0
"190",1.11658220917996e-13,0,0
"191",4.87102545798646e-13,0,0
"192",1.08169978304943e-14,0,0
"193",5.79861881205798e-19,0,0
"194",2.60329620638199e-17,0,0
"195",8.26034296519396e-10,0,0
"196",1.66762267112042e-21,0,0
"197",5.64811841741175e-09,0,0
"198",1.38051679463014e-12,0,0
"199",6.79730895864188e-15,0,0
"200",2.85941452807248e-12,0,0
"201",0.000313549477141351,0,0
"202",3.59538232519441e-10,0,0
"203",1.16963825777527e-11,0,0
"204",2.62979200048308e-13,0,0
"205",1.6238121816059e-06,0,0
"206",1.3040856172708e-09,0,0
"207",8.27869673855619e-15,0,0
"208",5.64521052126565e-09,0,0
"209",7.6322385911265e-11,0,0
"210",1.71581167052182e-08,0,1
"211",9.12817155196421e-10,0,0
"212",2.36328594661891e-17,0,0
"213",3.25088456154532e-10,0,0
"214",3.09184792263888e-15,0,0
"215",1.80507023987263e-14,0,0
"216",2.49240016476817e-15,0,0
"217",1.71328023382961e-12,0,0
"218",9.15467925776285e-20,0,0
"219",6.32067445258122e-12,0,0
"220",1.53592125684554e-08,0,0
"221",4.59804828760457e-13,0,0
"222",1.24834309556121e-11,0,0
"223",0.771594405174255,1,1
"224",7.07289291312918e-06,0,0
"225",4.75033532475189e-13,0,0
"226",1.73802703999637e-13,0,0
"227",2.32927413890138e-06,0,0
"228",4.05182033758056e-11,0,0
"229",0.215531051158905,0,0
"230",2.34056074218184e-13,0,0
"231",6.56916702096045e-19,0,0
"232",5.85508086459186e-10,0,0
"233",3.12800341184527e-10,0,0
"234",9.67359747860996e-10,0,0
"235",6.94584334492987e-10,0,0
"236",7.98713580083682e-13,0,0
"237",1.90231632529736e-11,0,0
"238",1.13876297280768e-10,0,0
"239",1.48809936595384e-10,0,0
"240",7.3873701600391e-10,0,0
"241",8.36490761957884e-17,0,0
"242",3.36394974376208e-11,0,0
"243",1,1,1
"244",5.84482295055326e-15,0,0
"245",0.00576692773029208,0,0
"246",4.37457892132898e-09,0,0
"247",7.50707513930138e-08,0,0
"248",1.3438964356952e-17,0,0
"249",0.00155062996782362,0,0
"250",4.90192242352805e-09,0,0
"251",8.05547275274867e-18,0,0
"252",3.17020799938056e-15,0,0
"253",6.38296082655643e-11,0,0
"254",1.14544251861304e-09,0,0
"255",1.11744133352254e-16,0,0
"256",1.90849889196302e-14,0,0
"257",2.42652832986487e-18,0,0
"258",3.05896210193168e-05,0,0
