"","","","validation_labels_k"
"1",4.2540515381162e-12,0,0
"2",1.81563408752083e-09,0,0
"3",2.48338732284213e-20,0,0
"4",2.05255604179833e-11,0,1
"5",1.28653568545322e-15,0,0
"6",4.39295653889907e-13,0,0
"7",3.97646680028174e-08,0,0
"8",1,1,1
"9",0.999951362609863,1,0
"10",1.1181550830355e-28,0,0
"11",1.29352293964446e-16,0,1
"12",0.980418503284454,1,0
"13",2.51277245934599e-30,0,0
"14",1.69075981481484e-28,0,0
"15",1.78104739554694e-23,0,0
"16",2.86758840278664e-21,0,0
"17",1.0060605814965e-23,0,0
"18",4.00074236238137e-27,0,0
"19",2.33756782086996e-20,0,0
"20",2.10329443864103e-20,0,0
"21",4.96784208429846e-22,0,0
"22",1.73400651153074e-29,0,0
"23",3.00746062414234e-17,0,0
"24",1,1,1
"25",1,1,1
"26",1,1,1
"27",1.81001476557255e-21,0,0
"28",4.79694354984378e-13,0,0
"29",1,1,0
"30",6.07707875133201e-07,0,0
"31",6.17884521325607e-10,0,1
"32",5.93422580401049e-27,0,0
"33",5.07152554405964e-23,0,0
"34",2.04566712024427e-17,0,0
"35",0.999988794326782,1,1
"36",2.06953137488414e-14,0,0
"37",1,1,1
"38",1,1,1
"39",0.999925851821899,1,0
"40",5.01133198600329e-23,0,0
"41",1,1,1
"42",2.27394835728474e-23,0,0
"43",0.00126082077622414,0,0
"44",8.86954423210025e-14,0,0
"45",2.04978391593613e-07,0,0
"46",2.0707636627375e-21,0,0
"47",9.5167735319401e-22,0,0
"48",2.40340753157966e-24,0,0
"49",2.40340753157966e-24,0,0
"50",2.40340753157966e-24,0,0
"51",1.00778854186634e-24,0,0
"52",1,1,1
"53",1,1,1
"54",3.80893103515967e-12,0,1
"55",3.01044428852038e-06,0,1
"56",1.26999080007547e-23,0,0
"57",1,1,1
"58",4.67437700990558e-07,0,1
"59",0.629528403282166,1,1
"60",0.999843120574951,1,1
"61",2.97748488370569e-24,0,0
"62",1,1,1
"63",1.54478115632628e-07,0,1
"64",3.97346240288384e-24,0,0
"65",6.49340648244715e-25,0,0
"66",7.47567811655383e-28,0,0
"67",1,1,1
"68",0.915822684764862,1,1
"69",1.46300073511274e-22,0,0
"70",5.26618937726066e-25,0,0
"71",8.26714001327589e-24,0,0
"72",2.65645722835119e-23,0,0
"73",2.21152549398731e-29,0,0
"74",1.73542575231686e-18,0,0
"75",9.58901660604389e-26,0,0
"76",1.73339803803894e-29,0,0
"77",0.000243272297666408,0,0
"78",5.21250591354617e-25,0,0
"79",5.24547192296101e-35,0,0
"80",3.35341842557772e-22,0,0
"81",6.14184892839476e-35,0,0
"82",7.36567126487294e-22,0,0
"83",7.38765772549149e-27,0,0
"84",5.85174486991691e-13,0,0
"85",1,1,1
"86",2.0755288366658e-17,0,0
"87",2.05292848389253e-18,0,0
"88",6.38314122088782e-23,0,0
"89",1,1,1
"90",1.87411674747937e-19,0,0
"91",1.79329919426593e-22,0,0
"92",2.00324632496746e-26,0,0
"93",6.34189502202152e-26,0,0
"94",3.1424396256265e-17,0,0
"95",8.82914872262592e-15,0,0
"96",0.999778687953949,1,0
"97",7.58598181412816e-23,0,0
"98",4.43945516137237e-23,0,0
"99",2.42137685580504e-19,0,0
"100",3.96413934758309e-30,0,0
"101",1,1,1
"102",1.56013892127999e-22,0,0
"103",1.35698917395648e-28,0,0
"104",0.00096952059539035,0,0
"105",2.5606042084527e-29,0,0
"106",2.7114385399096e-36,0,0
"107",1.30863451441627e-33,0,0
"108",3.61608807160406e-30,0,0
"109",5.59473430070014e-20,0,0
"110",6.59001072348395e-38,0,0
"111",1.26131121402407e-36,0,0
"112",3.97833736990303e-36,0,0
"113",1.72055339734965e-27,0,0
"114",8.16869575156632e-34,0,0
"115",9.68229080399425e-29,0,0
"116",1,1,1
"117",0.998652040958405,1,1
"118",5.71391629132447e-30,0,0
"119",1.30863451441627e-33,0,0
"120",3.26554749506071e-27,0,0
"121",1.20362223751979e-18,0,0
