"","","","validation_labels_k"
"1",2.25522029495551e-07,0,0
"2",0.000114973707241006,0,1
"3",0.000321427040034905,0,0
"4",1,1,1
"5",0.99999988079071,1,1
"6",0.00400500791147351,0,0
"7",1,1,1
"8",1.83695367944603e-11,0,0
"9",1.05009321487159e-05,0,0
"10",3.17445073960698e-06,0,0
"11",0.999997973442078,1,1
"12",2.13977657814723e-09,0,0
"13",3.72079405288398e-17,0,0
"14",5.51113487290422e-07,0,0
"15",1,1,1
"16",0.0196322333067656,0,0
"17",9.57056272454793e-07,0,0
"18",1.17570593261007e-08,0,0
"19",5.17294711244176e-06,0,0
"20",1,1,1
"21",1,1,1
"22",1,1,1
"23",1.48130510524425e-07,0,0
"24",0.000227163545787334,0,0
"25",1,1,1
"26",1,1,1
"27",0.993966817855835,1,0
"28",1,1,1
"29",1,1,1
"30",0.000126942410133779,0,0
"31",1,1,1
"32",1,1,1
"33",2.00238901015837e-05,0,0
"34",5.35164588200132e-08,0,0
"35",1.49659008457093e-05,0,0
"36",5.3888606998953e-06,0,0
"37",7.6251552627582e-07,0,0
"38",2.3186835562683e-07,0,0
"39",0.991874158382416,1,1
"40",0.00132926809601486,0,0
"41",1.58438648867332e-08,0,0
"42",3.47759510077594e-09,0,0
"43",1.19962711639388e-11,0,0
"44",6.28944096803252e-09,0,0
"45",5.39820405265345e-07,0,0
"46",1,1,1
"47",0.00862355064600706,0,1
"48",1,1,1
"49",1,1,1
"50",0.999999046325684,1,1
"51",1,1,1
"52",1.97874032892287e-05,0,0
"53",1,1,1
"54",8.8177529278255e-08,0,0
"55",2.10320263249741e-06,0,0
"56",1,1,1
"57",1.40659111025343e-08,0,0
"58",0.999988317489624,1,1
"59",0.000109998902189545,0,0
"60",2.66756956079917e-07,0,0
"61",2.04870133302393e-07,0,0
"62",0.000211581529583782,0,0
"63",1.10301562017412e-06,0,1
"64",5.42713860340882e-06,0,0
"65",1,1,1
"66",4.44267825514544e-05,0,1
"67",0.999998688697815,1,1
"68",1.78226709977025e-05,0,0
"69",0.99999988079071,1,1
"70",0.221892669796944,0,0
"71",2.1411112527403e-07,0,0
"72",1.22645951705636e-05,0,0
"73",1.19139276648639e-05,0,0
"74",8.55894632945109e-10,0,0
"75",0.999995470046997,1,0
"76",0.0346091352403164,0,0
"77",0.995312452316284,1,0
"78",1.13160538717239e-07,0,0
"79",0.966004371643066,1,1
"80",1.97120542111406e-07,0,0
"81",1.79868027316843e-06,0,0
"82",9.20930290249089e-07,0,0
"83",1,1,1
"84",1,1,1
"85",0.918335199356079,1,0
"86",5.57456232286313e-08,0,0
"87",6.85445456838352e-06,0,0
"88",1,1,1
"89",1,1,1
"90",0.999887943267822,1,1
"91",1,1,1
"92",0.00100662256591022,0,0
"93",1.74697589727657e-07,0,0
"94",1.1033880582545e-06,0,0
"95",0.999994277954102,1,1
"96",0.353569060564041,0,1
"97",8.8869062892627e-05,0,0
"98",0.999999761581421,1,1
"99",0.000169867547811009,0,0
"100",1,1,1
"101",0.999994158744812,1,1
"102",0.999855279922485,1,1
"103",1.36525514449204e-07,0,0
"104",0.999996423721313,1,1
"105",7.09727873982047e-06,0,0
"106",0.999995112419128,1,1
"107",7.23517745715441e-10,0,0
"108",2.90552470687544e-05,0,0
"109",5.95832580074784e-06,0,0
"110",2.92792012857035e-09,0,0
"111",2.08082165045198e-05,0,0
"112",5.0467914292085e-09,0,0
"113",4.7078430043257e-09,0,0
"114",2.9667813805645e-07,0,0
"115",5.93047734582797e-05,0,0
"116",8.13816404843237e-06,0,0
"117",1.25961068988545e-05,0,0
"118",0.000237247921177186,0,0
"119",1,1,1
"120",1,1,1
"121",0.999992966651917,1,1
"122",0.99999988079071,1,1
"123",0.00237398687750101,0,1
"124",1,1,1
"125",3.80135088562383e-06,0,0
"126",0.999999642372131,1,1
"127",0.997162401676178,1,1
"128",1.49844736228519e-13,0,0
"129",4.17262697283149e-07,0,0
"130",1,1,1
"131",1.68033309488891e-10,0,0
"132",2.77279104921035e-06,0,0
"133",1.07804635263165e-05,0,0
"134",0.0284274574369192,0,0
"135",0.99999988079071,1,1
"136",1.31908445837325e-05,0,0
"137",1,1,1
"138",1,1,1
"139",2.99393632303691e-05,0,0
"140",4.54851090125885e-07,0,0
"141",0.000187043653568253,0,0
"142",5.29946078131616e-07,0,0
"143",1.13587690364625e-08,0,0
"144",2.35239463108883e-06,0,0
"145",1.24686459912482e-06,0,0
"146",0.207735970616341,0,1
"147",0.0706082507967949,0,0
"148",8.61577916566603e-07,0,0
"149",1,1,1
"150",0.241093188524246,0,1
"151",1,1,1
"152",4.27932491220417e-07,0,0
"153",8.47729534143582e-05,0,0
"154",0.999996542930603,1,1
"155",1,1,1
"156",1.39251582709221e-07,0,0
"157",9.91550308526712e-08,0,0
"158",5.27192810295674e-07,0,0
"159",1,1,1
"160",1,1,1
"161",0.99999988079071,1,1
"162",2.24349278710179e-07,0,0
"163",0.366343319416046,0,0
"164",0.99999988079071,1,0
"165",2.66686242866854e-07,0,0
"166",0.00908344518393278,0,0
"167",0.999997138977051,1,1
"168",1,1,1
"169",3.90339373552706e-05,0,0
"170",1,1,1
"171",0.999841690063477,1,1
"172",0.843908905982971,1,1
"173",6.76729496262851e-06,0,0
"174",1.07040056818164e-08,0,0
"175",1,1,1
"176",0.000105266524769831,0,0
"177",0.000266145769273862,0,1
"178",1.31477418108261e-06,0,0
"179",0.000208645607926883,0,0
"180",6.06757475907216e-06,0,0
"181",0.999999642372131,1,1
"182",1,1,1
"183",1,1,1
"184",7.47309750295244e-05,0,0
"185",1.50405321619473e-05,0,0
"186",1,1,1
"187",1.22398232633714e-05,0,0
"188",2.32482364026509e-07,0,0
"189",7.29268358554691e-05,0,0
"190",1,1,0
"191",1,1,0
"192",3.51351239769038e-12,0,0
"193",0.999999761581421,1,1
"194",0.999997615814209,1,1
"195",1,1,1
"196",1,1,1
"197",0.999754726886749,1,1
"198",7.50339594901561e-08,0,0
"199",8.98756638889608e-07,0,0
"200",1.74220735971176e-06,0,0
"201",2.62010835285764e-05,0,0
"202",0.999425172805786,1,1
"203",1,1,1
"204",5.96039444644703e-06,0,0
"205",5.72702390400082e-07,0,0
"206",2.67968008893504e-10,0,0
"207",1,1,1
"208",7.78151161284768e-07,0,0
"209",0.999999761581421,1,1
"210",2.45158753386931e-05,0,0
"211",6.30738850304624e-06,0,0
"212",1.78191530975091e-10,0,0
"213",1.7672444840855e-08,0,0
"214",1,1,1
"215",0.999998807907104,1,1
"216",4.83087774227897e-07,0,0
"217",0.002152866916731,0,0
"218",1.38727227749769e-06,0,0
"219",1,1,1
"220",3.80314553183325e-08,0,0
"221",2.26112774726062e-07,0,0
"222",6.74901698971553e-08,0,0
"223",2.15800009755185e-05,0,0
"224",0.00253062509000301,0,0
"225",1.23822800901507e-07,0,0
"226",5.66595730333574e-08,0,0
"227",2.14225494232778e-07,0,0
"228",1.11417148218607e-06,0,0
"229",8.81309460964985e-06,0,0
"230",2.42747864831472e-05,0,0
"231",0.000845279253553599,0,0
"232",2.25213552766945e-05,0,0
"233",3.70048883269192e-06,0,0
"234",0.999987602233887,1,1
"235",1.23865820569335e-05,0,0
"236",1,1,1
"237",1,1,1
"238",1.75232051091712e-09,0,0
"239",1,1,1
"240",1.74397609953303e-05,0,0
"241",3.43976535077672e-06,0,0
"242",0.999996900558472,1,1
"243",0.155552566051483,0,1
"244",1,1,1
"245",0.99999988079071,1,1
"246",1,1,1
"247",9.02101328392746e-06,0,0
"248",1,1,1
"249",1,1,1
"250",0.000845000555273145,0,0
"251",0.000125023580039851,0,0
"252",0.999999761581421,1,1
"253",1,1,1
"254",0.999999284744263,1,1
"255",1,1,1
"256",1.37395154389992e-13,0,0
"257",7.5951247708872e-05,0,0
"258",3.46411907230504e-05,0,0
"259",6.33088802715065e-07,0,0
"260",8.76191336374177e-07,0,0
"261",1,1,1
"262",1,1,1
"263",1,1,1
"264",1,1,1
"265",1,1,1
"266",1,1,1
"267",9.11788356461329e-06,0,0
"268",0.0786249190568924,0,0
"269",1,1,1
"270",8.44527166918851e-05,0,0
"271",6.25000140530574e-09,0,0
"272",5.88406510360073e-06,0,0
"273",1.03785873761808e-06,0,0
"274",1.51480583099328e-06,0,0
"275",3.73742000192578e-06,0,0
"276",0.000313252792693675,0,0
"277",1,1,1
"278",0.000163841541507281,0,0
"279",2.13633143175684e-06,0,0
"280",1,1,1
"281",1,1,1
"282",0.839515089988708,1,1
"283",5.89434364428598e-07,0,0
"284",5.63181288271153e-07,0,0
"285",1,1,1
"286",0.839515089988708,1,1
"287",5.61654758257646e-08,0,0
"288",1,1,1
"289",8.87602527654963e-06,0,0
"290",1.81892537511885e-05,0,0
"291",2.17237538890913e-05,0,0
"292",1.35636682898621e-05,0,0
"293",0.994832038879395,1,1
"294",8.63137916695678e-09,0,0
