"","","","validation_labels_k"
"1",0.922029733657837,1,1
"2",6.52989183436148e-06,0,0
"3",1.37979098632779e-11,0,0
"4",0.976763963699341,1,1
"5",0.0759365260601044,0,1
"6",0.999893307685852,1,1
"7",0.999906897544861,1,0
"8",3.72752349819816e-12,0,0
"9",1,1,1
"10",3.38188527848615e-07,0,0
"11",7.70166721508758e-08,0,0
"12",3.72811591660138e-05,0,0
"13",1.03807143003037e-12,0,0
"14",5.87744182212191e-07,0,0
"15",3.91164505231245e-08,0,0
"16",2.27110916739548e-08,0,0
"17",2.61883178609423e-05,0,0
"18",0.0560572221875191,0,0
"19",3.29415752275963e-06,0,0
"20",9.2317617372828e-07,0,0
"21",1.42516628329759e-05,0,0
"22",1.11277465020265e-09,0,0
"23",1.75151308212662e-05,0,0
"24",5.11398866365198e-05,0,0
"25",3.26175177178811e-05,0,0
"26",6.7787375712669e-09,0,0
"27",8.12106736702845e-05,0,0
"28",0.998933017253876,1,1
"29",1.35681575557101e-05,0,0
"30",7.06074933987111e-06,0,0
"31",0.000136366739752702,0,0
"32",6.82018921338567e-08,0,0
"33",0.999207198619843,1,1
"34",1.8510199879529e-05,0,0
"35",0.000413190427934751,0,0
"36",6.43926301169273e-10,0,0
"37",0.995811939239502,1,1
"38",0.99685800075531,1,1
"39",0.000138886462082155,0,0
"40",0.995451033115387,1,1
"41",0.99998939037323,1,1
"42",0.991823375225067,1,1
"43",0.631725072860718,1,0
"44",4.77216817671433e-05,0,0
"45",3.44880140801251e-06,0,0
"46",0.999375879764557,1,0
"47",8.34782840684056e-05,0,0
"48",4.56200041298871e-06,0,0
"49",2.24222233669025e-07,0,0
"50",5.0805148976707e-10,0,0
"51",1.98321003716528e-12,0,0
"52",1.17877680168021e-05,0,0
"53",0.999928951263428,1,0
"54",5.74499472349999e-06,0,0
"55",1.25243932416197e-05,0,0
"56",0.00357927684672177,0,0
"57",0.998651683330536,1,1
"58",0.998651683330536,1,1
"59",0.19725276529789,0,0
"60",0.19725276529789,0,0
"61",0.780019700527191,1,1
"62",0.222720324993134,0,0
"63",0.000413190427934751,0,0
"64",0.0104850046336651,0,0
"65",0.000266688846750185,0,0
"66",0.999651074409485,1,1
"67",0.000266688846750185,0,0
"68",0.542339384555817,1,0
"69",9.3489681603387e-05,0,0
"70",0.000755039684008807,0,0
"71",0.000888981972821057,0,0
"72",0.000344286381732672,0,0
"73",4.19026264353306e-06,0,1
"74",3.56283003100089e-08,0,0
"75",1.61285271360612e-07,0,0
"76",1.92742322724371e-06,0,0
"77",0.542339384555817,1,0
"78",0.00489281537011266,0,0
"79",0.000126225902931765,0,0
"80",9.31952404137348e-10,0,0
"81",1.63922995852772e-05,0,0
"82",0.0726505368947983,0,0
"83",1,1,1
"84",0.160980477929115,0,1
"85",0.999900102615356,1,1
"86",1,1,1
"87",3.33992429659702e-05,0,0
"88",0.999955773353577,1,1
"89",2.50597139483943e-07,0,0
"90",0.96097320318222,1,1
"91",5.35972333182144e-09,0,0
"92",8.04039154900238e-06,0,0
"93",0.000341495993779972,0,1
"94",0.999330997467041,1,1
"95",0.207717224955559,0,0
"96",2.28106369348779e-08,0,0
