"","","","validation_labels_k"
"1",0.000303882057778537,0,0
"2",2.53868961408443e-08,0,0
"3",1,1,0
"4",0.094305731356144,0,0
"5",1,1,1
"6",0.210598021745682,0,0
"7",3.41476642518046e-08,0,0
"8",5.84477605203304e-12,0,0
"9",0.872694551944733,1,1
"10",3.89187362892507e-11,0,0
"11",0.206356540322304,0,0
"12",0.999964356422424,1,1
"13",1.40023117840233e-19,0,0
"14",2.83162444247864e-06,0,0
"15",1,1,0
"16",0.997459352016449,1,0
"17",9.13054788026502e-12,0,0
"18",9.49330108910937e-17,0,0
"19",0.999637961387634,1,1
"20",1.31028132788202e-09,0,0
"21",1,1,0
"22",0.988224864006042,1,0
"23",1,1,1
"24",3.70220867851323e-11,0,0
"25",0.00116165890358388,0,0
"26",1,1,1
"27",2.83004574636037e-11,0,0
"28",0.999713838100433,1,1
"29",1,1,0
"30",1,1,0
"31",0.908335745334625,1,1
"32",0.999987125396729,1,1
"33",5.34664401641294e-09,0,0
"34",1,1,1
"35",1,1,0
"36",1.18297066364903e-05,0,0
"37",0.999994277954102,1,0
"38",1,1,1
"39",0.995608270168304,1,1
"40",1,1,1
"41",1.03271809506755e-11,0,0
"42",5.14711173309479e-05,0,0
"43",2.60222843273539e-10,0,0
"44",6.1138282479202e-14,0,0
"45",7.46967456421652e-14,0,0
"46",1.51080925547831e-07,0,0
"47",1.32547806064309e-10,0,0
"48",2.03703243509268e-12,0,0
"49",4.70491099761037e-15,0,0
"50",0.000106826424598694,0,0
"51",8.19566776044667e-05,0,0
"52",1.15000066761017e-12,0,0
"53",4.89340012954642e-10,0,0
"54",6.37600111597081e-11,0,0
"55",9.74077465798473e-07,0,0
"56",1,1,0
"57",1.54167594246246e-06,0,0
"58",2.66964401973713e-11,0,0
"59",0.999999642372131,1,0
"60",1,1,1
"61",8.61608787090518e-05,0,0
"62",1,1,1
"63",0.000357333075953647,0,1
"64",1,1,1
"65",1,1,1
"66",1,1,1
"67",1,1,1
"68",1,1,1
"69",1,1,0
"70",0.999707281589508,1,1
"71",3.79489352743119e-15,0,0
"72",0.810291409492493,1,0
"73",0.999999523162842,1,1
