"","","","validation_labels_k"
"1",5.60104010530479e-18,0,0
"2",1,1,1
"3",1,1,1
"4",1,1,1
"5",1.80993553491768e-17,0,0
"6",0.999992609024048,1,1
"7",5.96005005691485e-17,0,0
"8",1,1,1
"9",6.01367773356287e-08,0,0
"10",1,1,1
"11",1,1,1
"12",0.999981045722961,1,1
"13",0.998968362808228,1,1
"14",0.67604660987854,1,0
"15",4.89260743030684e-10,0,0
"16",1.17631373086624e-06,0,0
"17",2.61383709815322e-11,0,0
"18",1,1,1
"19",1,1,1
"20",1,1,1
"21",0.801209688186646,1,0
"22",1.44305344041383e-13,0,0
"23",1,1,1
"24",1.51548051885442e-09,0,0
"25",0.999996542930603,1,1
"26",1,1,1
"27",1,1,1
"28",4.72790269157031e-08,0,0
"29",1.93136270354444e-06,0,1
"30",0.9999840259552,1,1
"31",1.84668596818282e-21,0,0
"32",1,1,1
"33",1,1,1
"34",1,1,1
"35",1,1,1
"36",1,1,1
"37",0.997540593147278,1,0
"38",0.999849915504456,1,1
"39",1,1,1
"40",1,1,1
"41",8.01559354823688e-18,0,0
"42",4.51448760250629e-19,0,0
"43",2.43339284269548e-14,0,0
"44",4.72006166282944e-24,0,0
"45",4.72790269157031e-08,0,0
"46",3.77278897182784e-18,0,0
"47",2.45786117873402e-16,0,0
"48",1.0978107824871e-17,0,0
"49",3.25689110623438e-18,0,0
"50",1.03304802320965e-13,0,0
"51",1,1,1
"52",0.930977046489716,1,0
"53",8.99295436609074e-23,0,0
"54",1.49268615246001e-08,0,0
"55",1.18386256353631e-09,0,0
"56",0.995583117008209,1,1
"57",0,0,0
"58",4.52064080613823e-11,0,0
"59",2.38095177052839e-30,0,0
"60",2.3346231614596e-08,0,0
"61",2.96632623666016e-26,0,0
"62",2.12869303222368e-23,0,0
"63",6.57357397505031e-28,0,0
"64",4.43490119328337e-16,0,0
"65",0.544610381126404,1,0
"66",4.70477833107501e-18,0,0
"67",2.46262676917297e-10,0,0
"68",1,1,1
"69",1,1,1
"70",1.15072274487731e-19,0,0
"71",2.07227074042193e-12,0,0
"72",1,1,1
"73",6.24090887413331e-07,0,0
"74",1,1,1
"75",5.47582649796513e-13,0,0
"76",2.59786394056927e-14,0,0
"77",1,1,1
"78",0.999999284744263,1,1
"79",1,1,1
"80",1,1,1
"81",7.72791548573105e-20,0,0
"82",1,1,1
"83",1.35797498246326e-10,0,0
"84",1.43811455799447e-11,0,1
"85",0.000573143362998962,0,1
"86",1,1,1
"87",2.10348971516278e-25,0,0
"88",1,1,1
"89",1.33941648358728e-27,0,0
"90",0,0,0
"91",3.51400991638329e-11,0,0
"92",1,1,1
"93",1,1,1
"94",0.0711003988981247,0,0
"95",1,1,1
"96",1,1,1
"97",1,1,1
"98",2.12449786992972e-24,0,0
"99",5.97015042850249e-18,0,0
"100",3.57180021299939e-18,0,0
"101",5.63231204026276e-14,0,0
"102",1,1,1
"103",5.17044131127296e-18,0,0
"104",9.03231267198908e-17,0,0
"105",2.25474966388667e-13,0,0
"106",9.55507544018065e-15,0,0
"107",6.93953827760441e-18,0,0
"108",1,1,1
"109",0.0593979209661484,0,0
"110",1,1,1
"111",1,1,1
"112",1,1,1
"113",1,1,1
"114",1,1,1
"115",3.10920343291055e-12,0,1
"116",1.92544568263255e-18,0,0
"117",1.35648883363476e-18,0,0
"118",1.34215474021163e-13,0,0
"119",3.99996916398185e-17,0,0
"120",2.90992324501879e-15,0,0
"121",1,1,1
"122",1.36764460867411e-10,0,0
"123",1.07465902496329e-13,0,0
"124",0.0228363908827305,0,1
"125",1,1,1
"126",0.975703835487366,1,1
"127",1.96670750796102e-08,0,0
"128",1,1,1
"129",2.083670133543e-15,0,0
"130",1,1,0
"131",1,1,1
"132",1,1,1
"133",1.35696808544113e-21,0,0
"134",4.1710251697495e-22,0,0
"135",3.26944973322255e-34,0,0
"136",1,1,1
"137",1,1,1
"138",1.27853977938258e-25,0,0
