"","","","validation_labels_k"
"1",3.93785054695708e-17,0,0
"2",1,1,1
"3",1,1,1
"4",1.93421456060605e-05,0,0
"5",1,1,1
"6",1.94558424926328e-10,0,0
"7",9.94465590338223e-05,0,0
"8",1,1,1
"9",5.0245465565979e-09,0,0
"10",0.999998807907104,1,1
"11",2.8389809813234e-05,0,0
"12",1.90286282304442e-05,0,0
"13",5.24892585992975e-12,0,0
"14",0.999843120574951,1,0
"15",1,1,1
"16",3.27659475522055e-17,0,0
"17",2.05047987595318e-13,0,0
"18",1,1,1
"19",1,1,1
"20",1.09001021542099e-08,0,0
"21",1,1,1
"22",1.10474953629591e-08,0,0
"23",1,1,1
"24",0.00262164790183306,0,1
"25",1,1,1
"26",0.967681705951691,1,1
"27",1,1,1
"28",2.73032551428853e-12,0,1
"29",3.54217121412148e-07,0,0
"30",1.70690675135865e-12,0,0
"31",3.54876538040116e-05,0,0
"32",1,1,1
"33",0.999962210655212,1,1
"34",0.403532356023788,0,1
"35",0.973222434520721,1,1
"36",2.14029913882542e-20,0,0
"37",1.24162702688779e-12,0,0
"38",1,1,1
"39",2.573467968673e-13,0,0
"40",2.21270255511021e-18,0,0
"41",8.55817939741974e-25,0,0
"42",1.51938552885034e-12,0,0
"43",7.65703310218885e-13,0,0
"44",3.54916478151335e-11,0,0
"45",5.96673241481384e-19,0,0
"46",6.32730890251509e-12,0,0
"47",0.999116480350494,1,1
"48",1,1,1
"49",1,1,1
"50",0.999999165534973,1,0
"51",0.99752002954483,1,0
"52",1,1,1
"53",1,1,0
"54",7.50290428186418e-06,0,0
"55",0.944310426712036,1,1
"56",0.999996304512024,1,1
"57",1,1,1
"58",1,1,1
"59",2.91208897273965e-11,0,0
"60",4.63634827144871e-13,0,0
"61",1,1,1
"62",1,1,1
"63",1,1,1
"64",0.999981999397278,1,1
"65",7.48410665038501e-14,0,0
"66",4.44278427380596e-08,0,0
"67",8.72827580610663e-13,0,0
"68",1,1,1
"69",0.000286980444798246,0,0
"70",6.05807508691214e-06,0,0
"71",1.43367831034703e-14,0,0
"72",2.27219021375902e-10,0,0
"73",5.44185248078921e-13,0,0
"74",5.59355094438763e-16,0,0
"75",1,1,1
"76",9.13003722104178e-13,0,0
"77",1.63452252763523e-14,0,0
"78",3.36922296431588e-14,0,0
"79",1,1,1
"80",1,1,1
"81",1,1,1
"82",1,1,1
"83",1,1,1
"84",1,1,1
"85",1,1,1
"86",1,1,1
"87",1,1,1
"88",2.06680072362131e-11,0,0
"89",6.36002578727202e-12,0,0
"90",3.96014923192403e-15,0,1
"91",2.84933469155436e-21,0,0
"92",9.54871061996161e-20,0,0
"93",1.02101862671542e-24,0,0
"94",1.75487434755246e-22,0,0
"95",1.17067652840035e-14,0,0
"96",2.28591279560968e-18,0,0
"97",1,1,1
"98",1.78574196445583e-15,0,0
"99",1,1,1
"100",1,1,1
"101",3.69935605704086e-06,0,1
"102",1,1,1
"103",1,1,1
"104",1,1,1
"105",1.32836361036458e-21,0,0
"106",8.63179406423997e-12,0,0
"107",9.30959913603147e-07,0,0
"108",1.69079930178312e-12,0,0
"109",2.2709495416974e-15,0,0
"110",1,1,1
"111",0.999288558959961,1,1
"112",0.999999403953552,1,0
"113",1,1,1
