"","","","validation_labels_k"
"1",1,1,1
"2",1,1,1
"3",0.999250590801239,1,1
"4",1,1,1
"5",0.999871730804443,1,0
"6",1,1,1
"7",1,1,1
"8",1,1,1
"9",1,1,1
"10",8.01715214038268e-05,0,0
"11",1.04240027720692e-09,0,0
"12",1,1,1
"13",1,1,1
"14",4.37072322778675e-10,0,0
"15",2.6592370680153e-14,0,0
"16",0.0124776903539896,0,1
"17",1,1,1
"18",1.48651004699962e-11,0,0
"19",1,1,1
"20",1,1,1
"21",1,1,1
"22",1,1,1
"23",1.12768692804045e-19,0,0
"24",0.000135762529680505,0,0
"25",0.000227606898988597,0,0
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,1
"30",1,1,1
"31",1,1,1
"32",1,1,1
"33",0.96496969461441,1,1
"34",1,1,1
"35",1,1,1
"36",1,1,1
"37",1,1,0
"38",1,1,1
"39",3.27865382412917e-12,0,0
"40",1,1,1
"41",9.85288011179364e-07,0,0
"42",1,1,1
"43",1,1,1
"44",1,1,1
"45",1,1,1
"46",1,1,1
"47",1,1,1
"48",1,1,1
"49",1,1,1
"50",5.09641323471692e-21,0,0
"51",0.000737755734007806,0,0
"52",0.999981880187988,1,1
"53",0.000236763444263488,0,1
"54",1,1,1
"55",0.986902475357056,1,1
"56",0.999982833862305,1,1
"57",1,1,1
"58",1,1,1
"59",8.58133182568555e-12,0,0
"60",1,1,1
"61",1,1,1
"62",1.19451781799285e-10,0,0
"63",6.70735710896209e-13,0,0
"64",1.09157155536721e-10,0,0
"65",0.000462828989839181,0,0
"66",2.14618792807906e-18,0,0
"67",6.15657000935244e-08,0,0
"68",6.14707124178132e-14,0,0
"69",1.03766633539177e-18,0,0
"70",1.70810465771609e-09,0,0
"71",2.2806033879555e-15,0,0
"72",1,1,1
"73",7.30555858490585e-16,0,0
"74",1,1,1
"75",1.37264230201401e-16,0,0
"76",4.68080241233793e-09,0,0
"77",0.00189605529885739,0,0
"78",1,1,1
"79",1,1,1
"80",1.44592593187554e-06,0,0
"81",1,1,1
"82",1.35474373350888e-14,0,0
"83",1,1,1
"84",3.81050578460509e-13,0,0
"85",1.41443185831293e-14,0,0
"86",1.41443185831293e-14,0,0
"87",2.85292748153464e-26,0,0
"88",3.00792724061694e-12,0,0
"89",1.00080242758458e-13,0,0
"90",1.49064868229421e-16,0,0
"91",3.25731951632144e-22,0,0
"92",4.22635582631004e-25,0,0
"93",1,1,1
"94",1,1,1
"95",7.5944349364022e-16,0,0
"96",1.96178254197044e-10,0,0
"97",8.96540133799029e-11,0,0
"98",2.98208707727454e-10,0,0
"99",1,1,1
"100",1,1,1
"101",5.83087467198595e-10,0,0
"102",1.04240027720692e-09,0,0
"103",1,1,1
"104",0.964886903762817,1,1
"105",1,1,1
"106",1,1,1
"107",0.989419341087341,1,1
"108",3.46384149452206e-05,0,0
"109",1,1,1
"110",1,1,1
"111",0.00170668412465602,0,1
"112",1.00197192764995e-08,0,0
"113",1,1,1
"114",6.27862240416008e-15,0,0
"115",1.01316748231123e-13,0,1
"116",2.92700601534079e-08,0,0
"117",1,1,1
"118",1,1,1
"119",1,1,1
"120",0.80035388469696,1,1
"121",1,1,1
"122",1,1,1
"123",1,1,1
"124",3.85380781153799e-06,0,0
"125",6.15074613463662e-09,0,0
"126",1.75060229441922e-14,0,0
"127",1.08557847156021e-08,0,0
"128",0.00809275358915329,0,0
"129",7.1265809920007e-10,0,0
"130",2.24311758403872e-12,0,0
"131",6.83435296203183e-13,0,0
"132",1,1,1
"133",6.15657000935244e-08,0,0
"134",1.49828183193534e-09,0,0
"135",0.940992891788483,1,1
"136",1.89783034258576e-14,0,0
"137",1,1,1
"138",0.835290372371674,1,1
"139",1,1,1
"140",1,1,1
"141",1,1,1
"142",1,1,1
"143",1,1,1
"144",1,1,1
"145",1,1,1
"146",1.77694891543038e-15,0,0
"147",1.6900901251421e-12,0,0
"148",4.92843773234927e-19,0,0
"149",4.91743701314107e-10,0,0
"150",1,1,1
"151",4.80527415276134e-14,0,0
"152",1.36409183948416e-09,0,0
"153",6.84502156218514e-05,0,0
"154",1,1,1
"155",1,1,1
