"","","","validation_labels_k"
"1",6.80698462929286e-07,0,0
"2",1,1,1
"3",3.10253884215628e-12,0,1
"4",4.24822799161007e-09,0,0
"5",2.8151487285505e-15,0,0
"6",2.47510302184284e-12,0,0
"7",1.18128955506336e-08,0,0
"8",5.95429677785475e-11,0,0
"9",5.71324931808448e-12,0,0
"10",1,1,1
"11",1,1,1
"12",2.85450405499432e-05,0,0
"13",1,1,1
"14",1.59486923667629e-10,0,0
"15",1.20382970258959e-09,0,0
"16",1.79860391403554e-20,0,0
"17",5.4995894060994e-08,0,0
"18",2.53995949606178e-06,0,0
"19",3.2997771626242e-08,0,0
"20",1.07322512121755e-05,0,0
"21",1.6205186739171e-06,0,0
"22",0.985011398792267,1,1
"23",1,1,1
"24",5.22327900398523e-05,0,0
"25",1.48861531101829e-07,0,0
"26",0.996542036533356,1,1
"27",2.91697534182678e-11,0,0
"28",6.17601108388044e-05,0,0
"29",0.0167149435728788,0,1
"30",1.71660321939271e-05,0,0
"31",1,1,1
"32",3.21702391374856e-05,0,0
"33",1,1,1
"34",1.17787737963226e-06,0,0
"35",1.80165146690392e-10,0,0
"36",1.65313878142115e-08,0,0
"37",2.25838120968547e-05,0,0
"38",1,1,1
"39",2.62765843217494e-06,0,0
"40",1,1,1
"41",4.37153735097217e-19,0,0
"42",4.88045984647825e-15,0,0
"43",1,1,1
"44",8.41847941046581e-06,0,0
"45",1.97705748460389e-16,0,0
"46",6.00517324755856e-08,0,0
"47",7.41807587578691e-11,0,0
"48",9.88887194353083e-08,0,0
"49",0.788154780864716,1,1
"50",6.39546401948188e-11,0,0
"51",9.6355157186423e-10,0,0
"52",7.76819540225689e-14,0,0
"53",6.92085658179033e-23,0,0
"54",8.90314189559704e-13,0,0
"55",7.12563590354875e-08,0,0
"56",3.4066034715341e-11,0,0
"57",1,1,1
"58",1,1,1
"59",0.999972343444824,1,1
"60",3.95298229705077e-06,0,0
"61",3.87053033906711e-19,0,0
"62",2.66811493929708e-05,0,0
"63",3.36596116312649e-07,0,0
"64",1,1,1
"65",2.14790052268654e-05,0,0
"66",3.21426263383273e-09,0,0
"67",0.999999403953552,1,1
"68",2.48892084719898e-09,0,0
"69",4.03475714847445e-05,0,1
"70",1.11513134015695e-06,0,0
"71",1,1,1
"72",6.39336095176191e-09,0,0
"73",1.31387327684251e-08,0,0
"74",0.999999046325684,1,1
"75",2.15433261507858e-11,0,0
"76",3.3184642100198e-13,0,0
"77",1,1,1
"78",1,1,1
"79",4.11301407439169e-05,0,0
"80",2.75335700905543e-08,0,0
"81",4.97055054893281e-08,0,0
"82",1,1,1
"83",1,1,1
"84",6.58096022121413e-10,0,0
"85",5.832660221472e-08,0,0
"86",4.4823442294728e-05,0,0
"87",0.437095701694489,0,1
"88",1.17593714865249e-19,0,0
"89",1,1,1
"90",1,1,1
"91",0.999999761581421,1,1
"92",1,1,1
"93",1,1,1
"94",2.9523307626747e-13,0,0
"95",2.18639197555603e-05,0,0
"96",5.17046239156826e-10,0,0
"97",1,1,1
"98",1,1,1
"99",1.36701161501662e-09,0,0
"100",1.08982649180689e-05,0,0
"101",0.999996423721313,1,1
"102",1,1,1
"103",3.93071459257044e-05,0,0
"104",1,1,1
"105",1,1,1
"106",1,1,1
"107",1.22383189591346e-05,0,0
"108",1,1,1
"109",1,1,1
"110",1.0282544593565e-07,0,0
"111",0.000384246843168512,0,0
"112",2.25507278628356e-06,0,0
"113",1.66311883731396e-06,0,0
"114",2.70476789410168e-07,0,0
"115",0.00342956651002169,0,0
"116",0.000318932870868593,0,0
"117",3.50953882843896e-06,0,0
"118",5.51768741807734e-10,0,0
"119",0.00134379579685628,0,0
"120",3.66662717965482e-08,0,0
"121",0.989122569561005,1,1
"122",0.999999761581421,1,1
"123",3.3589995496186e-07,0,0
"124",1,1,1
"125",1,1,1
"126",3.06664804661239e-10,0,0
"127",0.00272989808581769,0,1
"128",2.22142031332251e-12,0,0
"129",1,1,1
"130",3.78091613129072e-06,0,1
"131",1.68370092173964e-11,0,0
"132",0.000362689810572192,0,1
"133",1,1,1
"134",9.06671630218625e-07,0,0
"135",1,1,1
"136",1,1,1
"137",1,1,1
"138",1,1,1
"139",0.981565177440643,1,1
"140",1.26768966879354e-07,0,0
"141",3.39451665561097e-13,0,0
"142",2.09808715539994e-11,0,0
"143",1.55246240751694e-07,0,0
"144",1.45868050971387e-09,0,0
"145",1.47577193521098e-11,0,0
"146",1.25310775644927e-10,0,0
"147",0.000474169675726444,0,1
"148",1,1,1
"149",9.26282073265838e-09,0,0
"150",1,1,1
"151",1,1,1
"152",1,1,1
"153",0.111206747591496,0,1
"154",0.00236598099581897,0,0
"155",1.25419755931944e-05,0,0
"156",1.57824763391545e-06,0,0
"157",4.70519357574251e-17,0,0
"158",1,1,1
"159",1,1,1
"160",0.99999988079071,1,1
"161",1,1,1
"162",1,1,1
"163",6.41711788608582e-18,0,0
"164",3.01976638139578e-10,0,0
"165",1.00930630519969e-09,0,0
"166",1.04382167667017e-15,0,0
"167",1.69377706304985e-10,0,0
"168",0.999999284744263,1,1
"169",6.908919090165e-07,0,0
"170",1,1,1
"171",1.05259987321915e-05,0,0
"172",1,1,1
"173",1.20726563181961e-05,0,1
"174",1,1,1
"175",2.6622089421835e-08,0,0
"176",3.98838812453936e-14,0,0
"177",2.85287501355924e-06,0,0
"178",7.15608727830386e-09,0,0
"179",1,1,1
"180",4.45871960094149e-15,0,0
"181",0.999982833862305,1,1
"182",1,1,1
"183",2.31541673854918e-12,0,0
"184",1,1,1
"185",3.89400046495875e-13,0,0
"186",5.21263536938932e-05,0,0
"187",1,1,1
"188",0.000120513279398438,0,0
"189",0.0472760051488876,0,1
"190",1,1,1
"191",2.82385502452767e-19,0,0
"192",5.86976556249397e-09,0,0
"193",0.99999463558197,1,1
"194",5.46388868665707e-14,0,0
"195",1.76017145303575e-10,0,1
"196",3.42030119782066e-07,0,0
"197",1.65174372389245e-14,0,0
"198",1,1,1
"199",1,1,1
"200",1,1,1
"201",4.16655243640207e-09,0,0
"202",0.999999761581421,1,1
"203",5.20370468937159e-10,0,0
"204",2.16315200418649e-07,0,0
"205",1,1,1
"206",1,1,1
