"","","","validation_labels_k"
"1",8.3319804389248e-09,0,0
"2",0.999842047691345,1,0
"3",3.24183930568156e-13,0,0
"4",0.999995231628418,1,1
"5",0.000437949958723038,0,0
"6",0.0215799044817686,0,1
"7",0.00238735461607575,0,0
"8",1.70892394635302e-06,0,0
"9",1.40996603281707e-10,0,0
"10",2.45241544086228e-12,0,0
"11",0.719768106937408,1,0
"12",1.87348757663131e-06,0,0
"13",2.50481243710965e-05,0,0
"14",8.86318629600424e-10,0,0
"15",4.3803996888081e-12,0,0
"16",0.99999988079071,1,1
"17",0.603588879108429,1,0
"18",1.39458895820344e-11,0,0
"19",1,1,1
"20",1.65089261372486e-07,0,0
"21",0.999988555908203,1,1
"22",0.0293769761919975,0,1
"23",1,1,1
"24",8.65562469698489e-05,0,0
"25",7.69047436843806e-10,0,0
"26",1.26325090832324e-07,0,0
"27",8.82805179571733e-05,0,1
"28",1.17219927341095e-12,0,0
"29",0.999963402748108,1,0
"30",1.18243730778955e-11,0,0
"31",9.08701378032895e-11,0,0
"32",0.995213508605957,1,1
"33",0.99999988079071,1,1
"34",0.845707714557648,1,0
"35",0.999997019767761,1,0
"36",1.85366132166020e-11,0,0
"37",5.82722238517963e-12,0,0
