"","","","validation_labels_k"
"1",4.39295693860548e-24,0,0
"2",1.16561732368049e-24,0,0
"3",1,1,1
"4",1,1,1
"5",1,1,1
"6",6.41782658193454e-26,0,0
"7",1,1,1
"8",1,1,1
"9",9.55519423325114e-28,0,0
"10",1,1,1
"11",9.88436166696414e-24,0,0
"12",3.12461884277582e-06,0,1
"13",7.84319728982423e-15,0,0
"14",1,1,1
"15",0.999882459640503,1,0
"16",1,1,1
"17",1.61858301663518e-17,0,0
"18",1,1,1
"19",7.36143763898341e-20,0,0
"20",3.81647533400416e-14,0,0
"21",1.10006325066934e-22,0,0
"22",4.09467048654059e-24,0,0
"23",1.29069215081263e-26,0,0
"24",8.43664859569704e-27,0,0
"25",1.57572340390197e-25,0,0
"26",1,1,1
"27",0.95021378993988,1,1
"28",7.88914222035579e-14,0,0
"29",9.32863026126516e-25,0,0
"30",3.17594728294068e-10,0,0
"31",1.63054488328871e-23,0,0
"32",1,1,1
"33",2.66289544015308e-06,0,1
"34",2.27035968150546e-12,0,0
"35",1,1,0
"36",1.62767782611117e-18,0,0
"37",1,1,1
"38",2.34855292989566e-27,0,0
"39",8.58907491632255e-35,0,0
"40",3.40375228002898e-11,0,0
"41",5.76347378266898e-24,0,0
"42",1,1,1
"43",1,1,1
"44",1,1,1
"45",0,0,0
"46",3.3768552398783e-09,0,0
"47",3.63692538475713e-28,0,0
"48",1,1,1
"49",1,1,1
"50",1.33545409973512e-13,0,0
"51",0.987921237945557,1,1
"52",1,1,1
"53",3.06233800984046e-07,0,0
"54",1,1,1
"55",7.28824139334593e-17,0,0
"56",1,1,1
"57",2.36551259275081e-18,0,0
"58",1.3890514606596e-11,0,0
"59",1.59992084935301e-25,0,0
"60",5.61144177195537e-30,0,0
"61",6.26898851475203e-34,0,0
"62",2.26676617317316e-25,0,0
"63",1.02069153129491e-09,0,0
"64",4.12593320620047e-10,0,0
"65",1.28865496754313e-34,0,0
"66",0,0,0
"67",2.16488368370601e-28,0,0
"68",1.24969492761896e-13,0,0
"69",3.59570812468306e-27,0,0
"70",1,1,1
"71",1,1,1
"72",1.29314525754154e-09,0,0
"73",1.72018851220313e-24,0,0
"74",4.15278033001435e-31,0,0
"75",1,1,1
"76",1.54144792142306e-26,0,0
"77",7.82700015147206e-22,0,0
"78",1.43392531182229e-09,0,0
"79",0.999997496604919,1,1
"80",4.42074918338697e-11,0,0
"81",0.999996423721313,1,1
"82",3.19479250770745e-22,0,0
"83",2.58613558356841e-15,0,0
"84",7.07259214675229e-21,0,0
"85",1.49407284788017e-20,0,0
"86",3.13415269646044e-26,0,0
"87",1,1,1
"88",0.00266772694885731,0,0
"89",1,1,1
"90",1,1,1
"91",1,1,1
"92",1.00522454943297e-11,0,0
"93",1,1,1
"94",3.45201170039453e-21,0,0
"95",1,1,1
"96",1,1,1
"97",1,1,1
"98",8.69734023163779e-15,0,0
"99",1,1,1
"100",3.85590698259719e-10,0,1
"101",2.89336696962517e-13,0,0
"102",5.70973303606831e-30,0,0
"103",2.08183482490454e-15,0,0
"104",1,1,1
"105",1,1,1
"106",8.72393648401337e-27,0,0
"107",2.19539425083866e-30,0,0
"108",1.94224957123199e-34,0,0
"109",5.15589935039929e-28,0,0
"110",5.26497885289245e-08,0,1
"111",9.04881621372821e-28,0,0
"112",2.63431502389722e-06,0,0
"113",6.10957339579994e-29,0,0
"114",3.01922991533386e-18,0,0
"115",0.999998569488525,1,1
"116",3.7342608437591e-24,0,0
"117",6.64675247588572e-27,0,0
"118",5.92425255445618e-19,0,0
"119",1,1,1
"120",8.15734834041672e-22,0,0
"121",1,1,1
"122",0.99999988079071,1,1
"123",0.0321237742900848,0,1
"124",3.00403832349475e-28,0,0
"125",1,1,1
"126",4.14957224137424e-09,0,0
"127",3.10057550502667e-23,0,0
"128",3.65108681474519e-15,0,0
"129",2.65838173696409e-09,0,0
"130",3.45906007830077e-12,0,0
"131",1,1,1
"132",1,1,1
"133",4.13757802524373e-34,0,0
"134",4.46102267090641e-27,0,0
"135",4.76217270116146e-36,0,0
"136",3.54517009591672e-24,0,0
"137",5.69040557676e-29,0,0
"138",1.853966478087e-25,0,0
"139",7.12439927990529e-27,0,0
"140",8.02259082413483e-20,0,0
"141",1,1,1
"142",2.67251573883161e-16,0,0
"143",1,1,1
"144",1.24761327413852e-17,0,1
"145",1.06049000206891e-30,0,0
"146",3.40800321360596e-32,0,0
"147",1.38790673051647e-23,0,0
"148",1,1,1
"149",1,1,1
"150",1,1,1
"151",1,1,1
"152",1,1,1
"153",5.67890630797506e-31,0,0
"154",4.03964294840873e-30,0,0
"155",6.64237763819464e-24,0,0
"156",1.57572340390197e-25,0,0
"157",3.48631984392611e-10,0,0
"158",7.65134576780738e-30,0,0
"159",3.79646545217594e-33,0,0
"160",0.794805347919464,1,0
"161",2.82996597418091e-29,0,0
"162",2.53361868753247e-24,0,0
"163",2.74451482294111e-32,0,0
"164",4.100018095731e-23,0,0
"165",1,1,1
"166",1.01780263802006e-24,0,0
"167",3.32212777311571e-26,0,0
"168",1,1,1
"169",3.76330218514535e-33,0,0
"170",1,1,1
"171",1,1,1
"172",3.0953022360336e-05,0,0
"173",0.135820493102074,0,1
"174",1,1,1
"175",1,1,1
"176",1,1,1
"177",1,1,1
"178",0.999422550201416,1,0
"179",1,1,0
"180",1.63655235739003e-15,0,0
"181",1,1,1
"182",1,1,1
"183",1,1,1
"184",1,1,1
"185",1.18357244474927e-22,0,0
"186",1,1,1
"187",1,1,1
"188",1,1,1
"189",3.77968397891986e-28,0,0
"190",1.45769843678395e-13,0,0
"191",2.19737513298104e-27,0,0
"192",1.21705010806782e-23,0,0
"193",3.97964142853937e-29,0,0
"194",7.71539347534166e-36,0,0
"195",9.66500863707567e-24,0,0
"196",4.56577616424355e-31,0,0
"197",1,1,1
"198",1,1,1
"199",1,1,1
"200",1,1,1
"201",9.74201810454145e-28,0,0
"202",2.67559097766321e-20,0,0
"203",1,1,1
"204",1,1,1
"205",1,1,1
"206",1,1,1
"207",1,1,1
"208",1,1,1
"209",0.998833358287811,1,1
"210",1,1,1
"211",0.313100606203079,0,1
"212",1,1,1
"213",1.04055430938388e-10,0,0
"214",0.204580575227737,0,0
"215",1,1,1
"216",2.41257379947549e-25,0,0
"217",1.51470222293286e-29,0,0
"218",3.31860921921462e-32,0,0
"219",1,1,1
"220",1,1,1
"221",1,1,1
"222",1,1,1
"223",1,1,1
"224",0.999997019767761,1,1
"225",6.18740627310321e-14,0,0
"226",1,1,1
"227",1,1,1
"228",1,1,1
"229",4.87782565259444e-19,0,0
"230",1,1,1
"231",1.13033668222555e-17,0,0
"232",1.79352499781144e-22,0,0
"233",1.73557878073019e-17,0,0
"234",1.29917856851958e-26,0,0
"235",1,1,1
"236",1,1,1
"237",1,1,1
"238",1,1,1
"239",6.35758336449256e-21,0,0
"240",0.134176075458527,0,0
"241",1.34215548014073e-23,0,0
"242",0.042046844959259,0,1
"243",1.39587226529576e-14,0,0
"244",0.999999642372131,1,0
"245",1,1,0
"246",3.21437225765546e-32,0,0
"247",1.0980821311532e-26,0,0
"248",1.47810271390267e-36,0,0
"249",2.43829666376094e-31,0,0
"250",1.87733719114639e-26,0,0
"251",4.48561502444069e-26,0,0
"252",3.58305058732289e-15,0,0
"253",1.4052136812928e-33,0,0
"254",2.38833577347493e-32,0,0
"255",5.69720930947453e-27,0,0
"256",1.68439814536874e-22,0,0
"257",0.998972296714783,1,0
"258",1,1,1
"259",0,0,0
"260",1,1,1
"261",1,1,0
"262",1.01649652654131e-21,0,0
"263",5.27393345778909e-31,0,0
"264",1,1,1
"265",5.43745345638169e-28,0,0
"266",1.83870633918559e-05,0,0
"267",1.47810271390267e-36,0,0
"268",7.49787330360492e-27,0,0
"269",2.48420272404066e-27,0,0
"270",4.61596244087765e-33,0,0
"271",4.02002886211903e-22,0,0
"272",4.11593146198319e-27,0,0
"273",1,1,1
"274",1.07989155812005e-11,0,0
"275",5.1446939707407e-23,0,0
"276",6.51987605931159e-22,0,0
"277",3.20191572908413e-12,0,0
"278",3.71135390079329e-24,0,0
"279",3.75674518346191e-19,0,0
"280",5.44529969497513e-28,0,0
"281",8.42399312646727e-31,0,0
"282",1.83846598686137e-17,0,0
"283",1.60096236819281e-28,0,0
"284",1.66379620878663e-30,0,0
"285",1,1,1
"286",8.45756573563704e-26,0,0
"287",1.40616526326661e-22,0,0
"288",1,1,1
"289",1,1,1
"290",6.34211257506804e-26,0,0
"291",1,1,1
"292",1,1,1
"293",1.964833653336e-22,0,0
"294",1.0158535632517e-20,0,0
"295",3.42661007632383e-22,0,0
"296",3.56995058353243e-24,0,0
"297",3.96241677248893e-22,0,0
