"","","","validation_labels_k"
"1",1.73027173229366e-23,0,0
"2",0.999967098236084,1,1
"3",2.13245001068379e-21,0,0
"4",6.8127755380269e-24,0,0
"5",1,1,1
"6",3.99384634874878e-06,0,1
"7",0,0,0
"8",2.51617252948544e-19,0,0
"9",2.85899206559559e-21,0,0
"10",2.82493020904414e-28,0,0
"11",1.26486235222176e-21,0,0
"12",8.19147944342586e-18,0,0
"13",1.35804033491761e-13,0,1
"14",2.64840770369211e-27,0,0
"15",0.998513281345367,1,0
"16",3.24369065045186e-23,0,0
"17",1,1,1
"18",9.94703025792232e-33,0,0
"19",1.62430733491304e-36,0,0
"20",0,0,0
"21",1.91345018727029e-20,0,0
"22",1.0995908209209e-34,0,0
"23",0.999996185302734,1,0
"24",1.30848370333281e-12,0,1
"25",1.18955630181417e-22,0,0
"26",2.63932136962474e-19,0,0
"27",6.05542699316786e-11,0,0
"28",1,1,1
"29",3.77242644896218e-27,0,0
"30",3.13479032254275e-16,0,0
"31",3.87636955058066e-25,0,0
"32",1.85556131114069e-37,0,0
"33",7.60230149231961e-13,0,0
"34",4.72089635480066e-29,0,0
"35",0.99995481967926,1,0
"36",0,0,0
"37",2.03193523501219e-29,0,0
"38",1.17582110151762e-33,0,0
"39",2.02199768040145e-08,0,0
"40",4.53860552344957e-21,0,0
"41",0,0,0
"42",1.48748392277876e-32,0,0
"43",1.84766027292733e-34,0,0
"44",1.43567750045902e-38,0,0
"45",5.57442788106832e-29,0,0
"46",8.49320117921798e-32,0,0
"47",8.55249174110798e-27,0,0
"48",0,0,0
"49",8.60143003025497e-29,0,1
"50",1.62874817369098e-23,0,0
"51",1.46971355267491e-29,0,0
"52",0,0,0
"53",0,0,0
"54",5.73829811991597e-21,0,0
"55",1.65406214821536e-24,0,0
"56",7.42247492984737e-23,0,0
"57",1.09595922190893e-28,0,0
"58",0,0,0
"59",0,0,0
"60",2.2287852500455e-22,0,0
"61",3.04591559976076e-27,0,0
"62",1.1451905202321e-29,0,0
"63",0,0,0
"64",1.71106323758698e-34,0,0
"65",8.45995145778276e-19,0,0
"66",1.71136705457119e-30,0,0
"67",1.8297728363476e-28,0,0
"68",2.6091521488105e-17,0,0
"69",0.197643488645554,0,1
"70",0,0,0
"71",1.76672146904832e-16,0,0
"72",8.39158007404778e-13,0,0
"73",2.41784293343306e-18,0,0
"74",4.52654020932641e-08,0,1
"75",1.75655436884509e-23,0,0
"76",2.73270642772992e-27,0,0
"77",8.14240135952666e-28,0,0
"78",8.55628613124721e-25,0,0
"79",2.34470313590441e-35,0,0
"80",3.90366083454626e-24,0,0
"81",1.41846859232687e-32,0,0
"82",1,1,0
"83",2.66239167116898e-23,0,0
"84",1.34203874751983e-14,0,0
"85",0,0,0
"86",0,0,0
"87",0.000378734286641702,0,0
"88",1.34196231019314e-21,0,0
"89",3.19678338200902e-06,0,0
"90",4.57117964410969e-38,0,0
"91",0.999987959861755,1,1
"92",2.76229654635872e-25,0,1
"93",5.61548650695723e-31,0,0
"94",0,0,0
"95",1.51864844418883e-36,0,0
"96",7.1413852116428e-25,0,0
"97",4.02154390890889e-31,0,0
"98",0.988476753234863,1,1
"99",4.49963363739429e-26,0,0
"100",8.09073108874803e-34,0,0
"101",2.06972769812559e-30,0,0
"102",1.42002359531405e-38,0,0
"103",4.75593758984288e-32,0,0
"104",9.86599502988652e-28,0,0
"105",2.09607747112773e-35,0,0
"106",3.20672797875703e-18,0,0
"107",0.00590977165848017,0,1
"108",0.999998927116394,1,1
"109",8.54779727148131e-34,0,0
"110",3.90267055868157e-13,0,0
"111",0,0,0
"112",8.704452235952e-28,0,0
"113",1.67857273546103e-16,0,0
"114",6.38219660351835e-29,0,0
"115",0,0,0
"116",2.77306716012054e-24,0,0
"117",5.68816675843129e-30,0,0
"118",2.30831611260803e-28,0,0
"119",1,1,1
"120",2.30173502480113e-09,0,1
"121",7.05193975142866e-33,0,0
"122",2.46267815981385e-14,0,0
"123",1.42562447756256e-16,0,0
"124",5.28903039906492e-21,0,0
"125",3.84858296057418e-24,0,0
"126",1.93596681518976e-14,0,0
"127",3.56862227927943e-28,0,0
"128",9.37094360442536e-11,0,0
"129",3.32766023184237e-32,0,0
"130",3.56333623136118e-25,0,0
"131",1.47632575220284e-16,0,0
"132",2.00439217223902e-06,0,0
"133",4.671840962276e-23,0,0
"134",1.21724201200304e-28,0,0
"135",3.77700515481196e-27,0,0
"136",2.21110158251254e-31,0,0
"137",7.76109477133619e-27,0,0
"138",5.36211289118327e-25,0,0
"139",0,0,0
"140",9.39303844306052e-27,0,0
"141",2.58097410743606e-28,0,0
"142",7.04695994795741e-27,0,0
"143",5.82288029182648e-30,0,0
"144",0,0,0
"145",1.72573318593508e-27,0,0
"146",4.76599409095096e-34,0,0
"147",0,0,0
"148",0,0,0
"149",9.27246015140448e-34,0,0
"150",8.09073108874803e-34,0,0
"151",1.68146128222077e-33,0,0
"152",7.39765396243664e-31,0,0
"153",7.31984093838961e-31,0,0
"154",1.4361448946708e-28,0,0
"155",5.68713554500114e-19,0,0
"156",5.42090538481703e-28,0,0
"157",0,0,0
"158",7.95781433549614e-29,0,0
"159",4.41392514571601e-37,0,0
"160",0,0,0
"161",2.03144607889897e-30,0,0
"162",2.01620983310373e-19,0,1
"163",1.71393546270796e-29,0,0
"164",2.14929734331467e-29,0,0
"165",1.83805777289341e-26,0,0
"166",3.25417969480879e-13,0,0
"167",3.20928273900359e-20,0,0
"168",4.44688045899122e-30,0,0
"169",0,0,0
"170",4.78749599484391e-34,0,0
"171",1.71696447655116e-30,0,0
"172",0,0,0
"173",0.548176765441895,1,0
"174",0,0,0
"175",3.7297838776306e-20,0,0
"176",3.22038659490637e-24,0,0
"177",3.66706074763469e-27,0,0
"178",0,0,0
"179",4.2681260112415e-24,0,0
"180",7.33578578763083e-28,0,0
"181",7.06045858250578e-22,0,0
"182",2.60201758880342e-38,0,0
"183",4.87469389792214e-29,0,0
"184",3.4887190269128e-30,0,0
"185",8.09073108874803e-34,0,0
"186",3.01872503501971e-32,0,0
"187",4.19357816266004e-25,0,0
"188",6.68440329888877e-29,0,0
"189",1.200428090636e-30,0,0
"190",1,1,1
"191",0.803772568702698,1,0
"192",1.05001287341571e-13,0,0
"193",3.13312878844442e-31,0,0
"194",1.18804473666403e-32,0,0
"195",1.38005575854334e-31,0,0
"196",1.18804473666403e-32,0,0
"197",0,0,0
"198",3.10041835407359e-25,0,0
"199",0,0,0
"200",0,0,0
"201",0,0,0
"202",1.44301414511463e-29,0,0
"203",6.5109001384208e-38,0,0
"204",6.16586643611622e-34,0,0
"205",0,0,0
