"","","","validation_labels_k"
"1",0.997925639152527,1,0
"2",9.16626952969903e-15,0,0
"3",1.01048039559905e-22,0,0
"4",8.16234723758827e-25,0,0
"5",4.12608247807138e-14,0,0
"6",7.92833873219934e-07,0,0
"7",1.36281169447556e-25,0,0
"8",2.2445365011059e-10,0,0
"9",1,1,1
"10",1.47982412723026e-35,0,0
"11",0.998058378696442,1,1
"12",1,1,1
"13",1,1,1
"14",0.978132605552673,1,0
"15",4.76265604731907e-09,0,0
"16",2.28824433179398e-06,0,0
"17",0.000113139511086047,0,0
"18",5.68363653485858e-29,0,0
"19",8.20934986656141e-12,0,0
"20",1.84425235499885e-11,0,0
"21",1,1,1
"22",0.0721862614154816,0,1
"23",1.18828341263977e-12,0,1
"24",1.12328283203087e-25,0,0
"25",0.986568331718445,1,0
"26",3.23230628125833e-28,0,0
"27",0.993764758110046,1,1
"28",1,1,1
"29",2.83046301824336e-21,0,0
"30",0.997401475906372,1,1
"31",0.978521466255188,1,0
"32",1.82365463839677e-28,0,0
"33",1.24518459559425e-23,0,0
"34",6.59049861749391e-35,0,0
"35",1.29283855399482e-29,0,0
"36",1.71064043562917e-25,0,0
"37",1.32410302941347e-22,0,0
"38",2.20529615928607e-25,0,0
"39",2.84572195761081e-18,0,0
"40",6.84552844327739e-22,0,0
"41",1.14829293413968e-20,0,0
"42",0.000152175314724445,0,0
"43",3.43779036609941e-15,0,0
"44",6.08679400215806e-08,0,0
"45",0.0925700291991234,0,0
"46",3.42753371031555e-17,0,0
"47",1,1,1
"48",0.999999523162842,1,0
"49",2.18077389035898e-06,0,0
"50",1.01484066253618e-24,0,0
"51",1,1,0
"52",0.847989678382874,1,0
"53",3.34615798727106e-31,0,0
"54",8.62563990269194e-23,0,0
"55",0.000263264169916511,0,0
"56",1.03214731467882e-33,0,0
"57",0.00166822387836874,0,1
"58",7.93468802064944e-21,0,0
"59",0.999777495861053,1,1
"60",1.3962905815146e-25,0,0
"61",0.993044793605804,1,0
"62",1.32410302941347e-22,0,0
"63",9.95332084130496e-06,0,0
"64",1.77142145396658e-09,0,0
"65",1.12118623202964e-23,0,0
"66",1.1362087248975e-15,0,0
"67",8.73889094484555e-27,0,0
"68",0.00272655626758933,0,1
"69",0.939896702766418,1,0
"70",2.37292106788608e-20,0,0
"71",0.697245478630066,1,0
"72",0.735355615615845,1,1
"73",1,1,1
"74",5.24717575477221e-19,0,0
"75",3.34961478074547e-05,0,0
"76",1.72066057838279e-17,0,0
"77",1.97983685381372e-14,0,0
"78",8.90002225917175e-31,0,0
"79",1.12111892010632e-21,0,0
"80",1,1,1
"81",1.90580289794762e-26,0,0
"82",1.13691157934694e-29,0,0
"83",2.74264581513516e-29,0,0
"84",1.73987224367372e-12,0,0
"85",7.42461931016755e-25,0,0
"86",5.55130885334889e-25,0,0
"87",6.94391656377175e-23,0,0
"88",1,1,1
"89",7.07034450897481e-06,0,0
"90",1,1,1
"91",2.11947843153584e-17,0,0
"92",1.38459467309051e-18,0,0
"93",0.999999165534973,1,0
"94",2.05258217901805e-27,0,0
"95",3.31916696859724e-24,0,0
"96",0.0249212682247162,0,0
"97",1.14584923038667e-16,0,0
"98",2.26803005629744e-13,0,0
"99",1.75984498747987e-26,0,0
"100",1.89158548920506e-33,0,0
"101",3.74838934953204e-32,0,0
"102",0.995186507701874,1,0
"103",5.48684881997274e-23,0,0
"104",6.04570430176588e-13,0,1
"105",2.5292578357039e-05,0,0
"106",0.998543858528137,1,0
"107",1,1,1
"108",9.04491384450548e-21,0,0
"109",1.11061794526648e-13,0,0
"110",2.39390703934202e-26,0,0
"111",5.66003568641723e-20,0,0
"112",2.88063376402185e-22,0,0
"113",3.62836281036107e-20,0,0
"114",6.55978961295584e-30,0,0
"115",4.3980242806637e-30,0,0
"116",2.88784263660749e-28,0,0
"117",1,1,1
"118",3.26309888398074e-13,0,0
"119",1.02228035064877e-11,0,0
"120",9.81436935205969e-23,0,0
"121",4.56234738417569e-23,0,0
"122",3.46806796502797e-25,0,0
"123",4.76579068458399e-28,0,0
"124",2.569535325989e-16,0,0
"125",1.84725802362951e-12,0,0
"126",1.35455278267596e-21,0,0
"127",3.98456218069128e-22,0,0
"128",8.51936336282661e-15,0,0
"129",7.94796103830665e-20,0,0
"130",8.79060103838704e-30,0,0
"131",1.49004858188836e-20,0,0
"132",0.766054093837738,1,0
"133",8.02120752332186e-29,0,0
"134",6.25019795365815e-26,0,0
"135",8.67520308673389e-23,0,0
"136",0.000243694783421233,0,0
"137",1.83293942147321e-26,0,0
"138",4.50410093204865e-25,0,0
"139",2.25079540915702e-14,0,0
"140",5.13722094377944e-16,0,0
