"","","","validation_labels_k"
"1",2.27468749809364e-14,0,0
"2",1,1,1
"3",1.34631921496625e-12,0,0
"4",1,1,1
"5",1,1,1
"6",1,1,1
"7",1,1,1
"8",1.08233787282093e-17,0,0
"9",1,1,1
"10",1,1,0
"11",1,1,1
"12",1,1,1
"13",1,1,1
"14",2.79289813720167e-24,0,0
"15",1,1,1
"16",1,1,1
"17",0.999999761581421,1,0
"18",1,1,1
"19",1,1,1
"20",2.51905572357642e-25,0,0
"21",3.8625587544226e-15,0,0
"22",1,1,1
"23",1,1,1
"24",0.000701542943716049,0,0
"25",1,1,1
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,1
"30",1,1,1
"31",1.86004597099002e-16,0,0
"32",1,1,1
"33",1,1,1
"34",0.999999165534973,1,1
"35",1,1,1
"36",1,1,1
"37",1,1,1
"38",1,1,1
"39",1,1,1
"40",1,1,1
"41",1,1,1
"42",1,1,1
"43",1,1,1
"44",1,1,1
"45",1,1,1
"46",1,1,1
"47",1,1,1
"48",5.79110201215371e-06,0,0
"49",1,1,1
"50",1,1,1
"51",2.70686979639756e-14,0,0
"52",3.9397334242581e-22,0,0
"53",6.43277445200319e-12,0,0
"54",0.0339776538312435,0,1
"55",1.00755145058303e-14,0,0
"56",5.84784433031101e-19,0,0
"57",4.38310115809183e-15,0,0
"58",1,1,1
"59",1,1,1
"60",1,1,1
"61",1,1,1
"62",1,1,1
"63",1,1,1
"64",2.31339669864237e-18,0,0
"65",1.65128015428007e-11,0,0
"66",5.77869322488864e-14,0,1
"67",1,1,1
"68",3.46231619763326e-11,0,0
"69",4.32840996329125e-19,0,1
"70",1,1,1
"71",1,1,1
"72",1,1,1
"73",1,1,1
"74",1,1,1
"75",1,1,1
"76",7.19413796519989e-15,0,0
"77",1,1,1
"78",1,1,1
"79",1,1,1
"80",1,1,1
"81",1,1,1
"82",0.999997854232788,1,1
"83",1.43637359036102e-15,0,0
"84",1,1,1
"85",3.32991895340878e-18,0,0
"86",1,1,1
"87",1,1,1
"88",0.939603269100189,1,1
"89",1,1,1
"90",1,1,1
"91",1,1,1
"92",1,1,1
"93",1,1,1
"94",5.26091052232419e-13,0,0
"95",1,1,1
"96",1.32691472013672e-14,0,0
"97",1,1,1
"98",1,1,1
"99",1,1,1
"100",1,1,1
"101",1,1,1
"102",1,1,1
"103",3.38709027730526e-14,0,0
"104",1,1,1
"105",2.03847735132795e-13,0,0
"106",1,1,1
"107",1,1,1
"108",1,1,1
"109",6.6945904785373e-20,0,0
"110",1,1,1
"111",0.452781766653061,0,1
"112",1,1,1
"113",1,1,1
"114",1,1,1
"115",1.15848747695574e-12,0,0
"116",9.64041824478125e-15,0,0
"117",0.999989151954651,1,1
"118",1,1,1
"119",1.24621231727069e-21,0,0
"120",1.64582542039327e-10,0,0
"121",5.48689967562649e-20,0,0
"122",1.52413202790434e-22,0,0
"123",1,1,1
"124",1.26839693149147e-17,0,0
"125",1,1,1
"126",1,1,1
"127",1,1,1
"128",1,1,1
"129",1,1,1
"130",1,1,1
"131",1.72904154649979e-19,0,0
