"","","","validation_labels_k"
"1",0.0201661121100187,0,1
"2",0.564949035644531,1,1
"3",0.995879650115967,1,1
"4",0.997056245803833,1,1
"5",0.0174747854471207,0,1
"6",0.459753751754761,0,1
"7",0.985423982143402,1,1
"8",0.458108007907867,0,0
"9",0.998815298080444,1,1
"10",0.970823049545288,1,1
"11",0.440637767314911,0,1
"12",0.965736329555511,1,1
"13",0.524765491485596,1,0
"14",0.176143005490303,0,1
"15",0.507944881916046,1,0
"16",0.981116950511932,1,1
"17",0.00787044130265713,0,0
"18",0.502699851989746,1,0
"19",0.0226444080471992,0,1
"20",0.990438282489777,1,1
"21",0.647002875804901,1,0
"22",0.489447146654129,0,0
"23",0.0472803115844727,0,0
"24",0.98042356967926,1,1
"25",0.0274689719080925,0,1
"26",0.146523624658585,0,0
"27",0.851437032222748,1,1
"28",0.99925822019577,1,1
"29",0.012825271114707,0,0
"30",0.00155388249550015,0,0
"31",0.624895572662354,1,1
"32",0.995445609092712,1,1
"33",0.951215863227844,1,1
"34",0.983358919620514,1,1
"35",0.0531029626727104,0,1
"36",0.577619194984436,1,0
"37",0.0246686525642872,0,0
"38",0.515084803104401,1,1
"39",0.346196711063385,0,1
"40",1,1,1
"41",0.024735115468502,0,1
"42",0.985989093780518,1,1
"43",0.990972876548767,1,1
"44",0.0103705199435353,0,0
"45",0.278439909219742,0,0
"46",0.936537981033325,1,1
"47",0.0209984146058559,0,1
"48",0.00049776496598497,0,0
"49",0.00218194909393787,0,0
"50",0.42353218793869,0,0
"51",0.00108321360312402,0,0
"52",0.0316597819328308,0,0
"53",0.812481582164764,1,1
"54",0.000722235592547804,0,0
"55",0.00213988148607314,0,0
"56",0.00929247215390205,0,0
"57",0.106000833213329,0,0
"58",0.0613200627267361,0,0
"59",0.802685737609863,1,1
"60",0.0404549315571785,0,0
"61",0.0102271921932697,0,0
"62",0.0385080985724926,0,0
"63",0.0184339098632336,0,0
"64",0.287305027246475,0,0
"65",0.38229888677597,0,0
"66",0.019015945494175,0,0
"67",0.0381808839738369,0,0
"68",0.981993496417999,1,1
"69",0.00196988275274634,0,0
"70",0.0879673138260841,0,1
"71",0.00704911164939404,0,0
"72",0.943298876285553,1,1
"73",0.994646489620209,1,1
"74",0.385203808546066,0,1
"75",0.00299751758575439,0,0
"76",0.284615874290466,0,0
"77",0.496898919343948,0,1
"78",0.024703823029995,0,0
"79",0.703229129314423,1,1
"80",0.501172006130219,1,1
"81",0.998303055763245,1,1
"82",0.116347081959248,0,0
"83",0.025285055860877,0,0
"84",0.443479627370834,0,1
"85",0.998230874538422,1,1
"86",0.999031186103821,1,1
"87",0.25700917840004,0,1
"88",0.0812318846583366,0,0
"89",0.871704697608948,1,1
"90",0.0369316153228283,0,0
"91",0.989397644996643,1,1
"92",0.423214614391327,0,0
"93",0.00108434469439089,0,0
"94",0.0831287205219269,0,0
"95",0.998532772064209,1,1
"96",0.017288101837039,0,0
"97",0.0273703560233116,0,0
"98",0.0662014856934547,0,0
"99",0.00743483379483223,0,0
"100",0.0010289860656485,0,0
"101",0.0077571040019393,0,0
"102",0.0055620651692152,0,0
"103",0.496349066495895,0,0
"104",0.00160719046834856,0,0
"105",0.0789018124341965,0,0
"106",0.928950428962708,1,1
"107",0.0506896451115608,0,0
"108",0.487650573253632,0,1
"109",0.946375787258148,1,1
"110",0.998835027217865,1,1
"111",0.486836344003677,0,1
"112",0.275411665439606,0,0
"113",0.0894755646586418,0,1
"114",0.00703393155708909,0,0
"115",0.363167852163315,0,0
"116",0.0221221186220646,0,0
"117",0.374307543039322,0,0
"118",0.737823367118835,1,1
"119",0.460510015487671,0,0
"120",0.00835193507373333,0,0
"121",0.951850414276123,1,1
"122",0.990755021572113,1,1
"123",0.988653481006622,1,1
"124",0.0825378224253654,0,0
"125",0.0144465686753392,0,0
"126",0.00101409107446671,0,0
"127",0.0228996705263853,0,0
"128",0.00109916971996427,0,0
"129",0.0547079220414162,0,0
"130",0.076824963092804,0,0
"131",0.0143479974940419,0,0
"132",0.388004153966904,0,0
"133",0.32222792506218,0,0
"134",0.511249244213104,1,1
"135",0.748911261558533,1,1
"136",0.003455770900473,0,0
"137",0.995417475700378,1,1
"138",0.989550650119781,1,1
"139",0.988759756088257,1,1
"140",0.552549004554749,1,1
"141",0.918377935886383,1,1
"142",0.47954523563385,0,1
"143",0.474730312824249,0,1
"144",0.561051428318024,1,0
"145",0.397068679332733,0,0
"146",0.990493357181549,1,1
"147",0.997976839542389,1,1
"148",0.0473917834460735,0,1
"149",0.206355884671211,0,1
"150",0.998192608356476,1,1
"151",0.0616799108684063,0,1
"152",0.285120964050293,0,0
"153",0.942935287952423,1,1
"154",0.878855884075165,1,1
"155",0.755482017993927,1,1
"156",0.00921591557562351,0,0
"157",0.00611783284693956,0,0
"158",0.0426181852817535,0,0
"159",0.0676457807421684,0,1
"160",0.00566442683339119,0,0
"161",0.0138848386704922,0,0
"162",0.997784435749054,1,1
"163",0.999817192554474,1,1
"164",0.999619603157043,1,1
"165",0.00362799386493862,0,0
"166",0.396782428026199,0,0
"167",0.0515003465116024,0,0
"168",0.412107825279236,0,1
"169",0.442547261714935,0,0
"170",0.499179810285568,0,1
"171",0.663227260112762,1,1
"172",0.984487116336823,1,1
"173",0.996364176273346,1,1
"174",0.943704664707184,1,1
"175",0.676218390464783,1,1
"176",0.42159977555275,0,1
"177",0.934719681739807,1,1
"178",0.923573970794678,1,1
"179",0.998852491378784,1,1
"180",0.98007869720459,1,1
"181",0.760299205780029,1,0
"182",0.928043127059937,1,1
"183",0.951895236968994,1,1
"184",0.0082421563565731,0,0
"185",0.0191845018416643,0,0
"186",0.00541250361129642,0,0
"187",0.989175021648407,1,1
"188",0.630766153335571,1,1
"189",0.00756963947787881,0,0
"190",0.000540386186912656,0,0
"191",0.731362164020538,1,1
"192",0.0130630182102323,0,0
"193",0.190109118819237,0,1
"194",0.00164319819305092,0,0
"195",0.000247924035647884,0,0
"196",0.137423604726791,0,0
"197",0.000599800783675164,0,0
"198",0.990157127380371,1,1
"199",0.00170558446552604,0,0
"200",0.0230741146951914,0,0
"201",0.531711876392365,1,1
"202",0.031561192125082,0,0
"203",0.00440636742860079,0,0
"204",0.00230514165014029,0,0
"205",0.487262964248657,0,0
"206",0.914943158626556,1,1
"207",0.0207685101777315,0,0
"208",0.0108052408322692,0,0
"209",0.00558588188141584,0,0
"210",0.00482834922149777,0,0
"211",0.000816141022369266,0,0
"212",0.0319598019123077,0,0
"213",0.00157546636182815,0,0
"214",0.999333560466766,1,0
"215",0.597245216369629,1,1
"216",0.98609447479248,1,1
"217",0.0551160834729671,0,1
