"","","","validation_labels_k"
"1",0.0381322503089905,0,0
"2",0.967570722103119,1,1
"3",0.906845450401306,1,1
"4",0.613527536392212,1,0
"5",0.058098878711462,0,1
"6",0.794664144515991,1,0
"7",0.903150796890259,1,0
"8",0.718038558959961,1,0
"9",0.133424416184425,0,0
"10",0.880514204502106,1,1
"11",0.661515891551971,1,1
"12",0.867702722549438,1,1
"13",0.614811360836029,1,0
"14",0.417003780603409,0,1
"15",0.663392543792725,1,1
"16",0.413378864526749,0,1
"17",0.385342329740524,0,0
"18",0.243924707174301,0,0
"19",0.0673414617776871,0,1
"20",0.837904930114746,1,0
"21",0.0758500397205353,0,0
"22",0.145636782050133,0,1
"23",0.0545525513589382,0,0
"24",0.198948502540588,0,0
"25",0.245370015501976,0,1
"26",0.198948502540588,0,0
"27",0.0709576308727264,0,0
"28",0.922378301620483,1,1
"29",0.0463932976126671,0,0
"30",0.61687308549881,1,0
"31",0.830164194107056,1,1
"32",0.753014147281647,1,1
"33",0.808346748352051,1,1
"34",0.0673414766788483,0,0
"35",0.0984464064240456,0,0
"36",0.0974892154335976,0,0
"37",0.768470525741577,1,1
"38",0.977180182933807,1,0
"39",0.94260311126709,1,1
"40",0.189195349812508,0,0
"41",0.849194645881653,1,1
"42",0.824595272541046,1,1
"43",0.776920199394226,1,0
"44",0.0493431687355042,0,0
"45",0.992864012718201,1,1
"46",0.703245043754578,1,0
"47",0.184730425477028,0,0
"48",0.599600255489349,1,0
"49",0.9982088804245,1,1
"50",0.102857694029808,0,0
"51",0.569760024547577,1,0
"52",0.936079204082489,1,1
"53",0.607073843479156,1,1
"54",0.99759441614151,1,1
"55",0.837925672531128,1,1
"56",0.765724241733551,1,0
"57",0.112508721649647,0,0
"58",0.731059730052948,1,0
"59",0.943853974342346,1,1
"60",0.50682806968689,1,0
"61",0.0859246477484703,0,0
"62",0.962080597877502,1,1
"63",0.991068601608276,1,1
"64",0.953321099281311,1,1
"65",0.852094948291779,1,1
"66",0.989177703857422,1,1
"67",0.798016846179962,1,1
"68",0.942324459552765,1,1
"69",0.825580418109894,1,1
"70",0.94757878780365,1,1
"71",0.978656709194183,1,1
"72",0.961105108261108,1,1
"73",0.680570781230927,1,1
"74",0.710422396659851,1,1
"75",0.966606080532074,1,1
"76",0.998542785644531,1,1
"77",0.741565465927124,1,1
"78",0.986451983451843,1,1
"79",0.9383824467659,1,1
"80",0.729925215244293,1,1
"81",0.557318031787872,1,0
"82",0.646257996559143,1,0
"83",0.536734282970428,1,0
"84",0.0696288645267487,0,0
"85",0.999863266944885,1,1
"86",0.999840140342712,1,1
"87",0.978221476078033,1,1
"88",0.606505334377289,1,1
"89",0.597656011581421,1,0
"90",0.12107652425766,0,0
"91",0.0978922918438911,0,0
"92",0.134306624531746,0,0
"93",0.911297738552094,1,0
"94",0.141895696520805,0,0
"95",0.294058710336685,0,0
"96",0.189195424318314,0,0
"97",0.603279173374176,1,0
"98",0.56623911857605,1,0
"99",0.0535479858517647,0,0
"100",0.999686479568481,1,1
"101",0.999220013618469,1,1
"102",0.104425810277462,0,0
"103",0.997505247592926,1,1
"104",0.927861154079437,1,1
"105",0.647094309329987,1,1
"106",0.928705632686615,1,1
"107",0.996367931365967,1,1
"108",0.766721904277802,1,1
"109",0.920678377151489,1,1
"110",0.861733615398407,1,1
"111",0.96796977519989,1,1
"112",0.0516016110777855,0,0
"113",0.0597778521478176,0,0
"114",0.0989448428153992,0,0
"115",0.995016157627106,1,1
"116",0.167856827378273,0,0
"117",0.987738370895386,1,1
"118",0.973069250583649,1,1
"119",0.746254742145538,1,1
"120",0.670977115631104,1,0
"121",0.855112373828888,1,0
"122",0.427864730358124,0,0
"123",0.902441322803497,1,1
"124",0.85179615020752,1,1
"125",0.808285534381866,1,1
"126",0.766059994697571,1,1
"127",0.854462087154388,1,1
"128",0.92297774553299,1,1
"129",0.993308782577515,1,1
"130",0.999761521816254,1,1
"131",0.997693240642548,1,1
"132",0.0524437204003334,0,0
"133",0.0507615655660629,0,0
"134",0.975191712379456,1,1
"135",0.935961902141571,1,1
"136",0.204450532793999,0,0
"137",0.115040376782417,0,0
"138",0.398578435182571,0,0
"139",0.0526037663221359,0,0
"140",0.533670365810394,1,0
"141",0.0427225790917873,0,0
"142",0.705114245414734,1,1
"143",0.730493426322937,1,0
"144",0.6222825050354,1,1
"145",0.994516670703888,1,1
"146",0.0534507147967815,0,0
"147",0.24891309440136,0,0
"148",0.08194250613451,0,0
"149",0.260862112045288,0,0
"150",0.0435252822935581,0,0
"151",0.267483353614807,0,0
"152",0.167856827378273,0,0
"153",0.393807768821716,0,0
"154",0.987020254135132,1,1
"155",0.197389557957649,0,0
"156",0.2659692466259,0,1
"157",0.225794300436974,0,0
"158",0.293336451053619,0,0
"159",0.115040399134159,0,0
"160",0.145636782050133,0,0
"161",0.045245349407196,0,0
"162",0.0947492569684982,0,0
"163",0.934308528900146,1,1
"164",0.985848903656006,1,1
"165",0.991045117378235,1,1
"166",0.85698139667511,1,1
"167",0.0711019560694695,0,0
"168",0.0967399403452873,0,0
"169",0.355049610137939,0,0
"170",0.0786130204796791,0,0
"171",0.0448138043284416,0,0
"172",0.0499794520437717,0,0
"173",0.291922301054001,0,0
"174",0.0530391857028008,0,0
"175",0.0815479829907417,0,0
"176",0.933648824691772,1,0
"177",0.0717265903949738,0,0
"178",0.126569762825966,0,0
"179",0.996268749237061,1,1
"180",0.0441501885652542,0,0
"181",0.0988643988966942,0,0
"182",0.276535421609879,0,0
"183",0.979674994945526,1,1
"184",0.0624376274645329,0,0
"185",0.037494782358408,0,0
"186",0.0552379190921783,0,0
"187",0.102878220379353,0,0
"188",0.805732071399689,1,0
"189",0.08194250613451,0,0
"190",0.799523532390594,1,1
"191",0.0815479829907417,0,0
"192",0.462970703840256,0,0
"193",0.0607873536646366,0,0
"194",0.251527458429337,0,0
"195",0.167856827378273,0,0
"196",0.607103407382965,1,0
"197",0.158072680234909,0,0
"198",0.419843107461929,0,0
