"","","","validation_labels_k"
"1",0.999660611152649,1,1
"2",0.999238967895508,1,1
"3",0.933681905269623,1,1
"4",0.999324679374695,1,1
"5",0.964878797531128,1,0
"6",0.997603237628937,1,1
"7",0.961543679237366,1,1
"8",0.999025464057922,1,1
"9",0.958147287368774,1,0
"10",0.995955228805542,1,1
"11",0.998622298240662,1,1
"12",0.999074578285217,1,1
"13",0.996136248111725,1,0
"14",0.993071258068085,1,1
"15",0.959538042545319,1,0
"16",0.998481452465057,1,1
"17",0.994888722896576,1,1
"18",0.957400023937225,1,0
"19",0.999997735023499,1,1
"20",0.919283986091614,1,0
"21",0.940428256988525,1,0
"22",0.999180376529694,1,1
"23",0.999432384967804,1,1
"24",0.951626539230347,1,0
"25",0.881222128868103,1,0
"26",0.998581528663635,1,1
"27",0.99894767999649,1,1
"28",0.998373985290527,1,0
"29",0.989714801311493,1,1
"30",0.997076630592346,1,1
"31",0.999209523200989,1,1
"32",0.959730207920074,1,0
"33",0.997231900691986,1,1
"34",0.919605851173401,1,0
"35",0.997557520866394,1,1
"36",0.999747216701508,1,1
"37",0.993461489677429,1,1
"38",0.967396199703217,1,0
"39",0.999466121196747,1,1
"40",0.998709082603455,1,1
"41",0.976885974407196,1,1
"42",0.875778913497925,1,0
"43",0.987914264202118,1,1
"44",0.980440557003021,1,0
"45",0.995413482189178,1,1
"46",0.998425483703613,1,1
"47",0.908580243587494,1,0
"48",0.996609091758728,1,0
"49",0.96886271238327,1,1
"50",0.998924434185028,1,1
"51",0.999779284000397,1,1
"52",0.999260723590851,1,1
"53",0.961361169815063,1,0
"54",0.921119868755341,1,0
"55",0.908561766147614,1,0
"56",0.935885787010193,1,0
"57",0.886374950408936,1,0
"58",0.92951488494873,1,0
"59",0.921356976032257,1,0
"60",0.952998876571655,1,0
"61",0.912482857704163,1,0
"62",0.975216209888458,1,0
"63",0.889208197593689,1,0
"64",0.942957162857056,1,0
"65",0.999235272407532,1,1
"66",0.998736083507538,1,1
"67",0.916563272476196,1,0
"68",0.790277659893036,1,0
"69",0.80413293838501,1,0
"70",0.991020619869232,1,1
"71",0.85624760389328,1,0
"72",0.98504251241684,1,0
"73",0.999129951000214,1,1
"74",0.990142047405243,1,0
