"","","","validation_labels_k"
"1",0.00800138153135777,0,0
"2",0.297947078943253,0,0
"3",1.3006190613396e-07,0,0
"4",0.145637929439545,0,0
"5",0.000310906179947779,0,0
"6",6.8316069246066e-08,0,0
"7",9.28446024772711e-05,0,0
"8",0.0681337416172028,0,0
"9",0.119122438132763,0,0
"10",1.26951844592327e-08,0,0
"11",1.06124753074255e-06,0,0
"12",5.61541542432042e-11,0,0
"13",0.264298319816589,0,1
"14",9.75763905444182e-05,0,0
"15",0.000951057474594563,0,0
"16",5.02527655044105e-06,0,0
"17",4.29388968825606e-08,0,0
"18",0.00298375100828707,0,0
"19",6.82348115788045e-08,0,0
"20",0.00350469071418047,0,0
"21",1.66187401191564e-05,0,0
"22",1.48526154930551e-07,0,0
"23",0.000114869719254784,0,0
"24",7.75671454150695e-12,0,0
"25",1.23644497307396e-07,0,0
"26",1.5685072949196e-27,0,0
"27",7.34032452875955e-12,0,0
"28",6.21598861272332e-09,0,0
"29",0.00156796269584447,0,0
"30",6.68659433378238e-11,0,0
"31",1.25962310448813e-06,0,0
"32",8.57774193718797e-06,0,0
"33",4.55989757028874e-05,0,0
"34",5.00769556310843e-06,0,0
"35",0.0679733827710152,0,0
"36",8.49250225698484e-10,0,0
"37",0.603812694549561,1,1
"38",9.97007446130738e-05,0,0
"39",1.18303797314034e-10,0,0
"40",0.00169257714878768,0,0
"41",1.49612276345579e-07,0,0
"42",9.84275538939983e-05,0,0
"43",0.0017075389623642,0,0
"44",4.13646272789947e-09,0,0
"45",5.26465009897947e-05,0,0
"46",0,0,0
"47",2.64287980389355e-10,0,0
"48",2.02879661855004e-12,0,0
"49",1.56032747327117e-05,0,0
"50",4.76760053658154e-09,0,0
"51",1.07175139874016e-07,0,0
"52",4.70813665831571e-10,0,0
"53",5.60477844691043e-11,0,0
"54",1.22215945697057e-10,0,0
"55",6.08068662696221e-13,0,0
"56",7.7678136275669e-13,0,0
"57",5.16902796607321e-12,0,0
"58",0.375260233879089,0,1
"59",3.06273905152921e-05,0,0
"60",1.69126295190836e-07,0,0
"61",0.000202276933123358,0,0
"62",7.52990487740135e-08,0,0
"63",0.000182552583282813,0,0
"64",0.000473948079161346,0,0
"65",0.0611782558262348,0,0
"66",0.00216274172998965,0,0
"67",0.202040687203407,0,0
"68",0.00010815160931088,0,0
"69",0.980336129665375,1,1
"70",0.000304778310237452,0,0
"71",0.0081506259739399,0,0
"72",2.25815947487717e-05,0,0
"73",0.0269992724061012,0,0
"74",0.00352227850817144,0,0
"75",0.119692713022232,0,0
"76",0.0240060072392225,0,0
"77",0.0137476725503802,0,0
"78",2.93210220547735e-08,0,0
"79",8.7249864009209e-05,0,0
"80",0.0304848160594702,0,0
"81",0.000812821148429066,0,0
"82",4.87489478473435e-06,0,0
"83",0.171578496694565,0,0
"84",2.54657128717639e-11,0,0
"85",5.97331272729207e-05,0,0
"86",0.000133710011141375,0,0
"87",6.29253371631222e-10,0,0
"88",0.00624290062114596,0,0
"89",0.000266102375462651,0,1
"90",0.000483079260447994,0,0
"91",0.510458886623383,1,0
"92",2.5218492737622e-05,0,0
"93",1.06474235508358e-05,0,0
"94",0.000497545814141631,0,0
"95",0.000307941780192778,0,0
"96",3.13562686926616e-09,0,0
"97",2.8782269012595e-08,0,0
"98",5.2111194236204e-05,0,0
"99",5.45914081158116e-05,0,0
"100",2.8984510436203e-07,0,0
"101",0.000166721132700332,0,0
"102",0.00815623346716166,0,0
"103",0.00404637819156051,0,0
"104",8.91408853931352e-06,0,0
"105",9.79815673041173e-11,0,0
"106",1.9848431231928e-10,0,0
"107",0.0812238454818726,0,0
"108",0.00496831163764,0,0
"109",0.00325611396692693,0,0
"110",5.27754728807395e-08,0,0
"111",2.11747760658909e-06,0,0
"112",3.90556955665033e-08,0,0
"113",0.495833367109299,0,1
"114",5.70852098462638e-05,0,0
"115",1.17437288338351e-07,0,0
"116",8.39974818518385e-05,0,0
"117",0.179935306310654,0,1
"118",1.97850476979511e-06,0,0
"119",1.36945672579714e-07,0,0
"120",0.0351518057286739,0,0
"121",0.00289075449109077,0,0
"122",0.497191667556763,0,0
"123",0.0409840978682041,0,0
"124",0.00158619019202888,0,0
"125",0.00292209908366203,0,0
