"","","","validation_labels_k"
"1",8.48762624627852e-07,0,0
"2",0.0304881036281586,0,0
"3",0.933715999126434,1,0
"4",0.00591525342315435,0,0
"5",7.47448721085675e-05,0,0
"6",0.0564103499054909,0,0
"7",9.21809260034934e-08,0,0
"8",0.0119186714291573,0,0
"9",0.000156274007167667,0,0
"10",0.00205024494789541,0,0
"11",0.0131867462769151,0,0
"12",0.58833509683609,1,0
"13",3.23146605296643e-06,0,0
"14",0.917342483997345,1,0
"15",4.43638228375676e-08,0,0
"16",0.0164261441677809,0,0
"17",0.997626483440399,1,1
"18",1.58593195465073e-07,0,0
"19",0.0211709495633841,0,0
"20",0.442119717597961,0,0
"21",0.246746033430099,0,0
"22",0.976436376571655,1,1
"23",0.0509094074368477,0,0
"24",0.0177196003496647,0,0
"25",0.063039243221283,0,0
"26",0.902051508426666,1,1
"27",0.0445931479334831,0,0
"28",0.847401142120361,1,1
"29",0.860596299171448,1,1
"30",0.000360947218723595,0,0
"31",0.684698343276978,1,1
"32",0.0378121845424175,0,0
"33",0.122103273868561,0,0
"34",0.247352421283722,0,1
"35",0.0214111786335707,0,0
"36",0.0590502843260765,0,0
"37",0.397773921489716,0,0
"38",0.964845180511475,1,1
"39",0.000183989002835006,0,0
"40",0.822674214839935,1,0
"41",0.0375021658837795,0,0
"42",0.964419543743134,1,1
"43",0.0461775884032249,0,0
"44",0.71370530128479,1,1
"45",0.81787121295929,1,1
"46",6.2637618611916e-06,0,0
"47",0.00750932283699512,0,0
"48",0.232376456260681,0,0
"49",0.000191757761058398,0,0
"50",0.00606861663982272,0,0
"51",0.00130600458942354,0,0
"52",0.000129655061755329,0,0
"53",0.0036880667321384,0,0
"54",0.0106816571205854,0,0
"55",7.3727612556751e-13,0,0
"56",0.0333920270204544,0,0
"57",0.00520061748102307,0,0
"58",0.000266332586761564,0,0
"59",0.084164597094059,0,0
"60",0.0194195657968521,0,0
"61",0.00622013118118048,0,0
"62",0.994402229785919,1,1
"63",0.00903273373842239,0,0
"64",1.35962920921884e-07,0,0
"65",0.0102383531630039,0,0
"66",0.992494463920593,1,1
"67",0.0208581052720547,0,0
"68",0.0238098911941051,0,0
"69",0.204588383436203,0,0
"70",0.000295197940431535,0,1
"71",0.162321463227272,0,0
"72",0.0449946075677872,0,0
"73",0.00651228940114379,0,0
"74",0.774343311786652,1,0
"75",0.0888888761401176,0,1
"76",0.0115511901676655,0,0
"77",0.0423345789313316,0,0
"78",0.00369453383609653,0,0
"79",0.0267593823373318,0,0
"80",0.103357151150703,0,0
"81",0.000532120000571012,0,0
"82",0.00809494405984879,0,0
"83",0.107658058404922,0,1
"84",0.0255160592496395,0,0
"85",0.0481052398681641,0,0
"86",0.0513583272695541,0,0
"87",0.00697320932522416,0,0
"88",0.0562439039349556,0,0
"89",0.211703777313232,0,0
"90",0.874756813049316,1,0
"91",0.000660841935314238,0,0
"92",0.384137183427811,0,0
"93",0.00898499134927988,0,0
"94",0.0343361832201481,0,0
"95",0.00255575776100159,0,0
"96",0.182157531380653,0,0
"97",0.000200995738850906,0,0
"98",7.06194123267778e-06,0,0
"99",0.0472891069948673,0,0
"100",0.000179407492396422,0,0
"101",0.115937642753124,0,0
"102",0.692429482936859,1,0
"103",0.253074407577515,0,0
"104",0.978535950183868,1,1
"105",0.0138121834024787,0,0
"106",0.481146156787872,0,0
"107",0.0376551747322083,0,0
"108",6.5813236460599e-07,0,0
"109",0.0387677177786827,0,0
"110",0.0144430939108133,0,0
"111",0.0080463383346796,0,0
"112",0.0281447097659111,0,0
"113",4.26473150128004e-07,0,0
"114",6.9411412368936e-06,0,0
"115",0.0121154263615608,0,0
"116",0.671769082546234,1,1
"117",0.0295027140527964,0,0
"118",0.0689433366060257,0,0
"119",0.981192350387573,1,0
"120",0.0402728989720345,0,0
"121",0.00229223305359483,0,0
"122",0.0764715895056725,0,0
"123",0.0089216735213995,0,0
"124",0.0201517585664988,0,0
"125",0.125873908400536,0,0
"126",0.0110988514497876,0,0
"127",0.875257313251495,1,0
"128",0.0610995888710022,0,0
"129",0.00235426076687872,0,0
"130",0.00633669691160321,0,0
"131",0.013675102032721,0,0
"132",0.243217065930367,0,1
"133",9.72737410620539e-08,0,0
"134",0.053943756967783,0,0
"135",0.868303835391998,1,0
"136",0.328469693660736,0,0
"137",0.942685544490814,1,0
"138",0.98267650604248,1,0
"139",0.00232107471674681,0,0
"140",0.030777370557189,0,0
"141",0.0373709239065647,0,1
"142",0.842176675796509,1,1
"143",0.910418093204498,1,0
"144",0.0613058656454086,0,0
"145",0.902084350585938,1,1
"146",0.993627667427063,1,1
"147",0.954087018966675,1,1
"148",0.0258603747934103,0,0
"149",0.363751471042633,0,1
"150",0.533995389938354,1,0
"151",0.719351708889008,1,1
"152",0.251020342111588,0,1
"153",0.957420885562897,1,1
"154",0.463166981935501,0,1
"155",1.21781613415806e-05,0,0
"156",5.17912994837388e-05,0,0
"157",0.00894408579915762,0,0
"158",2.13300495488511e-06,0,0
"159",1.5214670838759e-06,0,0
"160",9.02004467207007e-05,0,0
"161",0.0180463306605816,0,0
"162",7.64718934078701e-05,0,0
"163",0.00979669485241175,0,0
"164",0.0187646001577377,0,0
"165",0.770807564258575,1,0
"166",0.535819232463837,1,0
"167",0.00215468392707407,0,0
"168",6.01069586991798e-06,0,0
"169",0.107658699154854,0,0
"170",0.0028021817561239,0,0
"171",0.000477679452160373,0,0
"172",0.955804884433746,1,0
"173",0.158531337976456,0,0
"174",2.32215352298226e-05,0,0
"175",0.844879150390625,1,0
"176",0.225327387452126,0,0
"177",0.97199159860611,1,0
"178",8.20444802229758e-06,0,0
"179",0.191783130168915,0,0
"180",0.462665617465973,0,0
"181",0.419841349124908,0,1
"182",0.141356557607651,0,0
"183",0.028246970847249,0,0
"184",0.92148745059967,1,0
"185",0.0120426546782255,0,0
"186",0.0789766609668732,0,0
"187",0.00746425986289978,0,0
"188",0.827394843101501,1,1
"189",0.0176250673830509,0,0
"190",0.023316478356719,0,0
"191",0.026193929836154,0,0
"192",0.23883680999279,0,0
"193",0.00199804059229791,0,0
"194",0.105116620659828,0,0
"195",0.0076739676296711,0,0
"196",1.03736333301185e-07,0,0
"197",0.000147915867273696,0,0
"198",7.92880825883913e-07,0,0
"199",0.0570641495287418,0,0
"200",0.000961632467806339,0,0
"201",0.00385211268439889,0,0
"202",3.96580617234576e-05,0,0
"203",0.000380892131943256,0,0
"204",0.683245718479156,1,0
"205",0.0118233943358064,0,0
"206",0.0579070188105106,0,0
"207",0.0317098163068295,0,0
"208",0.0170580018311739,0,0
"209",0.158470019698143,0,0
"210",0.0406292006373405,0,0
"211",1.74966007762123e-05,0,0
"212",0.0111920535564423,0,0
"213",0.116838864982128,0,0
"214",0.0581029467284679,0,0
"215",0.0307089127600193,0,0
"216",0.048526257276535,0,0
"217",0.223487958312035,0,0
"218",0.000302619213471189,0,0
"219",0.0648352056741714,0,0
"220",0.0239174626767635,0,0
"221",1.41806349347462e-05,0,0
"222",0.0746889859437943,0,0
"223",0.0102365119382739,0,0
