"","","","validation_labels_k"
"1",0.36804661154747,0,0
"2",0.585842311382294,1,1
"3",0.954340934753418,1,1
"4",0.984847843647003,1,1
"5",0.632758259773254,1,0
"6",0.810296952724457,1,0
"7",0.709017276763916,1,0
"8",0.543765842914581,1,0
"9",0.956544160842896,1,0
"10",0.0038886780384928,0,0
"11",0.685830950737,1,0
"12",0.94277286529541,1,1
"13",0.909816265106201,1,0
"14",0.00123419880401343,0,0
"15",0.0141120404005051,0,0
"16",0.00278759747743607,0,0
"17",0.00193924398627132,0,0
"18",0.330896735191345,0,0
"19",0.0426074638962746,0,0
"20",0.598142623901367,1,0
"21",0.305272728204727,0,0
"22",0.969524502754211,1,1
"23",0.979720711708069,1,1
"24",0.502374231815338,1,0
"25",0.976797640323639,1,0
"26",0.876141786575317,1,1
"27",0.90457022190094,1,0
"28",0.832209587097168,1,1
"29",0.644541084766388,1,1
"30",0.877895891666412,1,1
"31",7.94283914729021e-06,0,0
"32",0.971475660800934,1,1
"33",0.00200894591398537,0,0
"34",0.00190864014439285,0,0
"35",0.00153592391870916,0,0
"36",0.951475203037262,1,1
"37",0.970564901828766,1,1
"38",0.239946216344833,0,0
"39",0.964430630207062,1,1
"40",0.459770828485489,0,0
"41",0.963172376155853,1,1
"42",0.0115089192986488,0,0
"43",0.955878496170044,1,1
"44",0.0148781863972545,0,0
"45",0.00319931423291564,0,0
"46",0.301999419927597,0,0
"47",0.140116259455681,0,0
"48",0.937349915504456,1,1
"49",0.143360033631325,0,1
"50",0.944503009319305,1,1
"51",0.631647169589996,1,0
"52",0.562699794769287,1,0
"53",0.757312417030334,1,1
"54",0.998014807701111,1,1
"55",0.0199621859937906,0,0
"56",0.751846969127655,1,0
"57",0.750173091888428,1,0
"58",0.390150964260101,0,0
"59",0.663621366024017,1,0
"60",0.41983625292778,0,0
"61",0.0105062397196889,0,0
"62",0.00252854358404875,0,0
"63",0.539059817790985,1,0
"64",0.00763946166262031,0,0
"65",0.688167214393616,1,0
"66",0.841099441051483,1,0
"67",0.0142525071278214,0,0
"68",0.00190864014439285,0,0
"69",0.00169986207038164,0,0
"70",0.00716454489156604,0,0
"71",0.00147339352406561,0,0
"72",0.716985642910004,1,0
"73",0.529363930225372,1,0
"74",0.00858742184937,0,0
"75",0.6202432513237,1,0
"76",0.00374784274026752,0,0
"77",0.0174282062798738,0,0
"78",0.0204845834523439,0,0
"79",0.00350767443887889,0,0
"80",0.998014807701111,1,1
"81",0.00238664611242712,0,0
"82",0.557064771652222,1,0
"83",0.102948702871799,0,0
"84",0.889143764972687,1,1
"85",0.491726487874985,0,0
"86",0.00295406323857605,0,0
"87",0.00121540355030447,0,0
"88",0.676823258399963,1,0
"89",0.124868683516979,0,0
"90",0.727076411247253,1,0
"91",0.0485041663050652,0,0
"92",0.928332269191742,1,1
"93",0.00238931691274047,0,0
"94",0.00887509621679783,0,0
"95",0.00479323137551546,0,0
"96",0.000861828099004924,0,0
"97",0.0119002219289541,0,0
"98",0.00175175128970295,0,0
"99",0.011900233104825,0,0
"100",0.0011800336651504,0,0
"101",0.0119002219289541,0,0
"102",0.0162440668791533,0,0
"103",0.00471099885180593,0,0
"104",0.00124976655934006,0,0
"105",0.048308078199625,0,0
"106",0.00332586863078177,0,0
"107",0.0425185933709145,0,0
"108",0.000970607972703874,0,0
"109",0.366335928440094,0,0
"110",0.00123607402201742,0,0
"111",0.16221034526825,0,0
"112",0.841563045978546,1,0
"113",0.000803064845968038,0,0
"114",0.00251765176653862,0,0
"115",0.00137563154567033,0,0
"116",0.00383047806099057,0,0
"117",0.523168087005615,1,0
"118",0.00345687125809491,0,0
"119",0.00716454489156604,0,0
"120",0.0960298329591751,0,0
"121",0.500727295875549,1,0
