"","","","validation_labels_k"
"1",0.414460152387619,0,0
"2",0.490969747304916,0,0
"3",0.630320250988007,1,0
"4",0.552817702293396,1,0
"5",0.152368441224098,0,0
"6",0.737049162387848,1,1
"7",0.384860545396805,0,0
"8",0.852806031703949,1,1
"9",0.616745591163635,1,1
"10",0.368683159351349,0,0
"11",0.67471045255661,1,0
"12",0.911479830741882,1,1
"13",0.21043087542057,0,0
"14",0.793163418769836,1,1
"15",0.756245315074921,1,1
"16",0.495170027017593,0,1
"17",0.996025562286377,1,1
"18",0.456473350524902,0,0
"19",0.580060184001923,1,1
"20",0.714567363262177,1,0
"21",0.615779459476471,1,0
"22",0.749802827835083,1,0
"23",0.652163147926331,1,1
"24",0.757831692695618,1,0
"25",0.67818421125412,1,1
"26",0.841033935546875,1,1
"27",0.735738337039948,1,1
"28",0.452228456735611,0,0
"29",0.852896213531494,1,1
"30",0.642474591732025,1,0
"31",0.679225444793701,1,1
"32",0.738511025905609,1,1
"33",0.181592538952827,0,0
"34",0.345928430557251,0,0
"35",0.713857769966125,1,1
"36",0.589913725852966,1,0
"37",0.733705222606659,1,1
"38",0.713523030281067,1,1
"39",0.50033050775528,1,1
"40",0.424693882465363,0,0
"41",0.0422303155064583,0,0
"42",0.730141937732697,1,1
"43",0.442515820264816,0,0
"44",0.212056905031204,0,0
"45",0.313562482595444,0,0
"46",0.233646169304848,0,1
"47",0.270628720521927,0,0
"48",0.688039839267731,1,0
"49",0.552382469177246,1,0
"50",0.6360724568367,1,0
"51",0.424903839826584,0,0
"52",0.197723880410194,0,0
"53",0.4707290828228,0,1
"54",0.167709767818451,0,0
"55",0.28077557682991,0,0
"56",0.622343778610229,1,1
"57",0.746046721935272,1,1
"58",0.786304950714111,1,1
"59",0.662542283535004,1,1
"60",0.773418545722961,1,1
"61",0.83532851934433,1,1
"62",0.65662008523941,1,1
"63",0.713290214538574,1,1
"64",0.564883589744568,1,0
"65",0.756565451622009,1,1
"66",0.623745381832123,1,0
"67",0.397578835487366,0,0
"68",0.494589388370514,0,0
"69",0.160949319601059,0,0
"70",0.348199635744095,0,0
"71",0.165965929627419,0,0
"72",0.475477814674377,0,0
"73",0.486846059560776,0,0
"74",0.244371727108955,0,0
"75",0.258192181587219,0,0
"76",0.21557542681694,0,0
"77",0.606500089168549,1,0
"78",0.240210473537445,0,0
"79",0.824498057365417,1,0
"80",0.429460018873215,0,0
"81",0.849391996860504,1,1
"82",0.219144225120544,0,0
"83",0.203251421451569,0,0
"84",0.241835057735443,0,0
"85",0.641218245029449,1,1
"86",0.633786678314209,1,1
"87",0.434763699769974,0,0
"88",0.305433481931686,0,0
"89",0.646672666072845,1,0
"90",0.726424634456635,1,0
"91",0.268957227468491,0,0
"92",0.750728487968445,1,1
"93",1,1,0
"94",0.621061027050018,1,0
