"","","","validation_labels_k"
"1",0.5075643658638,1,1
"2",0.559028387069702,1,0
"3",0.663198292255402,1,0
"4",0.831991612911224,1,1
"5",0.918353497982025,1,1
"6",0.624169290065765,1,1
"7",0.918981850147247,1,0
"8",0.565491855144501,1,0
"9",0.953311383724213,1,1
"10",0.62969034910202,1,0
"11",0.443771451711655,0,0
"12",0.693917155265808,1,0
"13",0.465593546628952,0,0
"14",0.592231452465057,1,0
"15",0.684762895107269,1,0
"16",0.595644950866699,1,0
"17",0.534757554531097,1,0
"18",0.539431154727936,1,0
"19",0.661906361579895,1,0
"20",0.519943475723267,1,0
"21",0.625374257564545,1,0
"22",0.479395598173141,0,0
"23",0.533350884914398,1,0
"24",0.55878347158432,1,0
"25",0.516686499118805,1,0
"26",0.517503142356873,1,0
"27",0.511550784111023,1,0
"28",0.87837153673172,1,1
"29",0.500315368175507,1,0
"30",0.555573523044586,1,0
"31",0.560226500034332,1,0
"32",0.610615372657776,1,0
"33",0.859125852584839,1,1
"34",0.522463083267212,1,0
"35",0.498975843191147,0,0
"36",0.880445003509521,1,0
"37",0.941175937652588,1,1
"38",0.889048457145691,1,1
"39",0.636448919773102,1,0
"40",0.828690469264984,1,1
"41",0.913206398487091,1,1
"42",0.677336871623993,1,1
"43",0.576610088348389,1,0
"44",0.817052900791168,1,0
"45",0.802022218704224,1,0
"46",0.835704863071442,1,0
"47",0.859722197055817,1,0
"48",0.873479068279266,1,0
"49",0.961422979831696,1,0
"50",0.55432116985321,1,0
"51",0.641536593437195,1,0
"52",0.856227040290833,1,0
"53",0.918246507644653,1,0
"54",0.615386307239532,1,0
"55",0.663641571998596,1,0
"56",0.409345239400864,0,0
"57",0.53478729724884,1,1
"58",0.53478729724884,1,1
"59",0.566827535629272,1,0
"60",0.566827535629272,1,0
"61",0.536507904529572,1,1
"62",0.530592858791351,1,0
"63",0.498975843191147,0,0
"64",0.480236738920212,0,0
"65",0.512907743453979,1,0
"66",0.827975332736969,1,1
"67",0.512907743453979,1,0
"68",0.792215406894684,1,0
"69",0.343069195747375,0,0
"70",0.87896454334259,1,0
"71",0.803573846817017,1,0
"72",0.480181902647018,0,0
"73",0.666547775268555,1,1
"74",0.565048336982727,1,0
"75",0.534465491771698,1,0
"76",0.538907468318939,1,0
"77",0.792215406894684,1,0
"78",0.476278841495514,0,0
"79",0.410880625247955,0,0
"80",0.804032504558563,1,0
"81",0.769518435001373,1,0
"82",0.845308303833008,1,0
"83",0.9428351521492,1,1
"84",0.628962993621826,1,1
"85",0.954945266246796,1,1
"86",0.963121235370636,1,1
"87",0.452670097351074,0,0
"88",0.828792929649353,1,1
"89",0.526136994361877,1,0
"90",0.58205783367157,1,1
"91",0.292849004268646,0,0
"92",0.485153466463089,0,0
"93",0.581915140151978,1,1
"94",0.892931640148163,1,1
"95",0.829480528831482,1,0
"96",0.793428301811218,1,0
