"","","","validation_labels_k"
"1",0.762890875339508,1,1
"2",0.792770564556122,1,0
"3",0.40302449464798,0,1
"4",0.898234844207764,1,0
"5",0.000789584591984749,0,0
"6",0.0146112143993378,0,1
"7",0.0302135180681944,0,1
"8",0.499336957931519,0,0
"9",0.196587353944778,0,0
"10",0.815602004528046,1,1
"11",0.00800630357116461,0,0
"12",0.404270023107529,0,0
"13",0.329793870449066,0,1
"14",0.00295458151958883,0,1
"15",0.414094001054764,0,0
"16",0.469808012247086,0,1
"17",0.704347968101501,1,0
"18",0.0149944648146629,0,0
"19",0.00527154095470905,0,0
"20",0.431226789951324,0,0
"21",0.00393801555037498,0,0
"22",0.000840396736748517,0,0
"23",0.00351311732083559,0,0
"24",0.00256872549653053,0,0
"25",0.838169872760773,1,1
"26",0.875463008880615,1,0
"27",0.498955756425858,0,1
"28",0.570987284183502,1,1
"29",0.0276003479957581,0,1
"30",0.0116727435961366,0,0
"31",0.0176764521747828,0,1
"32",0.0044443397782743,0,0
"33",0.743217825889587,1,0
"34",0.861851632595062,1,0
"35",0.000180641000042669,0,0
"36",0.754435837268829,1,1
"37",0.109697803854942,0,0
"38",0.0570954456925392,0,1
"39",0.00811316166073084,0,0
"40",0.130134403705597,0,0
"41",0.577879965305328,1,1
"42",0.512334167957306,1,1
"43",0.0617024265229702,0,0
"44",0.00192887778393924,0,0
"45",0.00582574028521776,0,0
"46",0.00643070414662361,0,0
"47",0.0015404709847644,0,0
"48",0.845504343509674,1,1
"49",0.419367074966431,0,0
"50",0.0204870905727148,0,0
"51",0.00742674851790071,0,0
"52",0.887959897518158,1,0
"53",0.00248825713060796,0,1
"54",0.0013703879667446,0,0
"55",0.00656363647431135,0,0
"56",0.00656363647431135,0,0
"57",0.00242508971132338,0,0
"58",0.00624977052211761,0,0
"59",0.0037085774820298,0,0
"60",0.00388267240487039,0,0
"61",0.0204628054052591,0,0
"62",0.00175289565231651,0,0
"63",0.814792096614838,1,1
"64",0.0251706019043922,0,0
"65",0.527263879776001,1,0
"66",0.0130666643381119,0,0
"67",0.102687031030655,0,0
"68",0.0158742163330317,0,1
"69",0.982870697975159,1,1
"70",0.00360510824248195,0,1
"71",0.455007761716843,0,0
"72",0.499397397041321,0,1
"73",0.592798173427582,1,0
"74",0.0867369994521141,0,0
"75",0.0132975839078426,0,0
"76",0.921921014785767,1,1
"77",0.0124927815049887,0,0
"78",0.517111122608185,1,1
"79",0.0248961113393307,0,0
"80",0.00256376038305461,0,0
"81",0.501736521720886,1,1
"82",0.677229404449463,1,1
"83",0.00137038680259138,0,0
"84",0.00764233991503716,0,0
"85",0.00507148075848818,0,0
"86",0.760662913322449,1,1
"87",0.0199911911040545,0,0
"88",0.00465493090450764,0,0
"89",0.0345098488032818,0,0
"90",0.00338805350475013,0,0
"91",0.805911481380463,1,1
"92",0.00530512211844325,0,1
"93",0.00656294636428356,0,0
"94",0.00235246168449521,0,0
"95",0.646997570991516,1,1
"96",0.746186256408691,1,1
"97",0.00187472440302372,0,0
"98",0.819839119911194,1,1
"99",0.0219902601093054,0,0
"100",0.863756597042084,1,1
"101",0.00167181401047856,0,0
"102",0.00423723505809903,0,0
"103",0.00308153801597655,0,0
"104",0.005504853092134,0,0
"105",0.910528182983398,1,1
"106",0.00539546785876155,0,0
"107",0.698077797889709,1,1
"108",0.812943041324615,1,1
"109",0.00297902221791446,0,0
"110",0.96705687046051,1,1
"111",0.0890118926763535,0,0
"112",0.0522458367049694,0,0
"113",0.433816641569138,0,1
"114",0.966812014579773,1,1
"115",0.723191261291504,1,1
"116",0.543108582496643,1,0
"117",0.00171932647936046,0,0
"118",0.0673904865980148,0,1
"119",0.716991603374481,1,1
"120",0.516721725463867,1,1
"121",0.937904238700867,1,1
"122",0.941910862922668,1,1
"123",0.930445671081543,1,1
"124",0.858152508735657,1,1
"125",0.00248685851693153,0,0
"126",0.00407866481691599,0,0
"127",0.034203827381134,0,0
"128",0.00381489656865597,0,0
"129",0.00327735510654747,0,0
"130",0.00930469669401646,0,0
"131",0.0264974404126406,0,0
"132",0.0089820958673954,0,0
"133",0.0139394132420421,0,0
"134",0.789257109165192,1,1
"135",0.641412436962128,1,0
"136",0.527582049369812,1,1
"137",0.588638365268707,1,1
"138",0.0098502840846777,0,1
"139",0.0216952133923769,0,0
"140",0.00528461905196309,0,0
"141",0.00996172055602074,0,0
"142",0.847747504711151,1,1
"143",0.997005879878998,1,1
"144",0.0133217368274927,0,1
