"","","","validation_labels_k"
"1",0.0436661057174206,0,0
"2",0.951972424983978,1,1
"3",0.950329720973969,1,1
"4",0.241213202476501,0,1
"5",0.0156013099476695,0,0
"6",0.102907754480839,0,1
"7",0.039948757737875,0,0
"8",0.953724205493927,1,1
"9",0.0907699167728424,0,0
"10",0.78574413061142,1,1
"11",0.249016627669334,0,1
"12",0.141059324145317,0,1
"13",0.205676853656769,0,1
"14",0.591463029384613,1,0
"15",0.0862611830234528,0,0
"16",0.0199975725263357,0,0
"17",0.268475353717804,0,0
"18",0.820074319839478,1,1
"19",0.879816889762878,1,1
"20",0.956580460071564,1,1
"21",0.0134932044893503,0,0
"22",0.138379469513893,0,0
"23",0.87149703502655,1,1
"24",0.480603873729706,0,0
"25",0.63741409778595,1,1
"26",0.254084289073944,0,1
"27",0.0334263704717159,0,1
"28",0.0101417992264032,0,0
"29",0.106229014694691,0,1
"30",0.212220683693886,0,1
"31",0.159838989377022,0,0
"32",0.0700874403119087,0,1
"33",0.863750815391541,1,1
"34",0.595918715000153,1,1
"35",0.250691652297974,0,1
"36",0.932928323745728,1,1
"37",0.342483520507812,0,0
"38",0.0620223842561245,0,1
"39",0.194339275360107,0,1
"40",0.0486260652542114,0,1
"41",0.359647542238235,0,0
"42",0.244061544537544,0,0
"43",0.0957904756069183,0,0
"44",0.0221321396529675,0,0
"45",0.0101417992264032,0,0
"46",0.00382838631048799,0,0
"47",0.0090531762689352,0,0
"48",0.0036451902706176,0,0
"49",0.606868743896484,1,0
"50",0.405641794204712,0,0
"51",0.284262239933014,0,1
"52",0.0438632220029831,0,0
"53",0.86677610874176,1,0
"54",0.0120672779157758,0,0
"55",0.737520337104797,1,0
"56",0.0675635561347008,0,1
"57",0.931533575057983,1,0
"58",0.0195925533771515,0,0
"59",0.00898328516632318,0,0
"60",0.00988566875457764,0,0
"61",0.732699930667877,1,0
"62",0.00346344150602818,0,0
"63",0.0214720238000154,0,0
"64",0.192581996321678,0,0
"65",0.057856272906065,0,0
"66",0.106613717973232,0,0
"67",0.0160272754728794,0,0
"68",0.968045830726624,1,1
"69",0.67993289232254,1,1
"70",0.331009954214096,0,0
"71",0.0124288173392415,0,0
"72",0.586344599723816,1,1
"73",0.48030149936676,0,0
"74",0.987882852554321,1,1
"75",0.0538074821233749,0,0
"76",0.0302220974117517,0,0
"77",0.938251137733459,1,1
"78",0.561184048652649,1,1
"79",0.347136288881302,0,1
"80",0.95193213224411,1,1
"81",0.395348250865936,0,0
"82",0.548558413982391,1,1
"83",0.233980938792229,0,0
"84",0.460281074047089,0,1
"85",0.212959125638008,0,1
"86",0.280717432498932,0,1
"87",0.0170322358608246,0,0
"88",0.999317288398743,1,1
"89",0.101292692124844,0,0
"90",0.188838064670563,0,0
"91",0.044279869645834,0,0
"92",0.230388611555099,0,1
"93",0.573293626308441,1,1
"94",0.0702350288629532,0,0
"95",0.954289793968201,1,1
"96",0.0395828522741795,0,1
"97",0.953373789787292,1,1
"98",0.0112096928060055,0,0
"99",0.134660646319389,0,0
"100",0.0661238431930542,0,0
"101",0.211609438061714,0,0
"102",0.906367480754852,1,1
"103",0.00594162987545133,0,0
"104",0.171358317136765,0,0
"105",0.0152488294988871,0,0
"106",0.0216127373278141,0,0
"107",0.00501808943226933,0,0
"108",0.71901524066925,1,1
"109",0.046664547175169,0,0
"110",0.677472591400146,1,1
"111",0.864315927028656,1,1
"112",0.881731569766998,1,1
"113",0.974828600883484,1,1
"114",0.754368782043457,1,1
"115",0.619098365306854,1,1
"116",0.0123032834380865,0,0
"117",0.0191690046340227,0,0
"118",0.0168124493211508,0,0
"119",0.0152313187718391,0,0
"120",0.0327445678412914,0,0
"121",0.911976218223572,1,1
"122",0.421777755022049,0,0
"123",0.00949743669480085,0,0
"124",0.775157868862152,1,1
"125",0.823690891265869,1,1
"126",0.0271921027451754,0,1
"127",0.0187632646411657,0,0
"128",0.908690512180328,1,1
"129",0.0193504653871059,0,0
"130",0.286945581436157,0,0
"131",0.117922373116016,0,1
"132",0.154227524995804,0,1
"133",0.025821914896369,0,0
"134",0.18827511370182,0,0
"135",0.0036451902706176,0,0
"136",0.998506128787994,1,1
"137",0.981452286243439,1,1
"138",0.00109308469109237,0,0
"139",0.0232375580817461,0,0
"140",0.00687384186312556,0,0
"141",0.0010460193734616,0,0
"142",0.00517496047541499,0,0
"143",0.0487907789647579,0,0
"144",0.0167497359216213,0,0
"145",0.00411635357886553,0,0
"146",0.786998927593231,1,1
"147",0.263245165348053,0,1
"148",0.953905940055847,1,1
"149",0.990893244743347,1,1
"150",0.794612765312195,1,1
"151",0.160758495330811,0,0
"152",0.101345993578434,0,1
"153",0.395348250865936,0,0
"154",0.965640068054199,1,1
"155",0.924206793308258,1,1
"156",0.0104675246402621,0,0
"157",0.972709536552429,1,1
"158",0.384896069765091,0,1
"159",0.950793564319611,1,0
"160",0.981916308403015,1,1
"161",0.0289154890924692,0,1
"162",0.383809566497803,0,1
"163",0.999248802661896,1,1
"164",0.823437392711639,1,1
"165",0.958989024162292,1,1
"166",0.962902724742889,1,1
"167",0.169716864824295,0,1
"168",0.925372302532196,1,1
"169",0.0367193929851055,0,0
"170",0.881496965885162,1,1
"171",0.731194019317627,1,1
"172",0.999243378639221,1,1
"173",0.999481976032257,1,1
"174",0.33695188164711,0,1
"175",0.71640956401825,1,1
"176",0.971451282501221,1,1
"177",0.287258982658386,0,0
"178",0.0101417992264032,0,0
"179",0.871798753738403,1,1
"180",0.999763190746307,1,1
"181",0.999448239803314,1,1
"182",0.995484948158264,1,1
"183",0.977620899677277,1,1
"184",0.964628159999847,1,1
"185",0.716178059577942,1,1
"186",0.04326231777668,0,0
"187",0.194465801119804,0,0
"188",0.313355833292007,0,0
"189",0.0555168762803078,0,0
"190",0.00728870835155249,0,0
"191",0.0324258729815483,0,0
"192",0.0120672741904855,0,0
"193",0.0112691596150398,0,0
"194",0.998425722122192,1,1
"195",0.994941771030426,1,1
"196",0.985472023487091,1,1
"197",0.899706423282623,1,1
"198",0.925241053104401,1,1
"199",0.998066842556,1,1
"200",0.993727207183838,1,1
"201",0.97002238035202,1,1
"202",0.028769925236702,0,0
"203",0.00594162987545133,0,0
"204",0.0336067676544189,0,0
"205",0.00312422169372439,0,0
"206",0.988010704517365,1,1
"207",0.950110137462616,1,1
"208",0.0578562878072262,0,0
"209",0.967103898525238,1,1
"210",0.767864346504211,1,1
"211",0.0778023228049278,0,0
"212",0.423883110284805,0,1
"213",0.292340457439423,0,0
"214",0.787944376468658,1,1
"215",0.911638617515564,1,1
"216",0.903494834899902,1,1
"217",0.0661238431930542,0,0
"218",0.477957427501678,0,1
"219",0.992259085178375,1,1
"220",0.886975109577179,1,1
"221",0.91130793094635,1,1
"222",0.339516401290894,0,0
"223",0.92732846736908,1,0
"224",0.999986529350281,1,1
"225",0.057856272906065,0,0
"226",0.738478779792786,1,1
"227",0.593123733997345,1,0
"228",0.096746563911438,0,0
"229",0.134282752871513,0,0
"230",0.113882638514042,0,0
"231",0.00724358065053821,0,0
"232",0.0352644212543964,0,0
"233",0.241885706782341,0,0
"234",0.00968289189040661,0,0
"235",0.00858030002564192,0,0
"236",0.977109372615814,1,1
"237",0.0188458170741796,0,0
"238",0.0054056434892118,0,0
"239",0.394173711538315,0,0
"240",0.00458723120391369,0,0
"241",0.0227243900299072,0,0
"242",0.072030633687973,0,0
"243",0.00484950141981244,0,0
"244",0.00968289189040661,0,0
"245",0.804269433021545,1,1
"246",0.983003377914429,1,1
"247",0.999986529350281,1,1
"248",0.0957904756069183,0,0
"249",0.0492819175124168,0,0
"250",0.428977638483047,0,0
"251",0.0242758207023144,0,0
"252",0.801259160041809,1,1
"253",0.881011366844177,1,1
"254",0.00673098303377628,0,0
"255",0.975126564502716,1,1
"256",0.899491786956787,1,1
"257",0.217837736010551,0,0
"258",0.0663443133234978,0,0
"259",0.00758580164983869,0,0
"260",0.443893730640411,0,1
"261",0.00599699234589934,0,0
"262",0.981057643890381,1,1
"263",0.00277454522438347,0,0
"264",0.0114454021677375,0,0
"265",0.00208208779804409,0,0
"266",0.947924435138702,1,1
"267",0.0040632295422256,0,0
"268",0.0537174865603447,0,0
"269",0.0126462820917368,0,0
"270",0.560799360275269,1,0
"271",0.0112587353214622,0,0
"272",0.00305146514438093,0,0
"273",0.00678365398198366,0,0
"274",0.059302631765604,0,0
"275",0.0183587595820427,0,0
"276",0.00439308118075132,0,0
"277",0.0040632295422256,0,0
"278",0.00376224727369845,0,0
"279",0.0181743614375591,0,0
"280",0.00360521813854575,0,0
"281",0.00740116788074374,0,0
"282",0.00425516674295068,0,0
"283",0.00483163353055716,0,0
"284",0.16376131772995,0,0
"285",0.998872935771942,1,1
"286",0.999931216239929,1,1
"287",0.999241232872009,1,1
"288",0.997268676757812,1,1
"289",0.00871258322149515,0,0
"290",0.0183587502688169,0,0
"291",0.911718726158142,1,1
"292",0.272447735071182,0,0
"293",0.00127157650422305,0,0
"294",0.258933961391449,0,1
"295",0.0245679225772619,0,0
"296",0.0578562878072262,0,0
"297",0.0430330224335194,0,0
"298",0.00512614566832781,0,0
