"","","","validation_labels_k"
"1",0.994166254997253,1,1
"2",0.927191138267517,1,1
"3",0.862738847732544,1,1
"4",0.98093193769455,1,1
"5",0.0429389402270317,0,1
"6",0.683610081672668,1,0
"7",0.103206358850002,0,0
"8",0.995368838310242,1,1
"9",0.00786766782402992,0,0
"10",0.440735429525375,0,1
"11",0.980190813541412,1,1
"12",0.656645357608795,1,1
"13",0.0101347351446748,0,0
"14",0.837864398956299,1,1
"15",0.00319779710844159,0,0
"16",0.048620194196701,0,0
"17",0.404392391443253,0,1
"18",0.507575988769531,1,1
"19",0.187510266900063,0,0
"20",0.138836026191711,0,1
"21",0.109048962593079,0,0
"22",0.00105882412753999,0,0
"23",0.488619863986969,0,0
"24",0.488619863986969,0,0
"25",0.98719596862793,1,0
"26",0.473880082368851,0,0
"27",0.988980770111084,1,1
"28",0.795510947704315,1,1
"29",0.0608459785580635,0,1
"30",0.964739978313446,1,1
"31",0.000432359345722944,0,0
"32",0.69808292388916,1,0
"33",0.00142171361949295,0,0
"34",0.00126761803403497,0,0
"35",0.855973243713379,1,1
"36",0.78601461648941,1,0
"37",0.0721142664551735,0,0
"38",0.845982551574707,1,1
"39",0.0308826826512814,0,0
"40",0.00861251447349787,0,0
"41",0.744251012802124,1,0
"42",0.162928357720375,0,0
"43",0.202825143933296,0,1
"44",0.0616294331848621,0,1
"45",0.92415726184845,1,1
"46",0.816954255104065,1,1
"47",0.990569710731506,1,1
"48",0.932121813297272,1,1
"49",0.973874688148499,1,1
"50",0.666133165359497,1,1
"51",0.89271479845047,1,1
"52",0.919974982738495,1,1
"53",0.999185621738434,1,1
"54",0.102541074156761,0,0
"55",0.997132539749146,1,1
"56",0.133705705404282,0,0
"57",0.572131633758545,1,0
"58",0.0108858849853277,0,0
"59",0.0011569814523682,0,0
"60",0.100900590419769,0,0
"61",0.00465007545426488,0,0
"62",0.698599457740784,1,0
"63",0.592254102230072,1,0
"64",0.00228153704665601,0,0
"65",0.927992641925812,1,1
"66",0.00630706548690796,0,0
"67",0.0374448224902153,0,0
"68",0.0159284323453903,0,0
"69",0.00175955821759999,0,0
"70",0.0136926909908652,0,0
"71",0.74909496307373,1,1
"72",0.913909673690796,1,1
"73",0.00663520442321897,0,0
"74",0.00121325673535466,0,0
"75",0.00709618953987956,0,0
"76",0.986935019493103,1,1
"77",0.901368618011475,1,1
"78",0.188479527831078,0,0
"79",0.00467268982902169,0,0
"80",0.926679730415344,1,1
"81",0.991201996803284,1,1
"82",0.973420739173889,1,1
"83",0.986735343933105,1,1
"84",0.997536182403564,1,1
"85",0.998604357242584,1,1
"86",0.906116485595703,1,1
"87",0.936636447906494,1,1
"88",0.716087460517883,1,1
"89",0.3736192882061,0,0
"90",0.0539386942982674,0,0
"91",0.00420575542375445,0,0
"92",0.96686190366745,1,1
"93",0.00380741595290601,0,0
"94",0.763719201087952,1,0
"95",0.0699830949306488,0,0
"96",0.017068549990654,0,0
"97",0.00447294255718589,0,0
"98",0.00389036862179637,0,0
"99",0.729284584522247,1,1
"100",0.82707267999649,1,1
"101",0.0165314562618732,0,0
"102",0.1422438621521,0,1
"103",0.919943511486053,1,1
"104",0.0351273566484451,0,0
"105",0.544893383979797,1,0
"106",0.0106507018208504,0,0
"107",0.0518439672887325,0,1
"108",0.560007154941559,1,1
"109",0.888626158237457,1,1
