"","","","validation_labels_k"
"1",0.460204929113388,0,0
"2",0.305332481861115,0,1
"3",0.859977006912231,1,1
"4",0.9900763630867,1,1
"5",0.956505656242371,1,1
"6",0.921514272689819,1,1
"7",0.601626336574554,1,1
"8",0.983629763126373,1,1
"9",0.767822563648224,1,1
"10",0.955291986465454,1,1
"11",0.992251574993134,1,1
"12",0.193479835987091,0,0
"13",0.568834662437439,1,1
"14",0.0349992178380489,0,0
"15",0.0249062422662973,0,0
"16",0.957314193248749,1,1
"17",0.722956418991089,1,1
"18",0.140295445919037,0,0
"19",0.77308988571167,1,1
"20",0.998675644397736,1,1
"21",0.0105934198945761,0,0
"22",0.980702459812164,1,1
"23",0.0174767263233662,0,1
"24",0.963531911373138,1,1
"25",0.65816605091095,1,0
"26",0.781983554363251,1,1
"27",0.923733830451965,1,1
"28",0.879511773586273,1,0
"29",0.954696714878082,1,1
"30",0.861088693141937,1,1
"31",0.10884727537632,0,0
"32",0.0229989010840654,0,0
"33",0.683674216270447,1,1
"34",0.0927708819508553,0,0
"35",0.0972957909107208,0,0
"36",0.975617825984955,1,1
"37",0.948238492012024,1,0
"38",0.227750018239021,0,1
"39",0.0466578379273415,0,0
"40",0.828572392463684,1,1
"41",0.942396938800812,1,1
"42",0.0578221417963505,0,1
"43",0.980939269065857,1,0
"44",0.606473922729492,1,1
"45",0.936044692993164,1,1
"46",0.100958071649075,0,0
"47",0.99428516626358,1,1
"48",0.0142324240878224,0,0
"49",0.170575693249702,0,1
"50",0.974860668182373,1,1
"51",0.0080092353746295,0,0
"52",0.987645447254181,1,1
"53",0.920991480350494,1,1
"54",0.0578999146819115,0,0
"55",0.926117062568665,1,1
"56",0.71133816242218,1,1
"57",0.984709799289703,1,1
"58",0.982694447040558,1,1
"59",0.859896421432495,1,0
"60",0.960512816905975,1,1
"61",0.956530392169952,1,1
"62",0.987172842025757,1,1
"63",0.0243462175130844,0,1
"64",0.951531112194061,1,0
"65",0.0949551537632942,0,0
"66",0.100958071649075,0,0
"67",0.0238729361444712,0,0
"68",0.276810824871063,0,0
"69",0.964854180812836,1,0
"70",0.162215992808342,0,0
"71",0.0126371337100863,0,0
"72",0.129263117909431,0,0
"73",0.981748938560486,1,1
"74",0.564020454883575,1,0
"75",0.996120095252991,1,1
"76",0.575929164886475,1,0
"77",0.229327663779259,0,1
"78",0.173827394843102,0,0
"79",0.0612745396792889,0,0
"80",0.0174767263233662,0,0
"81",0.0266028735786676,0,0
"82",0.173827394843102,0,0
"83",0.916701674461365,1,0
"84",0.0501707494258881,0,0
"85",0.0177283510565758,0,0
"86",0.0295866839587688,0,0
"87",0.321425318717957,0,1
"88",0.110635638237,0,1
"89",0.0264899879693985,0,0
"90",0.392815798521042,0,0
"91",0.865984499454498,1,0
"92",0.947967946529388,1,1
"93",0.173717930912971,0,0
"94",0.955118715763092,1,0
"95",0.968987345695496,1,1
"96",0.0763181820511818,0,0
"97",0.10965284705162,0,0
"98",0.812514126300812,1,0
"99",0.988073527812958,1,1
"100",0.630703687667847,1,1
"101",0.930788457393646,1,1
"102",0.983127951622009,1,1
"103",0.899730920791626,1,0
"104",0.897230863571167,1,0
"105",0.865883827209473,1,1
"106",0.998486757278442,1,1
"107",0.978616178035736,1,1
"108",0.0425021164119244,0,0
"109",0.979318916797638,1,1
"110",0.721522808074951,1,1
"111",0.71452009677887,1,0
"112",0.876366019248962,1,0
"113",0.95819616317749,1,0
"114",0.820340156555176,1,1
"115",0.193479835987091,0,0
"116",0.986644089221954,1,1
"117",0.998167276382446,1,1
"118",0.0450745522975922,0,0
"119",0.96930456161499,1,1
"120",0.996235191822052,1,1
"121",0.95425146818161,1,0
"122",0.0270033869892359,0,0
"123",0.0665232017636299,0,1
"124",0.0465172231197357,0,0
"125",0.710807681083679,1,1
"126",0.0331800989806652,0,0
"127",0.966480612754822,1,1
"128",0.110635660588741,0,0
"129",0.993597149848938,1,1
"130",0.0578999146819115,0,0
"131",0.058657631278038,0,0
"132",0.441367745399475,0,0
"133",0.996087670326233,1,1
"134",0.121730156242847,0,0
"135",0.983353972434998,1,1
"136",0.758218348026276,1,0
"137",0.993407368659973,1,1
"138",0.94460541009903,1,1
"139",0.96568375825882,1,1
"140",0.987541496753693,1,1
"141",0.983087182044983,1,1
"142",0.832559466362,1,0
"143",0.965150117874146,1,1
"144",0.95819616317749,1,1
"145",0.954274773597717,1,1
"146",0.990103781223297,1,1
"147",0.396472126245499,0,0
"148",0.063046783208847,0,0
"149",0.0368916764855385,0,0
"150",0.606169700622559,1,0
"151",0.894193708896637,1,1
"152",0.379852592945099,0,1
"153",0.972088754177094,1,1
"154",0.992285013198853,1,1
"155",0.972026586532593,1,1
"156",0.1031773686409,0,0
"157",0.902224004268646,1,0
"158",0.071248933672905,0,0
"159",0.993184149265289,1,1
"160",0.00800176430493593,0,0
"161",0.0055345268920064,0,0
"162",0.0373701006174088,0,0
"163",0.0261925105005503,0,0
"164",0.97953987121582,1,1
"165",0.981049954891205,1,1
"166",0.980608761310577,1,1
"167",0.97449141740799,1,1
"168",0.977106988430023,1,1
"169",0.925461709499359,1,0
"170",0.738703429698944,1,0
"171",0.990554988384247,1,1
"172",0.137168601155281,0,0
"173",0.100958071649075,0,0
"174",0.650603473186493,1,0
"175",0.9547278881073,1,1
"176",0.0763454586267471,0,0
"177",0.98073822259903,1,1
"178",0.985353946685791,1,1
"179",0.66760641336441,1,1
"180",0.973891198635101,1,1
"181",0.998504400253296,1,1
"182",0.981464326381683,1,1
"183",0.994041860103607,1,1
"184",0.98113352060318,1,1
"185",0.995861768722534,1,1
"186",0.967923283576965,1,1
"187",0.857078969478607,1,1
"188",0.967216432094574,1,1
"189",0.100958071649075,0,1
"190",0.999481499195099,1,1
"191",0.833299219608307,1,1
"192",0.987725913524628,1,1
"193",0.0531189367175102,0,0
"194",0.972588181495667,1,0
"195",0.136833041906357,0,1
"196",0.971804618835449,1,1
"197",0.691429197788239,1,0
"198",0.783581018447876,1,1
"199",0.696913659572601,1,0
"200",0.876728475093842,1,1
"201",0.825779616832733,1,0
"202",0.325499832630157,0,0
"203",0.172881841659546,0,0
"204",0.0422391891479492,0,0
"205",0.0578999146819115,0,0
"206",0.101391866803169,0,0
"207",0.301046878099442,0,0
"208",0.640734374523163,1,0
"209",0.68992805480957,1,0
"210",0.977224469184875,1,1
"211",0.989711999893188,1,1
"212",0.985178649425507,1,1
"213",0.980675041675568,1,1
"214",0.336205333471298,0,1
"215",0.973501265048981,1,1
"216",0.661685109138489,1,0
"217",0.1878312677145,0,0
"218",0.193962454795837,0,0
"219",0.992283046245575,1,1
"220",0.983017921447754,1,1
"221",0.367347836494446,0,1
"222",0.226040333509445,0,0
"223",0.986672043800354,1,1
"224",0.970544338226318,1,1
"225",0.218300029635429,0,0
"226",0.996289849281311,1,1
"227",0.994921147823334,1,1
