"","","","validation_labels_k"
"1",0.33600264787674,0,0
"2",0.719565093517303,1,0
"3",0.843300580978394,1,1
"4",0.802788913249969,1,1
"5",0.810597062110901,1,1
"6",0.41164293885231,0,0
"7",0.286292523145676,0,1
"8",0.825594305992126,1,0
"9",0.35139998793602,0,0
"10",0.462686598300934,0,0
"11",0.692188739776611,1,0
"12",0.229357615113258,0,0
"13",0.308566272258759,0,0
"14",0.82732880115509,1,1
"15",0.445677042007446,0,0
"16",0.659149825572968,1,1
"17",0.998854756355286,1,1
"18",0.843092799186707,1,1
"19",0.709934413433075,1,0
"20",0.707104682922363,1,0
"21",0.905007839202881,1,1
"22",0.738940954208374,1,0
"23",0.86568295955658,1,1
"24",0.9444859623909,1,1
"25",0.934512436389923,1,1
"26",0.565633893013,1,0
"27",0.698922991752625,1,1
"28",0.971757590770721,1,1
"29",0.946788966655731,1,1
"30",0.777416706085205,1,1
"31",0.959474325180054,1,1
"32",0.967790424823761,1,1
"33",0.773516297340393,1,1
"34",0.514896333217621,1,1
"35",0.750338733196259,1,1
"36",0.644123256206512,1,0
"37",0.435964345932007,0,1
"38",0.970711946487427,1,1
"39",0.00743051106110215,0,0
"40",0.381293386220932,0,0
"41",0.25135526061058,0,0
"42",0.645569920539856,1,0
"43",0.28119495511055,0,0
"44",0.465661138296127,0,0
"45",0.354292839765549,0,0
"46",0.226357847452164,0,0
"47",0.734892129898071,1,0
"48",0.244692414999008,0,0
"49",0.621482014656067,1,1
"50",0.684379756450653,1,1
"51",0.300884872674942,0,0
"52",0.774279475212097,1,1
"53",0.249119326472282,0,0
"54",0.81249338388443,1,1
"55",0.542814016342163,1,0
"56",0.56606251001358,1,0
"57",0.773496210575104,1,1
"58",0.06374441832304,0,0
"59",0.410643517971039,0,0
"60",0.742587864398956,1,1
"61",0.46030655503273,0,0
"62",0.979218244552612,1,1
"63",0.859812378883362,1,1
"64",0.870686769485474,1,1
"65",0.88836532831192,1,1
"66",0.678334832191467,1,0
"67",0.849976539611816,1,1
"68",0.53162544965744,1,0
"69",0.191268607974052,0,0
"70",0.784565806388855,1,0
"71",0.991757690906525,1,1
"72",0.338408261537552,0,0
"73",0.2201938778162,0,0
"74",0.829391717910767,1,1
"75",0.897056221961975,1,1
"76",0.375091731548309,0,0
"77",0.23575696349144,0,0
"78",0.345630466938019,0,0
"79",0.515196144580841,1,1
"80",0.73062127828598,1,0
"81",0.747231006622314,1,1
"82",1,1,1
"83",0.475809544324875,0,0
"84",0.325341075658798,0,0
"85",0.770386695861816,1,1
"86",0.746247887611389,1,1
"87",0.616804003715515,1,0
"88",0.445722132921219,0,0
"89",0.31371083855629,0,0
"90",0.868770480155945,1,0
"91",0.624239444732666,1,1
"92",0.750007450580597,1,1
"93",0.35065621137619,0,0
"94",0.538699507713318,1,0
"95",0.807536363601685,1,1
"96",0.797945499420166,1,1
"97",0.724642813205719,1,1
"98",0.320843189954758,0,0
"99",0.999732553958893,1,1
"100",0.992412507534027,1,1
"101",0.780354619026184,1,1
"102",0.824680507183075,1,1
"103",0.189497455954552,0,0
"104",0.805686116218567,1,1
"105",0.775872647762299,1,1
"106",0.967505216598511,1,1
"107",0.99119508266449,1,1
"108",0.185643285512924,0,0
"109",0.461213678121567,0,0
"110",0.988285303115845,1,1
"111",0.313671976327896,0,0
"112",0.779213488101959,1,1
"113",0.857259929180145,1,0
"114",0.272063612937927,0,0
"115",0.199373483657837,0,0
"116",0.545300543308258,1,0
"117",0.232739672064781,0,0
"118",0.345444828271866,0,0
"119",0.239635437726974,0,0
"120",0.347796946763992,0,0
"121",0.297903686761856,0,0
"122",0.939258515834808,1,1
"123",0.974268674850464,1,1
"124",0.290872573852539,0,0
"125",0.980521559715271,1,1
"126",0.841257393360138,1,1
"127",0.322126656770706,0,1
"128",0.999743759632111,1,1
"129",0.771669149398804,1,1
"130",0.679820775985718,1,1
"131",0.774577796459198,1,1
"132",0.756492912769318,1,1
"133",0.974704742431641,1,1
"134",0.339306652545929,0,0
"135",0.178227990865707,0,0
"136",0.267250001430511,0,0
"137",0.245225921273232,0,0
"138",0.366952657699585,0,0
"139",0.78005713224411,1,1
"140",0.683382391929626,1,1
"141",0.74771374464035,1,0
"142",0.413903027772903,0,0
"143",0.304374665021896,0,0
"144",0.272455751895905,0,0
"145",0.961855053901672,1,0
"146",0.753503322601318,1,0
"147",0.246293559670448,0,0
"148",0.569240510463715,1,0
"149",0.466211259365082,0,1
"150",0.315493196249008,0,0
"151",0.843905687332153,1,1
"152",0.61917382478714,1,0
"153",0.738566160202026,1,1
"154",0.264730185270309,0,0
"155",0.903099834918976,1,1
"156",0.299933344125748,0,1
"157",0.403705596923828,0,0
"158",0.351820796728134,0,0
"159",0.707350552082062,1,1
"160",0.954592645168304,1,1
"161",0.299984633922577,0,0
"162",0.787711679935455,1,0
"163",0.930188059806824,1,1
"164",0.42413729429245,0,0
"165",0.727852821350098,1,1
"166",0.298444032669067,0,0
"167",0.742354691028595,1,0
"168",0.757007360458374,1,0
"169",0.996028304100037,1,1
"170",0.808706104755402,1,1
"171",0.861160755157471,1,1
"172",0.808538675308228,1,0
"173",0.997421383857727,1,1
"174",0.182802349328995,0,0
"175",0.911192536354065,1,1
"176",0.810866117477417,1,1
"177",0.811502516269684,1,1
"178",0.29495644569397,0,0
"179",0.228561416268349,0,0
"180",0.201383635401726,0,0
"181",0.266193032264709,0,0
"182",0.334213107824326,0,0
"183",0.761971890926361,1,1
"184",0.998783051967621,1,1
"185",0.96489280462265,1,1
"186",0.859970688819885,1,0
"187",0.958786606788635,1,0
"188",0.996427237987518,1,1
"189",0.924645841121674,1,1
"190",0.59045821428299,1,1
"191",0.940289318561554,1,1
"192",0.783027589321136,1,0
"193",0.960306882858276,1,1
"194",0.948533892631531,1,1
"195",0.650038003921509,1,1
"196",0.640368640422821,1,0
"197",0.840103209018707,1,1
"198",0.342319458723068,0,0
"199",0.976094305515289,1,1
"200",0.331942468881607,0,0
"201",0.287408381700516,0,0
"202",0.999800860881805,1,1
"203",0.677068412303925,1,1
"204",0.857774674892426,1,1
"205",0.690583467483521,1,1
"206",0.850288331508636,1,0
"207",0.319908767938614,0,0
"208",0.786157190799713,1,1
"209",0.554579555988312,1,1
"210",0.268658608198166,0,0
"211",0.525005102157593,1,0
"212",0.468079924583435,0,0
"213",0.47021272778511,0,0
"214",0.913290083408356,1,1
"215",0.792797565460205,1,0
"216",0.453370481729507,0,0
"217",0.82381933927536,1,0
"218",0.209396168589592,0,0
"219",0.950258374214172,1,1
"220",0.207846775650978,0,0
"221",0.683265030384064,1,1
"222",0.194529727101326,0,0
"223",0.409977376461029,0,0
"224",0.452537536621094,0,1
"225",0.492288321256638,0,0
"226",0.26014906167984,0,0
"227",0.410929262638092,0,0
"228",0.866303026676178,1,1
"229",0.28119495511055,0,0
"230",0.773581206798553,1,0
"231",0.296146184206009,0,0
"232",0.246662452816963,0,0
"233",0.826439321041107,1,1
"234",0.93023294210434,1,1
"235",0.375460207462311,0,0
"236",0.717301845550537,1,1
"237",0.361422717571259,0,1
"238",0.93707138299942,1,1
"239",0.942152678966522,1,1
"240",0.863887429237366,1,1
"241",0.998968482017517,1,1
"242",0.521898865699768,1,1
"243",0.999914050102234,1,1
"244",0.698476850986481,1,0
"245",0.835699856281281,1,1
"246",0.999306917190552,1,1
"247",0.409977823495865,0,1
"248",0.81351774930954,1,1
"249",0.885626554489136,1,0
"250",0.617379724979401,1,1
"251",0.809450387954712,1,0
"252",0.783971846103668,1,1
"253",0.430704474449158,0,0
"254",0.916311681270599,1,1
"255",0.361693561077118,0,0
"256",0.516823053359985,1,0
"257",0.904046535491943,1,1
"258",0.975723385810852,1,1
"259",0.87233293056488,1,1
"260",0.700251460075378,1,1
"261",0.886987686157227,1,1
"262",0.528519630432129,1,0
"263",0.84352719783783,1,1
"264",0.973596334457397,1,1
"265",0.760498940944672,1,0
"266",0.251355290412903,0,0
"267",0.273989498615265,0,0
"268",0.796354591846466,1,0
"269",0.537181615829468,1,0
"270",0.411825597286224,0,0
"271",0.28885605931282,0,1
"272",0.496419608592987,0,0
"273",0.853735268115997,1,1
"274",0.802393615245819,1,1
"275",0.21178063750267,0,0
"276",0.851807236671448,1,1
"277",0.752753436565399,1,1
"278",0.718611657619476,1,1
"279",0.302145779132843,0,0
"280",0.747548043727875,1,0
"281",0.235757008194923,0,0
"282",0.364655375480652,0,1
"283",0.299383819103241,0,0
"284",0.409977436065674,0,0
"285",0.996604323387146,1,1
"286",0.987474620342255,1,1
"287",0.82901519536972,1,1
"288",0.78278648853302,1,1
"289",0.215287372469902,0,0
"290",0.938996434211731,1,1
"291",0.967429578304291,1,1
"292",0.239162385463715,0,0
"293",0.945612490177155,1,1
"294",0.834382474422455,1,1
"295",0.701440215110779,1,0
"296",0.559066832065582,1,0
