"","","","validation_labels_k"
"1",0.504689037799835,1,0
"2",0.238032355904579,0,1
"3",0.228018715977669,0,0
"4",0.670021772384644,1,1
"5",0.0333058908581734,0,0
"6",0.0218134727329016,0,0
"7",0.521069884300232,1,0
"8",0.0834834724664688,0,0
"9",0.129054814577103,0,1
"10",0.479698181152344,0,0
"11",0.572804629802704,1,1
"12",0.0369417443871498,0,0
"13",0.28555104136467,0,0
"14",0.156125575304031,0,0
"15",0.65431547164917,1,1
"16",0.492715865373611,0,0
"17",0.659029543399811,1,0
"18",0.666682481765747,1,0
"19",0.518836319446564,1,1
"20",0.62178909778595,1,1
"21",0.479468375444412,0,1
"22",0.0516034886240959,0,0
"23",0.509627819061279,1,1
"24",0.422447592020035,0,0
"25",0.0494203753769398,0,0
"26",0.0854601338505745,0,0
"27",0.311724841594696,0,0
"28",0.201257780194283,0,0
"29",0.164223894476891,0,1
"30",0.116105273365974,0,0
"31",0.355740785598755,0,1
"32",0.672666192054749,1,1
"33",0.0441745147109032,0,1
"34",0.0581984668970108,0,0
"35",0.213301777839661,0,0
"36",0.243146508932114,0,0
