"","","","validation_labels_k"
"1",0.00372759555466473,0,1
"2",0.965730130672455,1,1
"3",0.1695886105299,0,0
"4",0.835137367248535,1,0
"5",0.0671627372503281,0,0
"6",0.00598181551322341,0,0
"7",0.161021992564201,0,0
"8",0.604295551776886,1,1
"9",0.953751981258392,1,1
"10",0.959246754646301,1,1
"11",0.740934073925018,1,0
"12",0.511154592037201,1,0
"13",6.95123599143699e-05,0,0
"14",0.0092052286490798,0,0
"15",0.00303058000281453,0,1
"16",0.752720296382904,1,0
"17",0.252141118049622,0,0
"18",3.50122172676492e-06,0,0
"19",0.275296181440353,0,0
"20",0.00437802402302623,0,0
"21",0.796351492404938,1,1
"22",7.7691613114439e-05,0,0
"23",0.353851526975632,0,0
"24",0.0216584000736475,0,0
"25",0.000290074269287288,0,0
"26",0.386345684528351,0,0
"27",0.000308147340547293,0,0
"28",6.22541790562536e-07,0,0
"29",0.0151234548538923,0,0
"30",0.772877991199493,1,1
"31",0.884795844554901,1,1
"32",0.361624270677567,0,1
"33",0.000708404113538563,0,0
"34",0.00377690396271646,0,0
"35",0.465750247240067,0,1
"36",0.739767253398895,1,0
"37",0.673417508602142,1,1
"38",0.0905065536499023,0,0
"39",0.0491168685257435,0,0
"40",0.0738499984145164,0,0
"41",0.992775917053223,1,1
"42",0.00130851590074599,0,0
"43",0.845291793346405,1,1
"44",0.708179354667664,1,1
"45",0.773723065853119,1,1
"46",1.43934275911306e-05,0,0
"47",0.052299614995718,0,1
"48",0.0515998974442482,0,1
"49",1.10534597297374e-06,0,0
"50",0.968788623809814,1,1
"51",2.92544573312625e-05,0,1
"52",0.368247658014297,0,1
"53",0.00388729316182435,0,0
"54",0.294211685657501,0,1
"55",3.3090513170464e-05,0,0
"56",0.000418925221310928,0,0
"57",0.000228623481234536,0,0
"58",0.00243935594335198,0,0
"59",0.00211271573789418,0,0
"60",9.46679301705444e-06,0,0
"61",0.919597625732422,1,0
"62",0.18127678334713,0,0
"63",0.0029898127540946,0,1
"64",1.28527490232955e-05,0,0
"65",0.0363233499228954,0,1
"66",3.03641718346626e-06,0,0
"67",0.00171653856523335,0,0
"68",0.80058354139328,1,0
"69",0.00050178135279566,0,0
"70",0.778908133506775,1,0
"71",1.79348717210814e-07,0,0
"72",0.0322501435875893,0,0
"73",0.000791348633356392,0,0
"74",0.000581080850679427,0,0
"75",0.312202244997025,0,0
"76",0.000773663574364036,0,0
"77",0.0226603895425797,0,0
"78",0.000193126237718388,0,0
"79",0.898442268371582,1,1
"80",0.000166697267559357,0,0
"81",9.56287040025927e-05,0,0
"82",0.00619588419795036,0,0
"83",0.786314845085144,1,1
"84",0.753375768661499,1,1
"85",0.975152730941772,1,1
"86",1.52629072545096e-05,0,0
"87",0.553694486618042,1,1
"88",0.0833697095513344,0,1
"89",0.450584530830383,0,0
"90",0.023302199319005,0,0
"91",0.933852136135101,1,0
"92",0.435428291559219,0,1
"93",0.00019564206013456,0,0
"94",1.15632919914788e-05,0,0
"95",0.845291793346405,1,1
"96",0.000176401168573648,0,0
"97",0.955439925193787,1,1
"98",0.948062181472778,1,1
"99",0.000132530272821896,0,0
"100",2.36983887589304e-05,0,0
"101",9.99198382487521e-05,0,0
"102",1.4666798961116e-05,0,0
"103",0.0504496954381466,0,0
"104",0.0723088979721069,0,1
"105",0.00324144936166704,0,1
"106",0.000914376229047775,0,0
"107",8.13261431176215e-05,0,0
"108",4.9725676944945e-05,0,0
"109",0.212633639574051,0,0
"110",0.4719358086586,0,0
"111",0.0137386377900839,0,0
"112",0.000130257190903649,0,0
"113",9.99197436613031e-05,0,0
"114",1.22073579404969e-05,0,0
"115",1.6925957879721e-07,0,0
"116",0.000118237730930559,0,0
"117",0.000130257190903649,0,0
