"","","","validation_labels_k"
"1",0.797702312469482,1,0
"2",0.334571093320847,0,0
"3",0.65452778339386,1,0
"4",0.831378996372223,1,0
"5",0.707322120666504,1,0
"6",0.58534449338913,1,0
"7",0.722077965736389,1,0
"8",0.000195608474314213,0,0
"9",0.815178394317627,1,1
"10",0.191741704940796,0,0
"11",0.792049586772919,1,1
"12",0.860527694225311,1,1
"13",0.912788331508636,1,1
"14",0.59826248884201,1,0
"15",0.710623621940613,1,0
"16",0.703398942947388,1,0
"17",0.590518832206726,1,0
"18",0.525528192520142,1,0
"19",0.800132870674133,1,0
"20",0.593945920467377,1,0
"21",0.825670719146729,1,1
"22",0.796068608760834,1,1
"23",0.896070420742035,1,1
"24",0.00265119015239179,0,0
"25",0.897042334079742,1,0
"26",0.155041292309761,0,0
"27",0.710325181484222,1,1
"28",0.912980198860168,1,1
"29",0.761056423187256,1,0
"30",0.831344306468964,1,1
"31",0.72865217924118,1,0
"32",4.96602069688379e-07,0,0
"33",0.796754717826843,1,0
"34",0.00137059949338436,0,0
"35",0.0015200792113319,0,0
"36",0.0796326249837875,0,0
"37",0.0209052190184593,0,0
"38",0.786933481693268,1,0
"39",0.781073570251465,1,0
"40",0.000940346973948181,0,0
"41",0.297139197587967,0,0
"42",0.829583048820496,1,0
"43",0.880615830421448,1,0
"44",0.855180621147156,1,0
"45",0.810375392436981,1,0
"46",0.614176750183105,1,0
"47",0.756949484348297,1,1
"48",0.47002387046814,0,0
"49",0.911096036434174,1,0
"50",0.842496871948242,1,0
"51",0.71949166059494,1,0
"52",0.78300416469574,1,0
"53",0.0874413177371025,0,0
"54",0.0028016606811434,0,0
"55",0.761386275291443,1,0
"56",0.746898055076599,1,0
"57",0.591306507587433,1,1
"58",0.618914425373077,1,0
"59",0.749341011047363,1,1
"60",0.737967371940613,1,0
"61",0.787236452102661,1,0
"62",0.0209052190184593,0,0
"63",0.369577974081039,0,0
"64",0.00183935242239386,0,0
"65",0.0144170112907887,0,0
"66",0.000359157158527523,0,0
"67",0.00400048727169633,0,0
"68",0.936591267585754,1,1
"69",0.919909834861755,1,0
"70",0.602398633956909,1,0
"71",0.662183701992035,1,0
"72",0.813005387783051,1,1
"73",0.848667144775391,1,1
"74",0.00600347621366382,0,0
"75",0.683633267879486,1,0
"76",0.371781140565872,0,0
"77",0.68832790851593,1,0
"78",0.155041292309761,0,0
"79",0.564992487430573,1,0
"80",0.76494038105011,1,1
"81",0.0071098767220974,0,0
"82",0.00114289636258036,0,0
"83",0.00603975681588054,0,0
"84",0.615752339363098,1,0
"85",0.000337243342073634,0,0
"86",0.00265119015239179,0,0
"87",0.400988161563873,0,0
"88",0.863465964794159,1,1
"89",0.751543283462524,1,0
"90",0.509383201599121,1,1
"91",0.787135660648346,1,0
"92",0.504790306091309,1,0
"93",7.99923668637348e-07,0,0
"94",0.00803401600569487,0,0
"95",0.0184508580714464,0,0
"96",0.787878155708313,1,0
"97",0.00129893003031611,0,0
"98",0.727460145950317,1,0
"99",0.0126976007595658,0,0
"100",0.00286922580562532,0,0
"101",0.0946508944034576,0,0
"102",0.816797375679016,1,0
"103",0.739812135696411,1,0
"104",0.877950429916382,1,1
"105",0.743756949901581,1,0
"106",0.551328539848328,1,0
"107",0.94938325881958,1,1
"108",0.139469996094704,0,0
"109",0.00202769506722689,0,0
"110",0.0147667974233627,0,0
"111",0.0101997209712863,0,0
"112",0.0015778096858412,0,0
"113",0.471847981214523,0,0
"114",0.000609704060479999,0,0
"115",0.000414113921578974,0,0
"116",0.016435869038105,0,0
"117",0.841849505901337,1,1
"118",0.585272431373596,1,0
"119",0.0269635189324617,0,0
"120",0.0136807123199105,0,0
"121",0.00102587335277349,0,0
"122",0.211525991559029,0,0
"123",0.0195419527590275,0,0
"124",0.57644510269165,1,0
"125",0.0046754009090364,0,0
"126",0.0151211880147457,0,0
"127",0.0780334696173668,0,0
"128",0.789027690887451,1,0
"129",0.525189697742462,1,0
"130",0.00889103207737207,0,0
"131",0.0880270674824715,0,0
"132",0.742248237133026,1,0
"133",0.00454580318182707,0,0
"134",0.000533996615558863,0,0
"135",0.00139434717129916,0,0
"136",0.317697256803513,0,0
"137",0.00585188018158078,0,0
"138",0.00197801319882274,0,0
"139",0.54167503118515,1,0
"140",0.223580494523048,0,0
