"","","","validation_labels_k"
"1",0.874642610549927,1,1
"2",0.639658749103546,1,0
"3",0.951918303966522,1,1
"4",0.389977723360062,0,0
"5",0.98825478553772,1,1
"6",0.0946177393198013,0,0
"7",0.96958464384079,1,1
"8",0.0670082196593285,0,1
"9",0.958402335643768,1,1
"10",0.400083512067795,0,1
"11",0.718792021274567,1,1
"12",0.722894251346588,1,1
"13",0.0592587031424046,0,0
"14",0.868970632553101,1,1
"15",0.521423757076263,1,1
"16",0.672429978847504,1,1
"17",0.981724977493286,1,1
"18",0.950858950614929,1,1
"19",0.176307529211044,0,0
"20",0.451956480741501,0,1
"21",0.242980271577835,0,0
"22",0.250121414661407,0,1
"23",0.908022344112396,1,1
"24",0.196873754262924,0,1
"25",0.413304090499878,0,1
"26",0.752405345439911,1,1
"27",0.464778155088425,0,1
"28",0.659996628761292,1,1
"29",0.478832989931107,0,1
"30",0.727028369903564,1,1
"31",0.998502612113953,1,1
"32",0.708639621734619,1,1
"33",0.912816941738129,1,1
"34",0.194339156150818,0,1
"35",0.326008975505829,0,0
"36",0.568923830986023,1,1
"37",0.841297507286072,1,1
"38",0.572304904460907,1,0
"39",0.553034663200378,1,1
"40",0.376353830099106,0,1
"41",0.849831283092499,1,1
"42",0.999995946884155,1,1
"43",0.969420731067657,1,1
"44",0.150021523237228,0,0
"45",0.688564479351044,1,1
"46",0.76652193069458,1,1
"47",0.593096435070038,1,0
"48",0.965342044830322,1,1
"49",0.950509905815125,1,1
"50",0.28723070025444,0,1
"51",0.906143963336945,1,1
"52",0.347818493843079,0,1
"53",0.0484240725636482,0,0
"54",0.0878681465983391,0,0
"55",0.0590320155024529,0,0
"56",0.0488701686263084,0,0
"57",0.216658592224121,0,0
"58",0.0317880921065807,0,0
"59",0.577101826667786,1,1
"60",0.0533493086695671,0,0
"61",0.0246885139495134,0,0
"62",0.43581423163414,0,0
"63",0.742917478084564,1,1
"64",0.0282927826046944,0,0
"65",0.876376390457153,1,1
"66",0.497476279735565,0,1
"67",0.164467513561249,0,0
"68",0.962450742721558,1,1
"69",0.0838260725140572,0,1
"70",0.967658221721649,1,1
"71",0.852803945541382,1,1
"72",0.124395415186882,0,0
"73",0.926623523235321,1,1
"74",0.338575690984726,0,1
"75",0.971531271934509,1,1
"76",0.129742532968521,0,0
"77",0.0676088854670525,0,0
"78",0.0349353216588497,0,0
"79",0.0227283947169781,0,0
"80",0.268650263547897,0,0
"81",0.730614304542542,1,1
"82",0.629990875720978,1,0
"83",0.544479250907898,1,0
"84",0.991553723812103,1,0
"85",0.840277671813965,1,1
"86",0.677049934864044,1,1
"87",0.34010174870491,0,0
"88",0.0944920256733894,0,0
"89",0.0541770495474339,0,0
"90",0.0313640423119068,0,0
"91",0.619347929954529,1,0
"92",0.0738752111792564,0,0
"93",0.971966803073883,1,1
"94",0.281090408563614,0,0
"95",0.0852745547890663,0,0
"96",0.155012726783752,0,0
"97",0.0478639453649521,0,0
"98",0.368058323860168,0,0
"99",0.597779333591461,1,1
"100",0.708978235721588,1,1
"101",0.644449472427368,1,1
"102",0.105811253190041,0,0
"103",0.60814493894577,1,1
"104",0.484113693237305,0,1
"105",0.245795235037804,0,1
"106",0.826904773712158,1,1
"107",0.83014327287674,1,1
"108",0.697975635528564,1,1
"109",0.228451862931252,0,0
"110",0.480287551879883,0,1
"111",0.781021595001221,1,1
"112",0.920187711715698,1,1
"113",0.476909548044205,0,1
"114",0.0967367440462112,0,0
"115",0.327834457159042,0,0
"116",0.867086470127106,1,1
"117",0.397901982069016,0,0
"118",0.0882825329899788,0,0
"119",0.0647113025188446,0,0
"120",0.320045500993729,0,0
"121",0.537059187889099,1,0
"122",0.495155990123749,0,1
"123",0.259589552879333,0,1
"124",0.744382858276367,1,1
"125",0.836690366268158,1,1
"126",0.467905282974243,0,0
"127",0.887421369552612,1,1
"128",0.075191967189312,0,0
"129",0.639453291893005,1,1
"130",0.98321008682251,1,1
"131",0.988548398017883,1,1
"132",0.0375225059688091,0,0
"133",0.184550076723099,0,0
"134",0.678018271923065,1,1
